phase,horizon_h,n,weights_sum,mean_max_difference,scale_max_difference,normal_gradient_max,intercept_gradient,linear_train_max_difference
validation,1,3530,3742,1.734723475976807e-18,4.163336342344337e-17,2.914557484245961e-12,1.1102230246251565e-15,2.220446049250313e-16
test,1,9298,9524,1.3010426069826053e-18,1.942890293094024e-16,1.319655495990446e-11,1.0658141036401503e-14,1.3322676295501878e-15
validation,2,3528,3800,1.734723475976807e-18,2.7755575615628914e-17,1.8616219676914625e-12,-6.217248937900877e-15,2.220446049250313e-16
test,2,9291,9637,2.6020852139652106e-18,2.498001805406602e-16,1.2320811038080137e-11,9.769962616701378e-15,8.881784197001252e-16
validation,3,3526,3898,3.469446951953614e-18,5.551115123125783e-17,3.787192781601334e-12,7.105427357601002e-15,4.440892098500626e-16
test,3,9289,9815,2.6020852139652106e-18,2.220446049250313e-16,1.5377032980268268e-11,-4.707345624410664e-14,1.1102230246251565e-15
validation,4,3523,4019,6.938893903907228e-18,8.326672684688674e-17,2.7036151095671812e-12,6.794564910705958e-14,4.440892098500626e-16
test,4,9282,10030,8.673617379884035e-18,2.498001805406602e-16,2.2286172907115542e-11,6.750155989720952e-14,1.3322676295501878e-15
validation,5,3520,4172,3.469446951953614e-18,2.7755575615628914e-17,6.572520305780927e-12,8.304468224196171e-14,8.881784197001252e-16
test,5,9280,10368,5.204170427930421e-18,2.498001805406602e-16,3.387867764104158e-11,5.3290705182007514e-14,2.220446049250313e-15
validation,6,3520,4332,3.469446951953614e-18,5.551115123125783e-17,2.9700686354772188e-12,8.348877145181177e-14,8.881784197001252e-16
test,6,9279,10701,3.469446951953614e-18,1.6653345369377348e-16,7.187850314949173e-11,-1.1191048088221578e-13,1.7763568394002505e-15
validation,7,3520,4464,3.469446951953614e-18,2.7755575615628914e-17,5.062616992290714e-12,-1.3322676295501878e-13,4.440892098500626e-16
test,7,9281,10955,3.469446951953614e-18,2.498001805406602e-16,4.347811000116053e-11,1.4210854715202004e-14,1.7763568394002505e-15
validation,8,3519,4581,3.469446951953614e-18,2.7755575615628914e-17,5.467626351673971e-12,4.440892098500626e-14,8.881784197001252e-16
test,8,9278,11184,3.469446951953614e-18,2.220446049250313e-16,7.652545264136279e-11,1.7763568394002505e-13,2.6645352591003757e-15
validation,9,3517,4677,3.469446951953614e-18,2.7755575615628914e-17,6.23856521997368e-12,-1.2789769243681803e-13,8.881784197001252e-16
test,9,9277,11377,3.469446951953614e-18,1.1102230246251565e-16,5.74544856135617e-11,-1.5631940186722204e-13,2.6645352591003757e-15
validation,10,3516,4766,2.168404344971009e-18,5.551115123125783e-17,7.524647571699461e-12,4.263256414560601e-14,8.881784197001252e-16
test,10,9274,11526,3.469446951953614e-18,2.498001805406602e-16,1.185185283247847e-10,2.1316282072803006e-13,2.6645352591003757e-15
validation,11,3516,4838,3.469446951953614e-18,4.163336342344337e-17,8.967049325292464e-12,-7.815970093361102e-14,2.6645352591003757e-15
test,11,9275,11637,2.6020852139652106e-18,2.7755575615628914e-16,1.2714451713691233e-10,3.197442310920451e-13,4.440892098500626e-15
validation,12,3513,4909,4.336808689942018e-18,2.7755575615628914e-17,9.72022462519817e-12,-1.8474111129762605e-13,8.881784197001252e-16
test,12,9269,11749,2.6020852139652106e-18,2.7755575615628914e-16,1.205368235779325e-10,1.4921397450962104e-13,2.6645352591003757e-15
