nominal_lead_h,actual_lead_h,training_rows,latest_training_target,cutoff_exclusive,actual_last_training_target,anchor_m,anchor_training_min,anchor_training_max,target_training_min,target_training_max,delta_training_min,delta_training_max,predicted_delta_m,forecast_m,inputs_below_training_min,inputs_above_training_max,missing_inputs_seen_in_training,missing_inputs_unseen_in_training,finite_inputs_without_training_support
1,0.8511378277777778,10875,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-0.4800000000000004,1.2599999999999998,0.5904738458345626,18.040473845834562,1,24,0,0,0
2,1.8511378277777777,10866,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-0.8500000000000005,2.24,1.1806687123930466,18.630668712393046,1,24,0,0,0
3,2.851137827777778,10864,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-1.1000000000000005,3.08,1.733127891436574,19.183127891436573,1,24,0,0,0
4,3.851137827777778,10855,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-1.3499999999999996,3.8600000000000003,1.9831356658288186,19.433135665828818,1,24,0,0,0
5,4.8511378277777775,10855,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-1.629999999999999,4.6899999999999995,1.7670658063717006,19.2170658063717,1,24,0,0,0
6,5.8511378277777775,10852,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-1.9399999999999995,5.41,1.2554451400335829,18.705445140033582,1,24,0,0,0
7,6.8511378277777775,10855,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-2.209999999999999,6.09,1.1737545076921165,18.623754507692116,1,24,0,0,0
8,7.8511378277777775,10852,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-2.5199999999999996,6.73,0.9157418032775624,18.36574180327756,1,24,0,0,0
9,8.851137827777778,10852,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-2.83,7.119999999999999,0.7433862587519862,18.193386258751985,1,24,0,0,0
10,9.851137827777778,10849,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-3.119999999999999,7.469999999999999,0.6565056363432689,18.106505636343268,1,24,0,0,0
11,10.851137827777778,10849,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-3.42,7.789999999999999,0.6900189178764862,18.140018917876485,1,24,0,0,0
12,11.851137827777778,10844,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-3.709999999999999,8.09,0.5695091501009664,18.019509150100966,1,24,0,0,0
13,12.851137827777778,10842,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-3.9399999999999995,8.4,0.33354235431803403,17.783542354318033,1,24,0,0,0
14,13.851137827777778,10843,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.45,0.81,15.3,0.81,15.31,-4.209999999999999,8.69,0.3432969378286259,17.793296937828625,1,24,0,0,0
