nominal_lead_h,actual_lead_h,training_rows,cutoff_utc,cutoff_exclusive,actual_last_training_target,anchor_m,anchor_training_min,anchor_training_max,target_training_min,target_training_max,delta_training_min,delta_training_max,predicted_delta_m,forecast_m,inputs_below_training_min,inputs_above_training_max,missing_inputs_seen_in_training,missing_inputs_unseen_in_training,finite_inputs_without_training_support
1,0.9526445686111111,10915,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-0.5800000000000001,1.5500000000000007,-0.033635316913180446,18.69636468308682,3,16,0,0,0
2,1.9526445686111111,10908,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-0.9200000000000008,2.4300000000000006,-0.12509805398813967,18.60490194601186,3,16,0,0,0
3,2.9526445686111114,10905,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-1.1700000000000008,3.2700000000000005,-0.5036553722077457,18.226344627792255,3,16,0,0,0
4,3.9526445686111114,10897,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-1.4299999999999997,4.09,-0.65333337065546,18.07666662934454,3,16,0,0,0
5,4.9526445686111105,10896,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-1.709999999999999,4.86,-0.4653649870922294,18.26463501290777,3,16,0,0,0
6,5.9526445686111105,10894,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-2.0,5.56,-0.5103649430190877,18.219635056980913,3,16,0,0,0
7,6.9526445686111105,10895,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-2.2799999999999994,6.22,-1.1776519642340233,17.552348035765977,3,16,0,0,0
8,7.9526445686111105,10893,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-2.59,6.86,-1.5154906607469734,17.214509339253027,3,16,0,0,0
9,8.952644568611111,10892,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-2.8900000000000006,7.249999999999999,-1.8335118163231314,16.89648818367687,3,16,0,0,0
10,9.952644568611111,10890,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-3.1899999999999995,7.569999999999999,-2.130033714070869,16.59996628592913,3,16,0,0,0
11,10.952644568611111,10889,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-3.5,7.87,-2.729383515731552,16.00061648426845,3,16,0,0,0
12,11.952644568611111,10886,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-3.7699999999999996,8.18,-2.858276070089234,15.871723929910766,3,16,0,0,0
13,12.952644568611111,10884,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-4.02,8.48,-3.299141865645229,15.430858134354771,3,16,0,0,0
14,13.952644568611111,10884,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.73,0.81,15.31,0.81,15.31,-4.27,8.77,-3.447112299583292,15.282887700416708,3,16,0,0,0
