source,lead_h,known_m3_s,ridge_m3_s,saved_reference_m3_s,reproduction_error_m3_s,training_max_flow_m3_s,above_training_max,blend_gain,blend_candidate_m3_s,persistence_m3_s,intercept_m3_s
julho,0,5179.34,6217.554765398992,6217.554765398993,-1.8189894035458565e-12,9452.0,False,0.5,5698.447382699496,5179.34,0.5168893667507043
julho,1,5179.34,7557.325852173589,7557.325852173591,-1.8189894035458565e-12,9452.0,False,0.75,6962.829389130192,5179.34,1.3929128661475707
julho,2,5179.34,8768.694055164602,8768.694055164604,-1.8189894035458565e-12,9452.0,False,0.75,7871.355541373452,5179.34,2.6051794719667747
julho,3,5179.34,10044.308856850063,10044.308856850063,0.0,9452.0,True,0.75,8828.066642637546,5179.34,4.0387591782244305
julho,4,5179.34,11081.191222555282,11081.191222555282,0.0,9452.0,True,1.0,11081.191222555282,5179.34,5.712765168372646
julho,5,5179.34,11891.7338704297,11891.733870429693,7.275957614183426e-12,9452.0,True,1.0,11891.7338704297,5179.34,7.521699428825755
julho,6,5179.34,12708.969260633054,12708.969260633061,-7.275957614183426e-12,9452.0,True,0.75,10826.561945474792,5179.34,9.478505192878337
julho,7,5179.34,13329.122410917262,13329.122410917269,-7.275957614183426e-12,9452.0,True,0.75,11291.676808187945,5179.34,11.570661770160994
julho,8,5179.34,13663.649801067633,13663.649801067642,-9.094947017729282e-12,9452.0,True,0.75,11542.572350800725,5179.34,13.743999851610027
julho,9,5179.34,13937.904823904933,13937.904823904937,-3.637978807091713e-12,9452.0,True,0.75,11748.2636179287,5179.34,16.088073013281882
julho,10,5179.34,14079.622638010007,14079.622638010007,0.0,9452.0,True,0.75,11854.551978507505,5179.34,18.342716681507863
julho,11,5179.34,14022.441958840142,14022.441958840152,-1.0913936421275139e-11,9452.0,True,0.5,9600.890979420072,5179.34,20.732795547309834
carreiro,0,819.52,796.8335142812095,796.8335142812094,1.1368683772161603e-13,1681.7,False,0.75,802.5051357109072,819.52,0.33508265802269044
carreiro,1,819.52,1004.0292507187347,1004.0292507187345,2.2737367544323206e-13,1681.7,False,0.75,957.9019380390511,819.52,0.3246829901086429
carreiro,2,819.52,1089.6862839338016,1089.6862839338016,0.0,1681.7,False,0.75,1022.1447129503512,819.52,0.3245927968851395
carreiro,3,819.52,1335.6621477750484,1335.6621477750484,0.0,1681.7,False,1.0,1335.6621477750484,819.52,0.32769012255498753
carreiro,4,819.52,1488.4609920841667,1488.4609920841667,0.0,1681.7,False,1.0,1488.4609920841667,819.52,0.32798359590709764
carreiro,5,819.52,1430.8105479807725,1430.810547980772,4.547473508864641e-13,1681.7,False,1.0,1430.8105479807725,819.52,0.3041896173531561
carreiro,6,819.52,1459.4308935933511,1459.4308935933518,-6.821210263296962e-13,1681.7,False,1.0,1459.4308935933511,819.52,0.28388491547464223
carreiro,7,819.52,1377.6539984430226,1377.6539984430215,1.1368683772161603e-12,1681.7,False,1.0,1377.6539984430226,819.52,0.25774959349593507
carreiro,8,819.52,1544.0708786273105,1544.070878627311,-4.547473508864641e-13,1681.7,False,1.0,1544.0708786273105,819.52,0.24368523790158614
carreiro,9,819.52,1505.3267407936603,1505.3267407936598,4.547473508864641e-13,1681.7,False,1.0,1505.3267407936603,819.52,0.2758470301057771
carreiro,10,819.52,1451.7859736804808,1451.7859736804817,-9.094947017729282e-13,1681.7,False,1.0,1451.7859736804808,819.52,0.28996907300398816
carreiro,11,819.52,1545.1362230795262,1545.1362230795262,0.0,1681.7,False,1.0,1545.1362230795262,819.52,0.31931374145229563
