tau_hours,horizon_h,subset,family,n,lost_hits,gained_hits
2,1,all,reference,1938,110,17
12,1,all,reference,1938,8,14
2,1,all,julho_levels,1938,114,19
12,1,all,julho_levels,1938,6,14
2,1,level_ge_7m,reference,235,57,2
12,1,level_ge_7m,reference,235,1,7
2,1,level_ge_7m,julho_levels,235,56,3
12,1,level_ge_7m,julho_levels,235,0,8
2,2,all,reference,1935,124,42
12,2,all,reference,1935,18,53
2,2,all,julho_levels,1935,110,44
12,2,all,julho_levels,1935,16,61
2,2,level_ge_7m,reference,235,50,2
12,2,level_ge_7m,reference,235,2,29
2,2,level_ge_7m,julho_levels,235,45,2
12,2,level_ge_7m,julho_levels,235,2,34
2,3,all,reference,1932,114,60
12,3,all,reference,1932,29,36
2,3,all,julho_levels,1932,118,63
12,3,all,julho_levels,1932,47,34
2,3,level_ge_7m,reference,235,41,2
12,3,level_ge_7m,reference,235,2,22
2,3,level_ge_7m,julho_levels,235,44,1
12,3,level_ge_7m,julho_levels,235,3,24
2,4,all,reference,1930,97,69
12,4,all,reference,1930,50,44
2,4,all,julho_levels,1930,81,83
12,4,all,julho_levels,1930,72,41
2,4,level_ge_7m,reference,235,32,3
12,4,level_ge_7m,reference,235,2,29
2,4,level_ge_7m,julho_levels,235,33,2
12,4,level_ge_7m,julho_levels,235,2,29
2,5,all,reference,1928,83,66
12,5,all,reference,1928,74,41
2,5,all,julho_levels,1928,73,112
12,5,all,julho_levels,1928,92,33
2,5,level_ge_7m,reference,235,31,2
12,5,level_ge_7m,reference,235,4,28
2,5,level_ge_7m,julho_levels,235,29,0
12,5,level_ge_7m,julho_levels,235,5,27
2,6,all,reference,1926,67,78
12,6,all,reference,1926,90,45
2,6,all,julho_levels,1926,54,123
12,6,all,julho_levels,1926,107,36
2,6,level_ge_7m,reference,235,26,3
12,6,level_ge_7m,reference,235,6,28
2,6,level_ge_7m,julho_levels,235,20,3
12,6,level_ge_7m,julho_levels,235,6,27
2,7,all,reference,1924,55,76
12,7,all,reference,1924,110,55
2,7,all,julho_levels,1924,50,103
12,7,all,julho_levels,1924,112,44
2,7,level_ge_7m,reference,235,19,3
12,7,level_ge_7m,reference,235,6,31
2,7,level_ge_7m,julho_levels,235,23,2
12,7,level_ge_7m,julho_levels,235,6,24
2,8,all,reference,1922,62,75
12,8,all,reference,1922,104,48
2,8,all,julho_levels,1922,38,107
12,8,all,julho_levels,1922,103,49
2,8,level_ge_7m,reference,235,16,1
12,8,level_ge_7m,reference,235,5,22
2,8,level_ge_7m,julho_levels,235,12,1
12,8,level_ge_7m,julho_levels,235,3,24
2,9,all,reference,1920,47,63
12,9,all,reference,1920,89,62
2,9,all,julho_levels,1920,48,73
12,9,all,julho_levels,1920,112,45
2,9,level_ge_7m,reference,235,8,2
12,9,level_ge_7m,reference,235,5,25
2,9,level_ge_7m,julho_levels,235,16,4
12,9,level_ge_7m,julho_levels,235,4,22
2,10,all,reference,1918,43,55
12,10,all,reference,1918,79,64
2,10,all,julho_levels,1918,47,50
12,10,all,julho_levels,1918,106,50
2,10,level_ge_7m,reference,235,9,0
12,10,level_ge_7m,reference,235,4,23
2,10,level_ge_7m,julho_levels,235,15,0
12,10,level_ge_7m,julho_levels,235,3,23
2,11,all,reference,1916,39,51
12,11,all,reference,1916,77,64
2,11,all,julho_levels,1916,38,35
12,11,all,julho_levels,1916,102,57
2,11,level_ge_7m,reference,235,12,1
12,11,level_ge_7m,reference,235,3,14
2,11,level_ge_7m,julho_levels,235,11,1
12,11,level_ge_7m,julho_levels,235,8,21
2,12,all,reference,1914,36,37
12,12,all,reference,1914,77,66
2,12,all,julho_levels,1914,32,33
12,12,all,julho_levels,1914,77,61
2,12,level_ge_7m,reference,235,7,2
12,12,level_ge_7m,reference,235,1,16
2,12,level_ge_7m,julho_levels,235,8,2
12,12,level_ge_7m,julho_levels,235,4,18
