tau_hours,horizon_h,subset,family,population,n,hits,hit_fraction,mae_m,rmse_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
6,1,all,reference,individual,1938,1894,0.977296181630547,0.13563607242386097,0.19576084107842467,0.002022768275247138,0.32957400340923204,0.510808242371736,1.3540766916208895
6,1,all,reference,common_three,1938,1894,0.977296181630547,0.13563607242386097,0.19576084107842467,0.002022768275247138,0.32957400340923204,0.510808242371736,1.3540766916208895
2,1,all,reference,individual,1938,1801,0.9293085655314758,0.2115507483008196,0.2904433120924671,-0.0026302076856218643,0.43915027559335956,0.9465195970234765,1.4366862682698178
2,1,all,reference,common_three,1938,1801,0.9293085655314758,0.2115507483008196,0.2904433120924671,-0.0026302076856218643,0.43915027559335956,0.9465195970234765,1.4366862682698178
12,1,all,reference,individual,1938,1900,0.9803921568627451,0.1222228902467425,0.18209027152060078,0.0028125638947188157,0.300150437243218,0.480557780191625,1.3458884373571722
12,1,all,reference,common_three,1938,1900,0.9803921568627451,0.1222228902467425,0.18209027152060078,0.0028125638947188157,0.300150437243218,0.480557780191625,1.3458884373571722
6,1,all,julho_levels,individual,1938,1891,0.9757481940144479,0.13826727113885037,0.198438898377875,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
6,1,all,julho_levels,common_three,1938,1891,0.9757481940144479,0.13826727113885037,0.198438898377875,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
2,1,all,julho_levels,individual,1938,1796,0.9267285861713106,0.2127784247870348,0.2917529641229454,0.00019063807059210955,0.4429272225415777,0.9394077814720131,1.4437372583595334
2,1,all,julho_levels,common_three,1938,1796,0.9267285861713106,0.2127784247870348,0.2917529641229454,0.00019063807059210955,0.4429272225415777,0.9394077814720131,1.4437372583595334
12,1,all,julho_levels,individual,1938,1899,0.9798761609907121,0.12476199969157413,0.1851697978840088,0.005587549827616938,0.30659221497316685,0.49141938417525116,1.3381064972736185
12,1,all,julho_levels,common_three,1938,1899,0.9798761609907121,0.12476199969157413,0.1851697978840088,0.005587549827616938,0.30659221497316685,0.49141938417525116,1.3381064972736185
6,1,level_ge_7m,reference,individual,235,218,0.9276595744680851,0.20982922298370318,0.29874600966328096,0.08880005221857769,0.47020070550497794,0.7799168588592001,1.3540766916208895
6,1,level_ge_7m,reference,common_three,235,218,0.9276595744680851,0.20982922298370318,0.29874600966328096,0.08880005221857769,0.47020070550497794,0.7799168588592001,1.3540766916208895
2,1,level_ge_7m,reference,individual,235,163,0.6936170212765957,0.3993930752139946,0.5264914467505779,0.24911343915091372,1.0423911809636839,1.1457913791464913,1.4315772979691417
2,1,level_ge_7m,reference,common_three,235,163,0.6936170212765957,0.3993930752139946,0.5264914467505779,0.24911343915091372,1.0423911809636839,1.1457913791464913,1.4315772979691417
