delay_minutes,horizon_h,subset,family,common_n,lost_hits,gained_hits
30,1,all,reference,1936,45,0
30,1,all,julho_levels,1936,41,0
45,1,all,reference,1936,90,0
45,1,all,julho_levels,1936,91,0
30,1,level_ge_7m,reference,235,16,0
30,1,level_ge_7m,julho_levels,235,12,0
45,1,level_ge_7m,reference,235,32,0
45,1,level_ge_7m,julho_levels,235,27,0
30,2,all,reference,1933,40,1
30,2,all,julho_levels,1933,27,1
45,2,all,reference,1933,71,3
45,2,all,julho_levels,1933,58,4
30,2,level_ge_7m,reference,235,6,0
30,2,level_ge_7m,julho_levels,235,4,0
45,2,level_ge_7m,reference,235,11,0
45,2,level_ge_7m,julho_levels,235,9,0
30,3,all,reference,1930,19,6
30,3,all,julho_levels,1930,31,4
45,3,all,reference,1930,46,12
45,3,all,julho_levels,1930,59,9
30,3,level_ge_7m,reference,235,4,1
30,3,level_ge_7m,julho_levels,235,6,0
45,3,level_ge_7m,reference,235,8,1
45,3,level_ge_7m,julho_levels,235,12,1
30,4,all,reference,1928,11,5
30,4,all,julho_levels,1928,18,3
45,4,all,reference,1928,23,7
45,4,all,julho_levels,1928,34,10
30,4,level_ge_7m,reference,235,3,1
30,4,level_ge_7m,julho_levels,235,4,0
45,4,level_ge_7m,reference,235,5,1
45,4,level_ge_7m,julho_levels,235,6,0
30,5,all,reference,1926,15,8
30,5,all,julho_levels,1926,14,3
45,5,all,reference,1926,23,12
45,5,all,julho_levels,1926,22,13
30,5,level_ge_7m,reference,235,0,1
30,5,level_ge_7m,julho_levels,235,3,0
45,5,level_ge_7m,reference,235,3,1
45,5,level_ge_7m,julho_levels,235,5,0
30,6,all,reference,1924,10,5
30,6,all,julho_levels,1924,7,4
45,6,all,reference,1924,17,14
45,6,all,julho_levels,1924,13,15
30,6,level_ge_7m,reference,235,1,0
30,6,level_ge_7m,julho_levels,235,0,0
45,6,level_ge_7m,reference,235,3,0
45,6,level_ge_7m,julho_levels,235,1,0
30,7,all,reference,1922,3,9
30,7,all,julho_levels,1922,8,12
45,7,all,reference,1922,10,20
45,7,all,julho_levels,1922,16,20
30,7,level_ge_7m,reference,235,2,1
30,7,level_ge_7m,julho_levels,235,7,0
45,7,level_ge_7m,reference,235,4,1
45,7,level_ge_7m,julho_levels,235,9,0
30,8,all,reference,1920,1,12
30,8,all,julho_levels,1920,2,11
45,8,all,reference,1920,4,19
45,8,all,julho_levels,1920,5,20
30,8,level_ge_7m,reference,235,0,1
30,8,level_ge_7m,julho_levels,235,0,0
45,8,level_ge_7m,reference,235,0,1
45,8,level_ge_7m,julho_levels,235,2,1
30,9,all,reference,1918,2,6
30,9,all,julho_levels,1918,2,7
45,9,all,reference,1918,5,12
45,9,all,julho_levels,1918,7,15
30,9,level_ge_7m,reference,235,0,1
30,9,level_ge_7m,julho_levels,235,0,1
45,9,level_ge_7m,reference,235,0,2
45,9,level_ge_7m,julho_levels,235,2,2
30,10,all,reference,1916,5,3
30,10,all,julho_levels,1916,1,8
45,10,all,reference,1916,6,8
45,10,all,julho_levels,1916,7,15
30,10,level_ge_7m,reference,235,0,0
30,10,level_ge_7m,julho_levels,235,0,1
45,10,level_ge_7m,reference,235,0,0
45,10,level_ge_7m,julho_levels,235,0,1
30,11,all,reference,1914,5,6
30,11,all,julho_levels,1914,5,5
45,11,all,reference,1914,7,16
45,11,all,julho_levels,1914,9,10
30,11,level_ge_7m,reference,235,1,1
30,11,level_ge_7m,julho_levels,235,1,0
45,11,level_ge_7m,reference,235,1,1
45,11,level_ge_7m,julho_levels,235,2,0
30,12,all,reference,1912,5,3
30,12,all,julho_levels,1912,3,2
45,12,all,reference,1912,8,5
45,12,all,julho_levels,1912,6,7
30,12,level_ge_7m,reference,235,2,0
30,12,level_ge_7m,julho_levels,235,0,0
45,12,level_ge_7m,reference,235,3,0
45,12,level_ge_7m,julho_levels,235,1,2
