delay_minutes,horizon_h,subset,population,family,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
15,1,all,individual,reference,1938,1894,0.977296181630547,0.13563607242386097,0.002022768275247138,0.32957400340923204,0.510808242371736,1.3540766916208895
15,1,all,individual,julho_levels,1938,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
15,1,all,common_three,reference,1936,1892,0.9772727272727273,0.13564287673187875,0.002158173513406122,0.3298457754140347,0.5109493744033473,1.3540766916208895
15,1,all,common_three,julho_levels,1936,1889,0.9757231404958677,0.1382789468856092,0.004942905662826767,0.33820727650405524,0.5197631999939532,1.3363363795546643
30,1,all,individual,reference,1939,1850,0.9541000515729757,0.1596567102530021,0.0020296322501965666,0.39036553480663794,0.595370359468514,1.6187005329376092
30,1,all,individual,julho_levels,1939,1851,0.9546157813305828,0.16218027233681512,0.004796764579117871,0.39756395880915657,0.5944245972614746,1.6007171057718743
30,1,all,common_three,reference,1936,1847,0.9540289256198347,0.1595814117708949,0.0023554777506455135,0.3904424264513563,0.5954197574387992,1.6187005329376092
30,1,all,common_three,julho_levels,1936,1848,0.9545454545454546,0.16211579313980734,0.0051199891845697815,0.3976002785137147,0.5952186471381431,1.6007171057718743
45,1,all,individual,reference,1939,1805,0.9308922124806601,0.18223084275514248,0.002119783093772055,0.44101307981983534,0.6610458933896403,1.9412611608534949
45,1,all,individual,julho_levels,1939,1801,0.9288292934502321,0.18462104811712957,0.004871070921885648,0.4492175448129682,0.6727281817961567,1.9329935742576074
45,1,all,common_three,reference,1936,1802,0.9307851239669421,0.18232515312442898,0.002293067027506641,0.4412632792306852,0.6612311380771565,1.9412611608534949
45,1,all,common_three,julho_levels,1936,1798,0.9287190082644629,0.18472398495738926,0.005039399621500414,0.4494878584876614,0.6730406378812831,1.9329935742576074
15,1,level_ge_7m,individual,reference,235,218,0.9276595744680851,0.20982922298370318,0.08880005221857769,0.47020070550497794,0.7799168588592001,1.3540766916208895
15,1,level_ge_7m,individual,julho_levels,235,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
15,1,level_ge_7m,common_three,reference,235,218,0.9276595744680851,0.20982922298370318,0.08880005221857769,0.47020070550497794,0.7799168588592001,1.3540766916208895
15,1,level_ge_7m,common_three,julho_levels,235,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
30,1,level_ge_7m,individual,reference,235,202,0.8595744680851064,0.24355530876282935,0.10541269059227006,0.5504049080867476,0.867366161910343,1.6187005329376092
30,1,level_ge_7m,individual,julho_levels,235,204,0.8680851063829788,0.2431394794909886,0.10780398443503098,0.5458449173925459,0.8732424958711863,1.6007171057718743
30,1,level_ge_7m,common_three,reference,235,202,0.8595744680851064,0.24355530876282935,0.10541269059227006,0.5504049080867476,0.867366161910343,1.6187005329376092
30,1,level_ge_7m,common_three,julho_levels,235,204,0.8680851063829788,0.2431394794909886,0.10780398443503098,0.5458449173925459,0.8732424958711863,1.6007171057718743
45,1,level_ge_7m,individual,reference,235,186,0.7914893617021277,0.27605636501561676,0.1188065737502363,0.628604378283871,0.8875962560991393,1.9412611608534949
45,1,level_ge_7m,individual,julho_levels,235,189,0.8042553191489362,0.2756204562168863,0.12120535480449336,0.6231759854158766,0.8818012597436743,1.9329935742576074
45,1,level_ge_7m,common_three,reference,235,186,0.7914893617021277,0.27605636501561676,0.1188065737502363,0.628604378283871,0.8875962560991393,1.9412611608534949
45,1,level_ge_7m,common_three,julho_levels,235,189,0.8042553191489362,0.2756204562168863,0.12120535480449336,0.6231759854158766,0.8818012597436743,1.9329935742576074
15,2,all,individual,reference,1935,1739,0.8987080103359173,0.20571189408648383,0.0011452302137218641,0.5048253078435446,0.8082694383609288,2.1591250166535616
15,2,all,individual,julho_levels,1935,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
15,2,all,common_three,reference,1933,1737,0.8986032074495602,0.20564593779287013,0.0014252135371340023,0.5050235590802425,0.8084474888993872,2.1591250166535616
15,2,all,common_three,julho_levels,1933,1718,0.8887739265390585,0.21163682151231275,0.009933814239478546,0.5226428069111101,0.8087167179490476,2.1256756873033744
30,2,all,individual,reference,1936,1701,0.8786157024793388,0.22291431312564253,0.0008879187999761509,0.5476931673290807,0.8453950838040396,2.2589808578809247
30,2,all,individual,julho_levels,1936,1695,0.8755165289256198,0.22870453354020406,0.009374241556586343,0.5629504737102808,0.8415837453376088,2.2251923867772714
30,2,all,common_three,reference,1933,1698,0.8784273150543197,0.2227669863504349,0.001382584786656544,0.5481716279717007,0.8456953724014284,2.2589808578809247
30,2,all,common_three,julho_levels,1933,1692,0.8753233316088981,0.2285876845162974,0.00986058686879632,0.5631422647174219,0.8419339597854236,2.2251923867772714
45,2,all,individual,reference,1936,1672,0.8636363636363636,0.23895092417817448,0.0007279249830156176,0.589182450567997,0.9065574292458087,2.651223655866648
45,2,all,individual,julho_levels,1936,1667,0.8610537190082644,0.2445579328403018,0.009189257895172031,0.6012345518366742,0.8977291522299368,2.6161651621850375
45,2,all,common_three,reference,1933,1669,0.8634247284014486,0.23896546522741377,0.001085363523783338,0.5893640326237956,0.9066600371669701,2.651223655866648
45,2,all,common_three,julho_levels,1933,1664,0.8608380755302638,0.24460557042549014,0.009535433849666292,0.6020215616482771,0.8977392836275583,2.6161651621850375
15,2,level_ge_7m,individual,reference,235,177,0.7531914893617021,0.34528151450281547,0.14168695048914437,0.815975732730028,1.0588579412598857,2.1591250166535616
15,2,level_ge_7m,individual,julho_levels,235,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
15,2,level_ge_7m,common_three,reference,235,177,0.7531914893617021,0.34528151450281547,0.14168695048914437,0.815975732730028,1.0588579412598857,2.1591250166535616
15,2,level_ge_7m,common_three,julho_levels,235,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
30,2,level_ge_7m,individual,reference,235,171,0.7276595744680852,0.37244102939360957,0.15664593512312774,0.852809641372617,1.1374512310543778,2.2589808578809247
30,2,level_ge_7m,individual,julho_levels,235,170,0.723404255319149,0.36665651704919716,0.16417021447172395,0.8202493067584378,1.1339203431365605,2.2251923867772714
30,2,level_ge_7m,common_three,reference,235,171,0.7276595744680852,0.37244102939360957,0.15664593512312774,0.852809641372617,1.1374512310543778,2.2589808578809247
30,2,level_ge_7m,common_three,julho_levels,235,170,0.723404255319149,0.36665651704919716,0.16417021447172395,0.8202493067584378,1.1339203431365605,2.2251923867772714
45,2,level_ge_7m,individual,reference,235,166,0.7063829787234043,0.3972949732126508,0.1686863080212166,0.9168620323744523,1.1369409349260573,2.651223655866648
45,2,level_ge_7m,individual,julho_levels,235,165,0.7021276595744681,0.39173190286388576,0.17622473266523705,0.8759094011154314,1.1444726256666835,2.6161651621850375
45,2,level_ge_7m,common_three,reference,235,166,0.7063829787234043,0.3972949732126508,0.1686863080212166,0.9168620323744523,1.1369409349260573,2.651223655866648
45,2,level_ge_7m,common_three,julho_levels,235,165,0.7021276595744681,0.39173190286388576,0.17622473266523705,0.8759094011154314,1.1444726256666835,2.6161651621850375
15,3,all,individual,reference,1932,1649,0.8535196687370601,0.25284834160911157,-0.0015993326400558473,0.5930738736616346,1.0101685911026854,2.8988829116145745
15,3,all,individual,julho_levels,1932,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
15,3,all,common_three,reference,1930,1647,0.8533678756476684,0.25271582981545476,-0.0012064591790735659,0.5934265781921122,1.0102073037412502,2.8988829116145745
15,3,all,common_three,julho_levels,1930,1634,0.8466321243523316,0.26238538814943224,0.015334231985202958,0.6137398743339079,1.0269113758461168,2.769956886268055
30,3,all,individual,reference,1933,1636,0.8463528194516295,0.26432604562354284,-0.0018581247910728325,0.6259840914700064,1.0599097500500112,2.8569411653407712
30,3,all,individual,julho_levels,1933,1609,0.8323848939472323,0.2738424252712742,0.014664629815601168,0.6350463371561417,1.0669160067473862,2.7280690759539947
30,3,all,common_three,reference,1930,1634,0.8466321243523316,0.26421129856530373,-0.0013353965087418446,0.6263657284577535,1.0601245445760377,2.8569411653407712
30,3,all,common_three,julho_levels,1930,1607,0.8326424870466321,0.2737815541222158,0.015173431196146225,0.6358444357123592,1.0675051123130967,2.7280690759539947
45,3,all,individual,reference,1933,1616,0.8360062079668908,0.27494455596061984,-0.0021930828404124244,0.6490653236298832,1.1069849075013134,3.0201668609551486
45,3,all,individual,julho_levels,1933,1587,0.8210036213140196,0.28423930293395655,0.01430127498231844,0.6603294190612435,1.1098119335629468,2.953569729815772
45,3,all,common_three,reference,1930,1613,0.8357512953367876,0.2749773229271027,-0.0018018837865011992,0.6493181739758823,1.1070077693780926,3.0201668609551486
45,3,all,common_three,julho_levels,1930,1584,0.8207253886010363,0.2843271133446094,0.014677517283452533,0.6605424585064066,1.1100901663184042,2.953569729815772
15,3,level_ge_7m,individual,reference,235,151,0.6425531914893617,0.4688174627247561,0.18284855507167594,1.0628624023806914,1.6724162733344299,2.8988829116145745
15,3,level_ge_7m,individual,julho_levels,235,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
15,3,level_ge_7m,common_three,reference,235,151,0.6425531914893617,0.4688174627247561,0.18284855507167594,1.0628624023806914,1.6724162733344299,2.8988829116145745
15,3,level_ge_7m,common_three,julho_levels,235,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
30,3,level_ge_7m,individual,reference,235,148,0.6297872340425532,0.4908724825613812,0.19721495024550764,1.107326817593462,1.7406010378372612,2.8569411653407712
30,3,level_ge_7m,individual,julho_levels,235,149,0.6340425531914894,0.47950134477641865,0.2111215340763831,1.113206079775724,1.3969883186215832,2.7280690759539947
30,3,level_ge_7m,common_three,reference,235,148,0.6297872340425532,0.4908724825613812,0.19721495024550764,1.107326817593462,1.7406010378372612,2.8569411653407712
30,3,level_ge_7m,common_three,julho_levels,235,149,0.6340425531914894,0.47950134477641865,0.2111215340763831,1.113206079775724,1.3969883186215832,2.7280690759539947
45,3,level_ge_7m,individual,reference,235,144,0.6127659574468085,0.5103790713896232,0.20799960843089635,1.152430880350765,1.7649738773967338,3.0201668609551486
45,3,level_ge_7m,individual,julho_levels,235,144,0.6127659574468085,0.4991953831653973,0.22192017744191725,1.132617882287,1.4091164379041459,2.953569729815772
45,3,level_ge_7m,common_three,reference,235,144,0.6127659574468085,0.5103790713896232,0.20799960843089635,1.152430880350765,1.7649738773967338,3.0201668609551486
45,3,level_ge_7m,common_three,julho_levels,235,144,0.6127659574468085,0.4991953831653973,0.22192017744191725,1.132617882287,1.4091164379041459,2.953569729815772
15,4,all,individual,reference,1930,1609,0.833678756476684,0.2853203518752747,-0.006060377114599486,0.6465195033388381,1.2417054571385628,3.329018638853949
15,4,all,individual,julho_levels,1930,1569,0.8129533678756476,0.2995723727564162,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
15,4,all,common_three,reference,1928,1608,0.8340248962655602,0.28517961738335634,-0.005629953852182432,0.6468866682595398,1.2419904829200719,3.329018638853949
15,4,all,common_three,julho_levels,1928,1568,0.8132780082987552,0.29944864576197866,0.020080274689145812,0.6664035633736867,1.2341281144398264,3.146640556692857
30,4,all,individual,reference,1931,1604,0.8306576903158985,0.2920866165432466,-0.006304648968126357,0.6575693691282336,1.276581520148242,3.2881652171625735
30,4,all,individual,julho_levels,1931,1555,0.8052822371828068,0.3065350044095605,0.019402882160154854,0.6742646748756318,1.2678633836041195,3.105842086529357
30,4,all,common_three,reference,1928,1602,0.8309128630705395,0.2919772199044136,-0.005837784021824298,0.6579482412131634,1.277100749287679,3.2881652171625735
30,4,all,common_three,julho_levels,1928,1553,0.8054979253112033,0.30640060537945524,0.019844677111808665,0.6744067740155885,1.2687354864793312,3.105842086529357
45,4,all,individual,reference,1931,1595,0.8259968928016572,0.2982701175889558,-0.00673451843962468,0.66459282315523,1.3267058293372038,3.221638938064004
45,4,all,individual,julho_levels,1931,1547,0.8011393060590367,0.3126834410444939,0.018937115177876867,0.683936359105874,1.3180193245756775,3.0397994020300594
45,4,all,common_three,reference,1928,1592,0.8257261410788381,0.2983386602666893,-0.00639965481861289,0.6655445855365333,1.3270168926785852,3.221638938064004
45,4,all,common_three,julho_levels,1928,1544,0.8008298755186722,0.31271553561089205,0.019257221383243758,0.6849106981523072,1.3186116809781527,3.0397994020300594
15,4,level_ge_7m,individual,reference,235,134,0.5702127659574469,0.5799805335533165,0.21239769641752104,1.318664578584491,2.3065520961483585,3.329018638853949
15,4,level_ge_7m,individual,julho_levels,235,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
15,4,level_ge_7m,common_three,reference,235,134,0.5702127659574469,0.5799805335533165,0.21239769641752104,1.318664578584491,2.3065520961483585,3.329018638853949
15,4,level_ge_7m,common_three,julho_levels,235,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
30,4,level_ge_7m,individual,reference,235,132,0.5617021276595745,0.5971595147728536,0.22583865814329362,1.371494836286943,2.395327690619914,3.2881652171625735
30,4,level_ge_7m,individual,julho_levels,235,134,0.5702127659574469,0.5816680276700861,0.24537647768012663,1.3536307851552856,1.8865207113188298,3.105842086529357
30,4,level_ge_7m,common_three,reference,235,132,0.5617021276595745,0.5971595147728536,0.22583865814329362,1.371494836286943,2.395327690619914,3.2881652171625735
30,4,level_ge_7m,common_three,julho_levels,235,134,0.5702127659574469,0.5816680276700861,0.24537647768012663,1.3536307851552856,1.8865207113188298,3.105842086529357
45,4,level_ge_7m,individual,reference,235,130,0.5531914893617021,0.6125506369506815,0.23557580525075228,1.416369079983297,2.458978222572348,3.221638938064004
45,4,level_ge_7m,individual,julho_levels,235,132,0.5617021276595745,0.5977392451163321,0.25512429052313795,1.3887665196090655,1.8958449154818766,3.0397994020300594
45,4,level_ge_7m,common_three,reference,235,130,0.5531914893617021,0.6125506369506815,0.23557580525075228,1.416369079983297,2.458978222572348,3.221638938064004
45,4,level_ge_7m,common_three,julho_levels,235,132,0.5617021276595745,0.5977392451163321,0.25512429052313795,1.3887665196090655,1.8958449154818766,3.0397994020300594
