tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,1,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,35,1.0,0.08205242466823001,-0.0014527133345480488,0.20879555812912454,0.22026281729690922
6,reference,1,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,116,0.8721804511278195,0.277534871723912,0.12977751994233525,1.0244666607588984,1.3540766916208895
6,reference,1,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,49,1.0,0.1534912220416913,0.10005303018503718,0.3431280604302894,0.3989253938939443
6,reference,1,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,18,1.0,0.11137915102550193,-0.0691195218512483,0.32723623742793545,0.3641287673038027
6,reference,1,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,1,trend,falling,all,850,846,845,1,837,0.9905325443786982,0.1376398363760691,0.08659881304197894,0.4485064144166865,0.88464632998729
6,reference,1,trend,falling,level_ge_7m,114,114,113,1,111,0.9823008849557522,0.1799985014148067,0.1512752138486651,0.4567724299483846,0.666153794402117
6,reference,1,trend,rising,all,458,457,457,0,431,0.9431072210065645,0.1812604386389189,-0.10710984868104835,0.5946002359282353,1.3540766916208895
6,reference,1,trend,rising,level_ge_7m,87,87,87,0,73,0.8390804597701149,0.2684615697754439,-0.008771029724894729,1.1193551588454531,1.3540766916208895
6,reference,1,trend,stable,all,627,627,627,0,618,0.9856459330143541,0.09752772999637363,-0.034222735340792836,0.4823509645265257,0.7078068447698262
6,reference,1,trend,stable,level_ge_7m,34,34,34,0,34,1.0,0.14264625887791235,0.1109730977514111,0.49507225754008266,0.4963854172268931
6,reference,1,trend,unknown,all,32,14,9,5,8,0.8888888888888888,0.2856821615502131,0.12788708920810457,0.7025072030540549,0.7639073689844622
6,reference,1,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.7639073689844622,0.7639073689844622,0.7639073689844622,0.7639073689844622
6,reference,2,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,35,1.0,0.11738783090447176,-0.01328281228097953,0.3128163817287777,0.32090880819162937
6,reference,2,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,77,0.5789473684210527,0.4619919044642436,0.20807441343822614,1.4325644521319223,2.1591250166535616
6,reference,2,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,47,0.9591836734693877,0.2546393097427432,0.16764716133936033,0.5451482601427146,0.6338541071290784
6,reference,2,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,18,1.0,0.1727962419647955,-0.11818200545164093,0.49438993621089916,0.4955980620850813
6,reference,2,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,2,trend,falling,all,850,844,843,1,756,0.896797153024911,0.2109955692600478,0.11372796421850655,0.7284613855578898,1.019932518362527
