horizon_h,origin,target_time,base_m,target_m,response_m,weight
1,2023-09-01T00:00:00-03:00,2023-09-01T01:00:00-03:00,0.86,0.85,-0.010000000000000009,1
1,2023-09-01T01:00:00-03:00,2023-09-01T02:00:00-03:00,0.85,0.84,-0.010000000000000009,1
1,2023-09-01T02:00:00-03:00,2023-09-01T03:00:00-03:00,0.84,0.87,0.030000000000000027,1
1,2023-09-01T03:00:00-03:00,2023-09-01T04:00:00-03:00,0.86,1.14,0.2799999999999999,1
1,2023-09-01T04:00:00-03:00,2023-09-01T05:00:00-03:00,1.03,1.57,0.54,1
1,2023-09-01T05:00:00-03:00,2023-09-01T06:00:00-03:00,1.48,1.8,0.32000000000000006,1
1,2023-09-01T06:00:00-03:00,2023-09-01T07:00:00-03:00,1.77,1.86,0.09000000000000008,1
1,2023-09-01T07:00:00-03:00,2023-09-01T08:00:00-03:00,1.85,1.82,-0.030000000000000027,1
1,2023-09-01T08:00:00-03:00,2023-09-01T09:00:00-03:00,1.84,1.75,-0.09000000000000008,1
1,2023-09-01T09:00:00-03:00,2023-09-01T10:00:00-03:00,1.77,1.65,-0.1200000000000001,1
1,2023-09-01T10:00:00-03:00,2023-09-01T11:00:00-03:00,1.68,1.54,-0.1399999999999999,1
1,2023-09-01T11:00:00-03:00,2023-09-01T12:00:00-03:00,1.57,1.43,-0.14000000000000012,1
1,2023-09-01T12:00:00-03:00,2023-09-01T13:00:00-03:00,1.46,1.33,-0.1299999999999999,1
1,2023-09-01T13:00:00-03:00,2023-09-01T14:00:00-03:00,1.36,1.25,-0.1100000000000001,1
1,2023-09-01T14:00:00-03:00,2023-09-01T15:00:00-03:00,1.27,1.17,-0.10000000000000009,1
1,2023-09-01T15:00:00-03:00,2023-09-01T16:00:00-03:00,1.19,1.1,-0.08999999999999986,1
1,2023-09-01T16:00:00-03:00,2023-09-01T17:00:00-03:00,1.11,1.04,-0.07000000000000006,1
1,2023-09-01T17:00:00-03:00,2023-09-01T18:00:00-03:00,1.05,0.99,-0.06000000000000005,1
1,2023-09-01T18:00:00-03:00,2023-09-01T19:00:00-03:00,1.0,0.95,-0.050000000000000044,1
1,2023-09-01T19:00:00-03:00,2023-09-01T20:00:00-03:00,0.96,0.92,-0.039999999999999925,1
1,2023-09-01T20:00:00-03:00,2023-09-01T21:00:00-03:00,0.93,0.9,-0.030000000000000027,1
1,2023-09-01T21:00:00-03:00,2023-09-01T22:00:00-03:00,0.91,0.88,-0.030000000000000027,1
1,2023-09-01T22:00:00-03:00,2023-09-01T23:00:00-03:00,0.89,0.87,-0.020000000000000018,1
1,2023-09-01T23:00:00-03:00,2023-09-02T00:00:00-03:00,0.87,0.86,-0.010000000000000009,1
1,2023-09-02T00:00:00-03:00,2023-09-02T01:00:00-03:00,0.87,0.86,-0.010000000000000009,1
1,2023-09-02T01:00:00-03:00,2023-09-02T02:00:00-03:00,0.86,0.92,0.06000000000000005,1
1,2023-09-02T02:00:00-03:00,2023-09-02T03:00:00-03:00,0.89,1.26,0.37,1
1,2023-09-02T03:00:00-03:00,2023-09-02T04:00:00-03:00,1.15,1.61,0.4600000000000002,1
1,2023-09-02T04:00:00-03:00,2023-09-02T05:00:00-03:00,1.54,1.76,0.21999999999999997,1
1,2023-09-02T05:00:00-03:00,2023-09-02T06:00:00-03:00,1.74,1.8,0.06000000000000005,1
1,2023-09-02T06:00:00-03:00,2023-09-02T07:00:00-03:00,1.8,1.78,-0.020000000000000018,1
1,2023-09-02T07:00:00-03:00,2023-09-02T08:00:00-03:00,1.79,1.74,-0.050000000000000044,1
1,2023-09-02T08:00:00-03:00,2023-09-02T09:00:00-03:00,1.75,1.66,-0.09000000000000008,1
1,2023-09-02T09:00:00-03:00,2023-09-02T10:00:00-03:00,1.68,1.57,-0.10999999999999988,1
1,2023-09-02T10:00:00-03:00,2023-09-02T11:00:00-03:00,1.59,1.47,-0.1200000000000001,1
1,2023-09-02T11:00:00-03:00,2023-09-02T12:00:00-03:00,1.49,1.37,-0.11999999999999988,1
1,2023-09-02T12:00:00-03:00,2023-09-02T13:00:00-03:00,1.4,1.29,-0.10999999999999988,1
1,2023-09-02T13:00:00-03:00,2023-09-02T14:00:00-03:00,1.31,1.21,-0.10000000000000009,1
1,2023-09-02T14:00:00-03:00,2023-09-02T15:00:00-03:00,1.23,1.15,-0.08000000000000007,1
1,2023-09-02T15:00:00-03:00,2023-09-02T16:00:00-03:00,1.17,1.11,-0.05999999999999983,1
1,2023-09-02T16:00:00-03:00,2023-09-02T17:00:00-03:00,1.12,1.11,-0.010000000000000009,1
