horizon_h,population,block,rows,rows_any_missing,rows_all_missing,missing_cells,cells
1,validation_high,Muçum,28,0,0,0,168
1,validation_high,Linha José Júlio,28,0,0,0,168
1,validation_high,Santa Tereza,28,0,0,0,168
1,validation_high,Carreiro nível,28,0,0,0,168
1,validation_high,Julho Q/I,28,0,0,0,196
1,validation_high,Monte Q/I,28,0,0,0,196
1,validation_high,Castro Q/I,28,0,0,0,196
1,validation_high,Baixo Antas chuva,28,0,0,0,420
1,validation_high,Carreiro chuva,28,0,0,0,420
1,validation_high,Prata-Turvo chuva,28,0,0,0,420
1,validation_high,Alto Antas chuva,28,0,0,0,420
1,validation_high,Tainhas chuva,28,0,0,0,420
1,original_validation_train,Muçum,4362,57,0,70,26172
1,original_validation_train,Linha José Júlio,4362,11,2,21,26172
1,original_validation_train,Santa Tereza,4362,680,360,2641,26172
1,original_validation_train,Carreiro nível,4362,14,1,19,26172
1,original_validation_train,Julho Q/I,4362,2,0,2,30534
1,original_validation_train,Monte Q/I,4362,7,1,13,30534
1,original_validation_train,Castro Q/I,4362,2,0,2,30534
1,original_validation_train,Baixo Antas chuva,4362,144,0,157,65430
1,original_validation_train,Carreiro chuva,4362,152,0,388,65430
1,original_validation_train,Prata-Turvo chuva,4362,20,0,34,65430
1,original_validation_train,Alto Antas chuva,4362,21,0,41,65430
1,original_validation_train,Tainhas chuva,4362,22,0,38,65430
1,added2023_all,Muçum,503,8,0,15,3018
1,added2023_all,Linha José Júlio,503,0,0,0,3018
1,added2023_all,Santa Tereza,503,503,503,3018,3018
1,added2023_all,Carreiro nível,503,503,503,3018,3018
1,added2023_all,Julho Q/I,503,12,3,32,3521
1,added2023_all,Monte Q/I,503,12,3,32,3521
1,added2023_all,Castro Q/I,503,12,3,32,3521
1,added2023_all,Baixo Antas chuva,503,430,0,3775,7545
1,added2023_all,Carreiro chuva,503,420,0,3748,7545
1,added2023_all,Prata-Turvo chuva,503,0,0,0,7545
1,added2023_all,Alto Antas chuva,503,2,0,2,7545
1,added2023_all,Tainhas chuva,503,1,0,1,7545
1,added2023_high,Muçum,56,8,0,15,336
1,added2023_high,Linha José Júlio,56,0,0,0,336
1,added2023_high,Santa Tereza,56,56,56,336,336
1,added2023_high,Carreiro nível,56,56,56,336,336
1,added2023_high,Julho Q/I,56,0,0,0,392
1,added2023_high,Monte Q/I,56,0,0,0,392
1,added2023_high,Castro Q/I,56,0,0,0,392
1,added2023_high,Baixo Antas chuva,56,56,0,471,840
1,added2023_high,Carreiro chuva,56,54,0,454,840
1,added2023_high,Prata-Turvo chuva,56,0,0,0,840
1,added2023_high,Alto Antas chuva,56,2,0,2,840
1,added2023_high,Tainhas chuva,56,0,0,0,840
2,validation_high,Muçum,28,0,0,0,168
