phase,horizon_h,original_n,added_n,row_fraction_2023,original_weight,added_weight,weight_fraction_2023,original_ge7,added_ge7,original_ge9,added_ge9,added_abs_response_ge1,original_ge7_weight,added_ge7_weight
validation,1,4362,503,0.10339157245632066,4646,525,0.10152775091858442,227,56,134,5,6,507,76
test,1,10841,503,0.04434062059238364,11137,525,0.045018007202881155,255,56,137,5,6,541,76
validation,2,4360,501,0.10306521291915244,4714,535,0.1019241760335302,227,55,134,5,12,531,83
test,2,10837,501,0.044187687422825896,11273,535,0.04530826558265583,255,55,137,5,12,569,83
validation,3,4358,499,0.10273831583281862,4832,541,0.10068862832681928,227,54,134,5,16,569,86
test,3,10834,499,0.044030706785493694,11510,541,0.04489254003817111,255,54,137,5,16,611,86
validation,4,4356,497,0.1024108798681228,4980,545,0.09864253393665158,227,53,134,5,19,631,87
test,4,10830,497,0.043877460934051385,11762,545,0.04428374096042902,255,53,137,5,19,677,87
validation,5,4355,495,0.10206185567010309,5141,557,0.09775359775359775,227,52,134,5,26,675,88
test,5,10828,495,0.0437163295946304,12152,557,0.04382720906444252,255,52,137,5,26,723,88
validation,6,4354,493,0.10171239942232309,5334,565,0.09577894558399729,227,51,134,5,31,721,89
test,6,10826,493,0.0435550843714109,12558,565,0.04305417968452335,255,51,137,5,31,773,89
validation,7,4353,491,0.10136251032204789,5481,573,0.09464816650148662,227,50,134,5,36,749,90
test,7,10824,491,0.04339372514361467,12870,573,0.042624414193260435,255,50,137,5,36,807,90
validation,8,4352,489,0.10101218756455278,5612,585,0.09440051637889302,227,49,134,5,43,771,93
test,8,10822,489,0.043232251790292636,13128,585,0.042660249398381096,255,49,137,5,43,831,93
validation,9,4351,487,0.10066143034311699,5731,607,0.09577153676238562,227,48,134,5,55,783,94
test,9,10821,487,0.043066855323664666,13363,607,0.04345025053686471,255,48,137,5,55,843,94
validation,10,4350,485,0.10031023784901758,5836,617,0.09561444289477762,227,47,134,5,61,801,95
test,10,10818,485,0.04290896222241883,13556,617,0.04353347915049743,255,47,137,5,61,863,95
validation,11,4349,483,0.09995860927152318,5927,633,0.09649390243902439,227,46,134,5,70,813,102
test,11,10817,483,0.04274336283185841,13701,633,0.04416073670992047,255,46,137,5,70,877,102
validation,12,4348,481,0.09960654379788776,6004,663,0.09944502774861257,227,45,134,5,86,827,101
test,12,10814,481,0.04258521469676848,13812,663,0.04580310880829015,255,45,137,5,86,895,101
