phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,1,all,total,all,1967,1944,23,1938,6,1922,2,3,11,1924,1925,0.06115455391580039,0.061719644408389916,1.095145374638495,8,9,6,4
test,1,all,target_level,below7,1707,1707,0,1702,5,1695,1,2,4,1696,1697,0.05160566851868056,0.052090278610760404,0.8248063767198932,2,3,4,2
test,1,all,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.07331900584587414,0.07186630016488607,-0.1743246817185682,1,1,0,0
test,1,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,1,all,target_level,atleast9,117,117,0,116,1,108,1,1,6,109,109,0.18867583593553405,0.19250914351861315,0.4446636796371699,5,5,2,2
test,1,all,known_trend,rising,342,342,0,342,0,331,2,0,9,333,331,0.113211410722847,0.11709557185937056,1.328383108691055,8,9,1,2
test,1,all,known_trend,stable,1119,1117,2,1117,0,1114,0,2,1,1114,1116,0.041888013907459234,0.04148615971643156,-0.44887113137791346,0,0,3,1
test,1,all,known_trend,falling,479,475,4,475,0,473,0,1,1,473,474,0.06789661338677738,0.06786816984126681,-0.013510684117516103,0,0,2,1
test,1,all,known_trend,unknown,27,10,17,4,6,4,0,0,0,4,4,0.18985503206406684,0.24714105242478424,0.22914408144286957,0,0,0,0
test,1,all,upstream,missing,604,584,20,579,5,566,1,2,10,567,568,0.08541400918881072,0.08521102786495817,-0.11752618651063251,7,8,5,3
test,1,all,upstream,complete,1363,1360,3,1359,1,1356,1,1,1,1357,1357,0.05081884780610725,0.051711174194002126,1.2126715611491274,1,1,1,1
test,1,all,transition,both_hit,1922,1922,0,1922,0,1922,0,0,0,1922,1922,0.054123158027110076,0.05472298754967605,1.1528723423718088,0,0,0,0
test,1,all,transition,both_miss,11,11,0,11,0,0,0,0,11,0,0,1.0897445321858337,1.083268996888947,-0.07123088826575374,8,8,3,3
test,1,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,1,all,transition,missing_forecast,6,6,0,0,6,0,0,0,0,0,0,,,0,0,0,0,0
test,1,all,transition,miss_to_hit,3,3,0,3,0,0,0,3,0,0,3,0.5331702892698708,0.4817844506368363,-0.15415751589910331,0,0,3,0
test,1,all,transition,hit_to_miss,2,2,0,2,0,0,2,0,0,2,0,0.4530575194309079,0.5368882376466795,0.1676614364315432,0,1,0,1
test,1,level_ge_7m,total,all,237,237,0,236,1,227,1,1,7,228,228,0.13001982063570697,0.13116532486417565,0.2703389979186017,6,6,2,2
test,1,level_ge_7m,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.07331900584587414,0.07186630016488607,-0.1743246817185682,1,1,0,0
test,1,level_ge_7m,target_level,atleast9,117,117,0,116,1,108,1,1,6,109,109,0.18867583593553405,0.19250914351861315,0.4446636796371699,5,5,2,2
test,1,level_ge_7m,known_trend,rising,71,71,0,71,0,63,1,0,7,64,63,0.2619096992840047,0.27355888784595306,0.8270923878983316,6,6,1,2
test,1,level_ge_7m,known_trend,stable,73,73,0,73,0,73,0,0,0,73,73,0.04560446682657426,0.042671887685255656,-0.21407827731625773,0,0,0,0
test,1,level_ge_7m,known_trend,falling,91,91,0,91,0,90,0,1,0,90,91,0.09354744528320398,0.08904611195578016,-0.40962133279556756,0,0,1,0
test,1,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.2471454217510285,0.3140916418831239,0.06694622013209539,0,0,0,0
test,1,level_ge_7m,upstream,missing,93,93,0,92,1,84,0,1,7,84,85,0.2079356373630308,0.20395270940825788,-0.36642937183911517,6,6,2,1
test,1,level_ge_7m,upstream,complete,144,144,0,144,0,143,1,0,0,144,143,0.08024027105991674,0.08466227362767867,0.6367683697577169,0,0,0,1
test,1,level_ge_7m,transition,both_hit,227,227,0,227,0,227,0,0,0,227,227,0.08880507163862715,0.089520227837994,0.16234045725627588,0,0,0,0
test,1,level_ge_7m,transition,both_miss,7,7,0,7,0,0,0,0,7,0,0,1.3711830923074797,1.3706886450557256,-0.0034611307622771648,6,6,1,1
test,1,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,1,level_ge_7m,transition,miss_to_hit,1,1,0,1,0,0,0,1,0,0,1,0.5168046604598864,0.49888459619348424,-0.017920064266402136,0,0,1,0
test,1,level_ge_7m,transition,hit_to_miss,1,1,0,1,0,0,1,0,0,1,0,0.41084010144624017,0.5402198371372453,0.12937973569100514,0,0,0,1
test,2,all,total,all,1966,1943,23,1935,8,1893,5,11,26,1898,1904,0.08221210133086075,0.08052432321981344,-3.265850644876557,11,13,26,18
test,2,all,target_level,below7,1706,1706,0,1699,7,1680,3,6,10,1683,1686,0.068393909942545,0.06801497205572778,-0.6438154697024716,2,3,14,10
test,2,all,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.08027169183580048,0.07512101934315582,-0.6180806991173577,1,1,0,0
test,2,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,2,all,target_level,atleast9,117,117,0,116,1,94,2,5,15,96,99,0.28660827640116865,0.2693328067799899,-2.0039544760567276,8,9,12,8
test,2,all,known_trend,rising,341,340,1,340,0,321,3,4,12,324,325,0.15076568289900613,0.14655469728727344,-1.431735107989116,9,11,7,4
test,2,all,known_trend,stable,1119,1116,3,1116,0,1105,1,4,6,1106,1109,0.05328502218703675,0.052802410036322266,-0.5385951601973531,1,1,9,6
test,2,all,known_trend,falling,479,475,4,475,0,463,1,3,8,464,466,0.10092342747157614,0.09763214098658511,-1.5633610803707332,1,1,10,8
test,2,all,known_trend,unknown,27,12,15,4,8,4,0,0,0,4,4,0.10384276995544817,0.1708029458756095,0.2678407036806454,0,0,0,0
test,2,all,upstream,missing,604,585,19,578,7,554,2,3,19,556,557,0.12102440629514148,0.12017053118391177,-0.4935398142907639,8,9,14,12
test,2,all,upstream,complete,1362,1358,4,1357,1,1339,3,8,7,1342,1347,0.0656804047432747,0.06363743434490642,-2.772310830585793,3,4,12,6
test,2,all,transition,both_hit,1893,1893,0,1893,0,1893,0,0,0,1893,1893,0.06619930493524165,0.0647533687659891,-2.737157168395069,0,0,0,0
test,2,all,transition,hit_to_miss,5,5,0,5,0,0,5,0,0,5,0,0.4579750099392033,0.5661843660150317,0.5410467803791423,0,4,0,1
test,2,all,transition,miss_to_hit,11,11,0,11,0,0,0,11,0,0,11,0.5874874340599888,0.45730504706565006,-1.4320062569377265,2,0,9,0
test,2,all,transition,both_miss,26,26,0,26,0,0,0,0,26,0,0,0.9620344234018166,0.9759677310970895,0.3622660000770961,9,9,17,17
test,2,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,2,all,transition,missing_forecast,8,8,0,0,8,0,0,0,0,0,0,,,0,0,0,0,0
test,2,level_ge_7m,total,all,237,237,0,236,1,213,2,5,16,215,218,0.1816913689950492,0.170581050456176,-2.6220351751740854,9,10,12,8
test,2,level_ge_7m,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.08027169183580048,0.07512101934315582,-0.6180806991173577,1,1,0,0
test,2,level_ge_7m,target_level,atleast9,117,117,0,116,1,94,2,5,15,96,99,0.28660827640116865,0.2693328067799899,-2.0039544760567276,8,9,12,8
test,2,level_ge_7m,known_trend,rising,75,75,0,75,0,57,2,4,12,59,61,0.3654613373754191,0.3525974223744618,-0.9647936250717919,9,10,7,4
test,2,level_ge_7m,known_trend,stable,69,69,0,69,0,68,0,1,0,68,69,0.07609816308150208,0.06744898429712155,-0.5967933361222562,0,0,1,0
test,2,level_ge_7m,known_trend,falling,91,91,0,91,0,87,0,0,4,87,87,0.11127237989111308,0.09843982300226264,-1.1677626768853875,0,0,4,4
test,2,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.09300295696025529,0.20031741986560547,0.10731446290535018,0,0,0,0
test,2,level_ge_7m,upstream,missing,94,94,0,93,1,81,0,0,12,81,81,0.2725319779170283,0.2685000853427785,-0.37496600940523095,7,7,5,5
test,2,level_ge_7m,upstream,complete,143,143,0,143,0,132,2,5,4,134,137,0.12261321074509078,0.1068994403550988,-2.2470691657688544,2,3,7,3
test,2,level_ge_7m,transition,both_hit,213,213,0,213,0,213,0,0,0,213,213,0.09696905703938356,0.0860109106094096,-2.334085189584454,0,0,0,0
test,2,level_ge_7m,transition,both_miss,16,16,0,16,0,0,0,0,16,0,0,1.1373472635569728,1.1592271385492303,0.3500779998761212,8,8,8,8
test,2,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,2,level_ge_7m,transition,miss_to_hit,5,5,0,5,0,0,0,5,0,0,5,0.6165166099026997,0.45128676320343075,-0.826149233496345,1,0,4,0
test,2,level_ge_7m,transition,hit_to_miss,2,2,0,2,0,0,2,0,0,2,0,0.47230733350892695,0.5663679575242231,0.18812124803059227,0,2,0,0
test,3,all,total,all,1965,1942,23,1932,10,1874,5,0,53,1879,1874,0.10120592211712293,0.10242945892826975,2.363873119135653,27,29,26,29
