phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,1,all,total,all,1967,1944,23,1939,5,1932,0,2,5,1932,1934,0.03417566632254777,0.033498768403576636,-1.312505064885041,6,4,1,1
test,1,all,target_level,below7,1707,1707,0,1703,4,1702,0,1,0,1702,1703,0.02817571287884642,0.028807489707533888,1.0759159392547535,1,0,0,0
test,1,all,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.046747184013732415,0.039787939705651976,-0.8351093169696524,1,1,0,0
test,1,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,1,all,target_level,atleast9,117,117,0,116,1,111,0,1,4,111,112,0.10925617142324805,0.095865553430402,-1.553311687170142,4,3,1,1
test,1,all,known_trend,stable,1131,1129,2,1129,0,1128,0,0,1,1128,1128,0.022607873787774627,0.02330639220768437,0.7886272960781007,1,1,0,0
test,1,all,known_trend,falling,469,466,3,466,0,466,0,0,0,466,466,0.03158419030332748,0.031333798385424314,-0.11668263374287657,0,0,0,0
test,1,all,known_trend,rising,339,339,0,339,0,333,0,2,4,333,335,0.07606433786685947,0.07015995235946117,-2.0015866870080266,5,3,1,1
test,1,all,known_trend,unknown,28,10,18,5,5,5,0,0,0,5,5,0.04765685496132015,0.05108424691887246,0.01713695978776153,0,0,0,0
test,1,all,upstream,missing,604,584,20,581,3,574,0,2,5,574,576,0.04677924483439583,0.04482669570643767,-1.1344310433436893,6,4,1,1
test,1,all,upstream,complete,1363,1360,3,1358,2,1358,0,0,0,1358,1358,0.028783413660262255,0.028652284042043296,-0.17807402154135166,0,0,0,0
test,1,all,transition,both_hit,1932,1932,0,1932,0,1932,0,0,0,1932,1932,0.03129028968637921,0.031076384851676565,-0.4132641406455153,0,0,0,0
test,1,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,1,all,transition,missing_forecast,5,5,0,0,5,0,0,0,0,0,0,,,0,0,0,0,0
test,1,all,transition,miss_to_hit,2,2,0,2,0,0,0,2,0,0,2,0.5290249156546398,0.39075185605995566,-0.27654611918936833,2,0,0,0
test,1,all,transition,both_miss,5,5,0,5,0,0,0,0,5,0,0,0.9511454988052422,0.8266065377952108,-0.6226948050501573,4,4,1,1
test,1,level_ge_7m,total,all,237,237,0,236,1,230,0,1,5,230,231,0.07747194053705365,0.06735151255341046,-2.3884210041397944,5,4,1,1
test,1,level_ge_7m,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.046747184013732415,0.039787939705651976,-0.8351093169696524,1,1,0,0
test,1,level_ge_7m,target_level,atleast9,117,117,0,116,1,111,0,1,4,111,112,0.10925617142324805,0.095865553430402,-1.553311687170142,4,3,1,1
test,1,level_ge_7m,known_trend,rising,65,65,0,65,0,60,0,1,4,60,61,0.15524973393334748,0.1341268941109334,-1.372984588456915,4,3,1,1
test,1,level_ge_7m,known_trend,stable,82,82,0,82,0,81,0,0,1,81,81,0.03476096671256721,0.034746497043814946,-0.0011865128376857825,1,1,0,0
test,1,level_ge_7m,known_trend,falling,88,88,0,88,0,88,0,0,0,88,88,0.060146245001742586,0.04876013336558685,-1.0019778239817043,0,0,0,0
test,1,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.04887643049321966,0.0366043516297303,-0.012272078863489355,0,0,0,0
test,1,level_ge_7m,upstream,missing,93,93,0,92,1,86,0,1,5,86,87,0.11975251811018861,0.1074172644896169,-1.1348433330925953,5,4,1,1
test,1,level_ge_7m,upstream,complete,144,144,0,144,0,144,0,0,0,144,144,0.050459349309773,0.04175394881638968,-1.253577671047199,0,0,0,0
test,1,level_ge_7m,transition,both_hit,230,230,0,230,0,230,0,0,0,230,230,0.0564502079581276,0.04970607965408294,-1.5511495099302701,0,0,0,0
test,1,level_ge_7m,transition,both_miss,5,5,0,5,0,0,0,0,5,0,0,0.9511454988052422,0.8266065377952108,-0.6226948050501573,4,4,1,1
test,1,level_ge_7m,transition,miss_to_hit,1,1,0,1,0,0,0,1,0,0,1,0.5441026423491042,0.3295259531897372,-0.214576689159367,1,0,0,0
test,1,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,2,all,total,all,1966,1943,23,1936,7,1910,6,6,14,1916,1916,0.06050415557115221,0.05856740431200687,-3.7495504377054045,11,9,9,11
test,2,all,target_level,below7,1706,1706,0,1700,6,1685,6,2,7,1691,1687,0.048670693264022416,0.04941589627002443,1.2668451102034233,5,4,4,9
