phase,horizon_h,target_date,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,1,2026-07-02,3,3,0,3,0,3,0,0,0,3,3,0.06409244152747935,0.03723292256868079,-0.0805785568763957,0,0,0,0
test,1,2026-07-03,24,24,0,24,0,24,0,0,0,24,24,0.042538618142790106,0.03440376768643331,-0.19523641095256306,0,0,0,0
test,1,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.03008351409986787,0.028609332741942217,-0.01179345086340522,0,0,0,0
test,1,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,1.2394921251377524,1.023252922268346,-0.4324784057388129,2,2,0,0
test,1,2026-07-22,23,23,0,22,1,18,0,1,3,18,19,0.18402920215533652,0.18486299247848906,0.018343387109355902,3,2,1,1
test,1,2026-07-23,24,24,0,24,0,24,0,0,0,24,24,0.12087957649931343,0.10190628344580051,-0.45535903328431004,0,0,0,0
test,1,2026-07-24,12,12,0,12,0,12,0,0,0,12,12,0.025029535138068788,0.01969622653455083,-0.06399970324221549,0,0,0,0
test,1,2026-07-28,7,7,0,7,0,7,0,0,0,7,7,0.10288414061014071,0.06874415178044403,-0.23897992180787675,0,0,0,0
test,1,2026-07-29,24,24,0,24,0,24,0,0,0,24,24,0.1209214078398327,0.09356844524152064,-0.6564711023594896,0,0,0,0
test,1,2026-07-30,24,24,0,24,0,24,0,0,0,24,24,0.036187309770632226,0.03006931189684714,-0.14683194897084206,0,0,0,0
test,1,2026-07-31,19,19,0,19,0,19,0,0,0,19,19,0.025202854924586685,0.020601199538883192,-0.08743145232836635,0,0,0,0
test,1,2026-08-13,18,18,0,18,0,18,0,0,0,18,18,0.047513461779920586,0.04402433923404282,-0.06280420582579982,0,0,0,0
test,1,2026-08-14,24,24,0,24,0,24,0,0,0,24,24,0.021234388684922667,0.019001326737337416,-0.053593486742046004,0,0,0,0
test,1,2026-08-15,7,7,0,7,0,7,0,0,0,7,7,0.026516964916557688,0.022158856108726,-0.0305067616548218,0,0,0,0
test,1,2026-08-31,18,18,0,18,0,18,0,0,0,18,18,0.032237549623397505,0.03830977458994164,0.10930004939779447,0,0,0,0
test,2,2026-07-02,3,3,0,3,0,3,0,0,0,3,3,0.1822526357949196,0.18124518145518684,-0.0030223630191983375,0,0,0,0
test,2,2026-07-03,24,24,0,24,0,24,0,0,0,24,24,0.05760641417095743,0.06202224374034315,0.10597990966525739,0,0,0,0
test,2,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.05779875268470236,0.0603601698194447,0.02049133707793871,0,0,0,0
test,2,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,2.1419342336489926,1.9006322632605102,-0.4826039407769649,2,2,0,0
test,2,2026-07-22,23,23,0,22,1,17,0,1,4,17,18,0.3703468572546693,0.28968226287220505,-1.7746210764142134,4,3,1,1
test,2,2026-07-23,24,24,0,24,0,22,0,1,1,22,23,0.20492159827478798,0.1720412624296229,-0.7891280602839625,0,0,2,1
test,2,2026-07-24,12,12,0,12,0,12,0,0,0,12,12,0.05195891237913811,0.04209016482336573,-0.1184249706692686,0,0,0,0
test,2,2026-07-28,7,7,0,7,0,7,0,0,0,7,7,0.18813212146140032,0.15439591881573125,-0.23615341851968363,0,0,0,0
