phase,horizon_h,group,recent_rows,june_rows,recent_weight,june_weight,june_weight_fraction,recent_mean_delta,june_mean_delta,recent_max_delta,june_max_delta
validation,1,all,4362,167,4646,335,0.0672555711704477,0.0005754241173773479,0.045808383233533,1.1800000000000006,1.9699999999999998
validation,1,target_ge7,227,126,507,290,0.36386449184441655,0.013524229074889819,0.010634920634920726,1.1800000000000006,1.9699999999999998
validation,1,target_ge9,134,79,408,241,0.3713405238828968,0.009179104477611824,0.016835443037974764,1.17,1.9699999999999998
validation,1,abs_delta_ge1,8,5,30,19,0.3877551020408163,1.1,1.452,1.1800000000000006,1.9699999999999998
validation,2,all,4360,166,4714,346,0.0683794466403162,0.000816513761467888,0.08409638554216875,2.09,3.24
validation,2,target_ge7,227,126,531,300,0.36101083032490977,0.04026431718061669,0.029126984126984216,2.09,3.24
validation,2,target_ge9,134,79,422,251,0.37295690936106984,0.03977611940298497,0.050759493670886155,2.09,3.24
validation,2,abs_delta_ge1,43,11,149,47,0.23979591836734693,1.3641860465116278,1.8545454545454545,2.09,3.24
validation,3,all,4358,165,4832,383,0.07344199424736338,0.0009132629646626862,0.12321212121212131,3.0200000000000005,4.3
validation,3,target_ge7,227,126,569,334,0.3698781838316722,0.07700440528634357,0.05404761904761914,3.0200000000000005,4.3
validation,3,target_ge9,134,79,448,285,0.3888130968622101,0.087686567164179,0.09898734177215197,3.0200000000000005,4.3
validation,3,abs_delta_ge1,103,30,355,138,0.2799188640973631,1.444757281553398,1.3246666666666669,3.0200000000000005,4.3
validation,4,all,4356,164,4980,408,0.0757238307349666,0.0011960514233241484,0.1626829268292684,3.8600000000000003,5.22
validation,4,target_ge7,227,126,631,356,0.3606889564336373,0.12074889867841404,0.08253968253968264,3.8600000000000003,5.22
validation,4,target_ge9,134,79,498,307,0.3813664596273292,0.1512686567164178,0.1577215189873418,3.8600000000000003,5.22
validation,4,abs_delta_ge1,178,43,630,199,0.24004825090470447,1.2382022471910115,0.9972093023255815,3.8600000000000003,5.22
validation,5,all,4355,163,5141,423,0.07602444284687275,0.0015384615384615359,0.2026993865030675,4.6899999999999995,6.02
validation,5,target_ge7,227,126,675,366,0.3515850144092219,0.16986784140969158,0.11452380952380961,4.6899999999999995,6.02
validation,5,target_ge9,134,79,534,317,0.372502937720329,0.23194029850746256,0.22354430379746848,4.6899999999999995,6.02
validation,5,abs_delta_ge1,259,51,909,233,0.2040280210157618,0.9794208494208494,1.0258823529411767,4.6899999999999995,6.02
validation,6,all,4354,162,5334,430,0.07460097154753643,0.0018948093706936135,0.24382716049382724,5.41,6.8100000000000005
validation,6,target_ge7,227,126,721,374,0.3415525114155251,0.22325991189427308,0.14992063492063504,5.41,6.8100000000000005
validation,6,target_ge9,134,79,568,325,0.3639417693169093,0.3256716417910447,0.2963291139240507,5.41,6.8100000000000005
validation,6,abs_delta_ge1,356,55,1234,253,0.17014122394082046,0.7648033707865168,1.086545454545455,5.41,6.8100000000000005
validation,7,all,4353,161,5481,433,0.07321609739600947,0.0021732138754881644,0.28590062111801245,6.09,7.359999999999999
validation,7,target_ge7,227,126,749,378,0.33540372670807456,0.2802643171806167,0.1877777777777779,6.09,7.359999999999999
validation,7,target_ge9,134,79,576,329,0.36353591160220994,0.429776119402985,0.3749367088607595,6.09,7.359999999999999
validation,7,abs_delta_ge1,430,57,1464,263,0.15228720324261724,0.6717906976744186,1.1740350877192982,6.09,7.359999999999999
validation,8,all,4352,160,5612,436,0.07208994708994709,0.002481617647058823,0.32875000000000004,6.73,7.87
validation,8,target_ge7,227,126,771,382,0.3313096270598439,0.3408810572687224,0.22706349206349213,6.73,7.87
validation,8,target_ge9,134,79,586,333,0.36235038084874865,0.543283582089552,0.4579746835443039,6.73,7.87
validation,8,abs_delta_ge1,496,59,1672,273,0.14035989717223651,0.5619556451612903,1.287627118644068,6.73,7.87
validation,9,all,4351,159,5731,437,0.07084954604409857,0.0029119742587910813,0.37238993710691826,7.119999999999999,8.34
validation,9,target_ge7,227,126,783,384,0.32904884318766064,0.4044493392070484,0.26761904761904776,7.119999999999999,8.34
validation,9,target_ge9,134,79,594,335,0.3606027987082885,0.6635074626865669,0.5437974683544304,7.119999999999999,8.34
validation,9,abs_delta_ge1,556,60,1860,278,0.13002806361085126,0.4911510791366906,1.4315,7.119999999999999,8.34
validation,10,all,4350,158,5836,440,0.07010834926704908,0.0033494252873563202,0.4165822784810126,7.469999999999999,8.74
validation,10,target_ge7,227,126,801,388,0.3263246425567704,0.47039647577092497,0.3096031746031748,7.469999999999999,8.74
validation,10,target_ge9,134,79,602,339,0.3602550478214665,0.7889552238805968,0.6320253164556964,7.469999999999999,8.74
validation,10,abs_delta_ge1,609,62,2027,288,0.1244060475161987,0.41935960591133004,1.5282258064516132,7.469999999999999,8.74
validation,11,all,4349,157,5927,441,0.06925251256281408,0.003784778109910323,0.46114649681528674,7.789999999999999,9.07
validation,11,target_ge7,227,126,813,390,0.32418952618453867,0.5392511013215858,0.3534126984126985,7.789999999999999,9.07
validation,11,target_ge9,134,79,610,341,0.35856992639327023,0.9191044776119403,0.7234177215189874,7.789999999999999,9.07
validation,11,abs_delta_ge1,655,63,2173,293,0.11881589618815896,0.36213740458015264,1.628412698412698,7.789999999999999,9.07
validation,12,all,4348,156,6004,446,0.06914728682170543,0.004234130634774602,0.5059615384615387,8.09,9.47
validation,12,target_ge7,227,126,827,396,0.3237939493049877,0.6116740088105725,0.40039682539682553,8.09,9.47
validation,12,target_ge9,134,79,618,345,0.3582554517133956,1.0538059701492535,0.8194936708860758,8.09,9.47
validation,12,abs_delta_ge1,694,66,2298,306,0.1175115207373272,0.3139625360230548,1.6725757575757576,8.09,9.47
test,1,all,10841,167,11137,335,0.029201534170153417,-0.00024006087999262237,0.045808383233533,1.2400000000000002,1.9699999999999998
test,1,target_ge7,255,126,541,290,0.3489771359807461,0.013999999999999966,0.010634920634920726,1.1800000000000006,1.9699999999999998
test,1,target_ge9,137,79,417,241,0.3662613981762918,0.010145985401459754,0.016835443037974764,1.17,1.9699999999999998
test,1,abs_delta_ge1,11,5,39,19,0.3275862068965517,1.0990909090909091,1.452,1.2400000000000002,1.9699999999999998
