nominal_lead_h,origin_trend,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,rising,reference,all,457,457,0,1.0,431,0.9431072210065645,0.1812604386389189,-0.10710984868104835,0.4108307014040874,0.5946002359282353,1.3540766916208895
1,rising,julho_levels,all,457,457,0,1.0,427,0.9343544857768052,0.18286668465535597,-0.10996367354479031,0.41445923744844315,0.598799400406836,1.3363363795546643
1,rising,reference,level_ge_7m,87,87,0,1.0,73,0.8390804597701149,0.2684615697754439,-0.008771029724894729,0.547862572474131,1.1193551588454531,1.3540766916208895
1,rising,julho_levels,level_ge_7m,87,87,0,1.0,71,0.8160919540229885,0.2652632068712037,-0.006077122702215699,0.5593520877976473,1.0985770591539423,1.3363363795546643
1,falling,reference,all,846,845,1,0.9988179669030733,837,0.9905325443786982,0.1376398363760691,0.08659881304197894,0.329162804258328,0.4485064144166865,0.88464632998729
1,falling,julho_levels,all,846,845,1,0.9988179669030733,837,0.9905325443786982,0.1430220289028909,0.09328567569479573,0.3388755580625477,0.45173423700713894,0.8922724086285623
1,falling,reference,level_ge_7m,114,113,1,0.9912280701754386,111,0.9823008849557522,0.1799985014148067,0.1512752138486651,0.41673435778299395,0.4567724299483846,0.666153794402117
1,falling,julho_levels,level_ge_7m,114,113,1,0.9912280701754386,111,0.9823008849557522,0.18154321294912,0.1538040001301352,0.41500442208911215,0.45322421594669654,0.6708659771482903
1,stable,reference,all,627,627,0,1.0,618,0.9856459330143541,0.09752772999637363,-0.034222735340792836,0.226848654153307,0.4823509645265257,0.7078068447698262
1,stable,julho_levels,all,627,627,0,1.0,619,0.9872408293460925,0.09712760574076854,-0.03267067301696455,0.22671459713075226,0.48547443924372785,0.7052775114414715
1,stable,reference,level_ge_7m,34,34,0,1.0,34,1.0,0.14264625887791235,0.1109730977514111,0.47083785394478694,0.49507225754008266,0.4963854172268931
1,stable,julho_levels,level_ge_7m,34,34,0,1.0,34,1.0,0.1424435361601706,0.11190249814903179,0.4677472705208446,0.49109445859083334,0.4917741345202469
1,unknown,reference,all,14,9,5,0.6428571428571429,8,0.8888888888888888,0.2856821615502131,0.12788708920810457,0.4569065393324259,0.7025072030540549,0.7639073689844622
1,unknown,julho_levels,all,14,9,5,0.6428571428571429,8,0.8888888888888888,0.29325259524329816,0.13633887735372674,0.47599294236831013,0.7136555061731916,0.773071147124412
1,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.7639073689844622,0.7639073689844622,0.7639073689844622,0.7639073689844622,0.7639073689844622
1,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.773071147124412,0.773071147124412,0.773071147124412,0.773071147124412,0.773071147124412
2,rising,reference,all,456,456,0,1.0,386,0.8464912280701754,0.26134281217219224,-0.13921882990904524,0.6072302335109516,0.9352895791726679,2.1591250166535616
2,rising,julho_levels,all,456,456,0,1.0,384,0.8421052631578947,0.2625279618234695,-0.14613740658272864,0.6076972480494671,0.929110363428108,2.1256756873033744
2,rising,reference,level_ge_7m,92,92,0,1.0,64,0.6956521739130435,0.44450837675660465,-0.02243567236135362,0.9288334995192562,1.9956580202536278,2.1591250166535616
2,rising,julho_levels,level_ge_7m,92,92,0,1.0,63,0.6847826086956522,0.4234478611467913,-0.011469199739019565,0.9287829748507987,1.9304597774248047,2.1256756873033744
