phase,horizon_h,family,subset,regime,n,hits,mae_m,bias_m,max_error_m
validation,1,baseline,all,above_train_max,1,1,0.4828197805854435,-0.4828197805854435,0.4828197805854435
validation,1,baseline,all,below_train_min,2,2,0.14963605024834958,0.14963605024834958,0.15854508274897672
validation,1,baseline,all,within_train_range,6476,6475,0.019321183325811026,0.0012200287419275526,0.6442549522772545
validation,1,baseline,level_ge_7m,above_train_max,0,0,,,
validation,1,baseline,level_ge_7m,below_train_min,2,2,0.14963605024834958,0.14963605024834958,0.15854508274897672
validation,1,baseline,level_ge_7m,within_train_range,26,26,0.06067070945797616,-0.0007276813912949679,0.2244376041361562
validation,1,native_only,all,above_train_max,1,1,0.27983038444097286,-0.27983038444097286,0.27983038444097286
validation,1,native_only,all,below_train_min,2,2,0.14710624465484434,0.14710624465484434,0.15517310220344172
validation,1,native_only,all,within_train_range,6476,6475,0.02175530691069826,0.0036438516448164086,0.622476373966971
validation,1,native_only,level_ge_7m,above_train_max,0,0,,,
validation,1,native_only,level_ge_7m,below_train_min,2,2,0.14710624465484434,0.14710624465484434,0.15517310220344172
validation,1,native_only,level_ge_7m,within_train_range,26,26,0.060823615710408334,0.005132783341566826,0.24399202585988178
validation,1,reservoir_only,all,above_train_max,1,1,0.45098181275536575,-0.45098181275536575,0.45098181275536575
validation,1,reservoir_only,all,below_train_min,2,2,0.14800126353218657,0.14800126353218657,0.15643565821031213
validation,1,reservoir_only,all,within_train_range,6476,6475,0.01930077827873056,0.001987976592755812,0.6668760933324709
validation,1,reservoir_only,level_ge_7m,above_train_max,0,0,,,
validation,1,reservoir_only,level_ge_7m,below_train_min,2,2,0.14800126353218657,0.14800126353218657,0.15643565821031213
validation,1,reservoir_only,level_ge_7m,within_train_range,26,26,0.061746648096819484,0.0021207069058974274,0.2079510713372148
validation,1,combined,all,above_train_max,1,1,0.3199640611634793,-0.3199640611634793,0.3199640611634793
validation,1,combined,all,below_train_min,2,2,0.14098817694038157,0.14098817694038157,0.1521286593605744
validation,1,combined,all,within_train_range,6476,6475,0.020728972916826557,0.0030701848726383376,0.5739248116206506
validation,1,combined,level_ge_7m,above_train_max,0,0,,,
validation,1,combined,level_ge_7m,below_train_min,2,2,0.14098817694038157,0.14098817694038157,0.1521286593605744
validation,1,combined,level_ge_7m,within_train_range,26,26,0.06644010666386203,0.003563970539484745,0.2423822890967653
test,1,baseline,all,above_train_max,7,3,0.7136732537532835,-0.7136732537532835,1.3044476121322175
test,1,baseline,all,below_train_min,8,7,0.3320224276300525,0.3320224276300525,0.6300517997504613
test,1,baseline,all,within_train_range,1924,1923,0.03339013579820361,0.0025043144111252438,0.698857802942829
test,1,baseline,level_ge_7m,above_train_max,6,2,0.7570743114438011,-0.7570743114438011,1.3044476121322175
test,1,baseline,level_ge_7m,below_train_min,8,7,0.3320224276300525,0.3320224276300525,0.6300517997504613
test,1,baseline,level_ge_7m,within_train_range,222,221,0.05830404627190833,0.012749944626382027,0.698857802942829
test,1,native_only,all,above_train_max,7,2,0.6945085766730789,-0.6945085766730789,1.2759905218379402
test,1,native_only,all,below_train_min,8,7,0.2986481464057389,0.2986481464057389,0.6622577318678928
test,1,native_only,all,within_train_range,1924,1923,0.030574044054501797,0.0012933251137399648,0.6650801195786187
test,1,native_only,level_ge_7m,above_train_max,6,2,0.725009306328945,-0.725009306328945,1.2759905218379402
test,1,native_only,level_ge_7m,below_train_min,8,7,0.2986481464057389,0.2986481464057389,0.6622577318678928
test,1,native_only,level_ge_7m,within_train_range,222,221,0.0520175507422395,0.0029773012980941894,0.6650801195786187
test,1,reservoir_only,all,above_train_max,7,3,0.7091644811970831,-0.7091644811970831,1.302432383485252
test,1,reservoir_only,all,below_train_min,8,7,0.332645423505771,0.332645423505771,0.6240501064670987
test,1,reservoir_only,all,within_train_range,1924,1923,0.03352944749899592,0.0018976945011714723,0.690871386393205
test,1,reservoir_only,level_ge_7m,above_train_max,6,2,0.751459019353137,-0.751459019353137,1.302432383485252
test,1,reservoir_only,level_ge_7m,below_train_min,8,7,0.332645423505771,0.332645423505771,0.6240501064670987
test,1,reservoir_only,level_ge_7m,within_train_range,222,221,0.05825625852561471,0.009753575445248158,0.690871386393205
test,1,combined,all,above_train_max,7,2,0.7047116376025938,-0.7047116376025938,1.2998299084342326
test,1,combined,all,below_train_min,8,7,0.3004509001199842,0.3004509001199842,0.6594957578827128
test,1,combined,all,within_train_range,1924,1923,0.03180029877004204,0.0009057031148414898,0.6576595878221383
test,1,combined,level_ge_7m,above_train_max,6,2,0.732779983085898,-0.732779983085898,1.2998299084342326
test,1,combined,level_ge_7m,below_train_min,8,7,0.3004509001199842,0.3004509001199842,0.6594957578827128
test,1,combined,level_ge_7m,within_train_range,222,221,0.05369951114715674,-0.0010477612436193017,0.6576595878221383
validation,2,baseline,all,above_train_max,0,0,,,
validation,2,baseline,all,below_train_min,2,2,0.177964030537884,0.177964030537884,0.23557576247048218
validation,2,baseline,all,within_train_range,6475,6464,0.03026123037145956,0.003111453252137558,0.9878608589553535
validation,2,baseline,level_ge_7m,above_train_max,0,0,,,
validation,2,baseline,level_ge_7m,below_train_min,2,2,0.177964030537884,0.177964030537884,0.23557576247048218
validation,2,baseline,level_ge_7m,within_train_range,26,26,0.10658221320192356,-0.0038974035446178467,0.328770875531589
validation,2,native_only,all,above_train_max,0,0,,,
validation,2,native_only,all,below_train_min,2,2,0.2057218605367499,0.2057218605367499,0.26450391085684366
validation,2,native_only,all,within_train_range,6475,6467,0.031841032344331416,0.003280752013297612,1.2577780621410302
validation,2,native_only,level_ge_7m,above_train_max,0,0,,,
validation,2,native_only,level_ge_7m,below_train_min,2,2,0.2057218605367499,0.2057218605367499,0.26450391085684366
validation,2,native_only,level_ge_7m,within_train_range,26,26,0.1159937293317798,0.012474862491281534,0.37016967736383677
validation,2,reservoir_only,all,above_train_max,0,0,,,
validation,2,reservoir_only,all,below_train_min,2,2,0.17912922560236622,0.17912922560236622,0.2423154690514373
validation,2,reservoir_only,all,within_train_range,6475,6463,0.03102636154451925,0.004750175161863391,1.0171804356942529
validation,2,reservoir_only,level_ge_7m,above_train_max,0,0,,,
validation,2,reservoir_only,level_ge_7m,below_train_min,2,2,0.17912922560236622,0.17912922560236622,0.2423154690514373
validation,2,reservoir_only,level_ge_7m,within_train_range,26,26,0.11003534863126986,-0.004892942299894829,0.3539083011640223
validation,2,combined,all,above_train_max,0,0,,,
validation,2,combined,all,below_train_min,2,2,0.1882702991317573,0.1882702991317573,0.24383448087708715
validation,2,combined,all,within_train_range,6475,6468,0.03277200786660833,0.005547755268838018,1.2505406868722693
validation,2,combined,level_ge_7m,above_train_max,0,0,,,
validation,2,combined,level_ge_7m,below_train_min,2,2,0.1882702991317573,0.1882702991317573,0.24383448087708715
validation,2,combined,level_ge_7m,within_train_range,26,26,0.11483249434502173,0.014806578521551206,0.3374022136699377
test,2,baseline,all,above_train_max,7,2,1.286172553470168,-1.286172553470168,2.391642968883237
test,2,baseline,all,below_train_min,8,4,0.4811278526823133,0.4811278526823133,0.6230989525213992
test,2,baseline,all,within_train_range,1921,1908,0.05864920074023572,0.006902280254271492,0.7782543959415436
test,2,baseline,level_ge_7m,above_train_max,7,2,1.286172553470168,-1.286172553470168,2.391642968883237
test,2,baseline,level_ge_7m,below_train_min,8,4,0.4811278526823133,0.4811278526823133,0.6230989525213992
