phase,horizon_h,training_policy,n,min_delta_m,max_delta_m,min_origin,max_origin,max_base_m,max_target_m,q99_delta_m
validation,1,baseline,3633,-0.41000000000000014,1.1800000000000006,2025-06-19T20:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,8.99,0.5700000000000002
validation,1,candidate,4362,-0.41000000000000014,1.1800000000000006,2025-06-19T20:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,8.99,0.5899999999999999
test,1,baseline,9524,-0.4800000000000004,1.2400000000000002,2025-11-09T09:00:00-03:00,2025-11-07T23:00:00-03:00,4.08,5.32,0.52
test,1,candidate,10841,-0.4800000000000004,1.2400000000000002,2025-11-09T09:00:00-03:00,2025-11-07T23:00:00-03:00,4.08,5.32,0.5399999999999997
validation,2,baseline,3631,-0.7199999999999989,2.09,2025-06-19T19:00:00-03:00,2025-06-29T07:00:00-03:00,8.74,10.83,0.9569999999999982
validation,2,candidate,4360,-0.7199999999999989,2.09,2025-06-19T19:00:00-03:00,2025-06-29T07:00:00-03:00,8.74,10.83,0.9900000000000002
test,2,baseline,9516,-0.8500000000000005,2.09,2025-11-09T09:00:00-03:00,2025-06-29T07:00:00-03:00,8.74,10.83,0.8799999999999999
test,2,candidate,10837,-0.8500000000000005,2.09,2025-11-09T09:00:00-03:00,2025-06-29T07:00:00-03:00,8.74,10.83,0.9200000000000003
validation,3,baseline,3629,-0.9500000000000011,3.0200000000000005,2025-06-30T07:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,10.83,1.2700000000000002
validation,3,candidate,4358,-0.9799999999999995,3.0200000000000005,2025-06-24T16:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,10.83,1.3543000000000025
test,3,baseline,9515,-1.1000000000000005,3.0200000000000005,2025-11-09T09:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,10.83,1.1400000000000001
test,3,candidate,10834,-1.1000000000000005,3.0200000000000005,2025-11-09T09:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,10.83,1.21
validation,4,baseline,3626,-1.2100000000000009,3.8600000000000003,2025-06-30T06:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,11.67,1.53
validation,4,candidate,4356,-1.2100000000000009,3.8600000000000003,2025-06-30T06:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,11.67,1.5644999999999987
test,4,baseline,9506,-1.3499999999999996,3.8600000000000003,2025-11-09T08:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,11.67,1.37
test,4,candidate,10830,-1.3499999999999996,3.8600000000000003,2025-11-09T08:00:00-03:00,2025-06-29T06:00:00-03:00,7.81,11.67,1.4200000000000002
validation,5,baseline,3623,-1.4800000000000004,4.6899999999999995,2025-06-30T05:00:00-03:00,2025-06-29T05:00:00-03:00,6.98,11.67,1.6677999999999975
validation,5,candidate,4355,-1.4800000000000004,4.6899999999999995,2025-06-30T05:00:00-03:00,2025-06-29T05:00:00-03:00,6.98,11.67,1.7400000000000002
test,5,baseline,9506,-1.5199999999999996,4.6899999999999995,2025-11-09T07:00:00-03:00,2025-06-29T05:00:00-03:00,6.98,11.67,1.51
test,5,candidate,10828,-1.5199999999999996,4.6899999999999995,2025-11-09T07:00:00-03:00,2025-06-29T05:00:00-03:00,6.98,11.67,1.5600000000000003
validation,6,baseline,3622,-1.7400000000000002,5.41,2025-06-30T04:00:00-03:00,2025-06-29T04:00:00-03:00,6.26,11.67,1.8157999999999996
validation,6,candidate,4354,-1.7400000000000002,5.41,2025-06-30T04:00:00-03:00,2025-06-29T04:00:00-03:00,6.26,11.67,1.9535000000000127
test,6,baseline,9503,-1.7400000000000002,5.41,2025-06-30T04:00:00-03:00,2025-06-29T04:00:00-03:00,6.26,11.67,1.61
test,6,candidate,10826,-1.7400000000000002,5.41,2025-06-30T04:00:00-03:00,2025-06-29T04:00:00-03:00,6.26,11.67,1.6600000000000001
validation,7,baseline,3622,-2.0,6.09,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,11.67,1.9779000000000002
validation,7,candidate,4353,-2.0,6.09,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,11.67,2.104799999999995
test,7,baseline,9506,-2.0,6.09,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,11.67,1.6700000000000002
test,7,candidate,10824,-2.0,6.09,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,11.67,1.7377000000000042
validation,8,baseline,3621,-2.26,6.73,2025-06-30T04:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.31,2.110000000000001
validation,8,candidate,4352,-2.26,6.73,2025-06-30T04:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.31,2.474499999999989
test,8,baseline,9503,-2.26,6.73,2025-06-30T04:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.31,1.75
test,8,candidate,10822,-2.26,6.73,2025-06-30T04:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.31,1.7999999999999996
validation,9,baseline,3620,-2.5299999999999994,7.119999999999999,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.7,2.2280999999999995
validation,9,candidate,4351,-2.5299999999999994,7.119999999999999,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.7,2.7350000000000003
test,9,baseline,9503,-2.5299999999999994,7.119999999999999,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.7,1.7600000000000002
test,9,candidate,10821,-2.5299999999999994,7.119999999999999,2025-06-30T05:00:00-03:00,2025-06-29T03:00:00-03:00,5.58,12.7,1.8599999999999999
validation,10,baseline,3619,-2.789999999999999,7.469999999999999,2025-06-30T04:00:00-03:00,2025-06-29T02:00:00-03:00,5.23,12.7,2.4438000000000146
validation,10,candidate,4350,-2.789999999999999,7.469999999999999,2025-06-30T04:00:00-03:00,2025-06-29T02:00:00-03:00,5.23,12.7,3.0357000000000154
