forecast_record,evidence_kind,station_id,datum_id,model_id,model_version,registered_at,valid_at,nominal_lead_h,actual_lead_h,minimum_verified_lead_h,shorter_than_nominal_lead,forecast_m,observed_m,abs_error_m,observation_record,goal_eligible,hit_within_050m,flood_event_id,status,exclusion_reasons,anchor_time,anchor_m,anchor_source_verified,anchor_receipts,persistence_m,persistence_abs_error_m,persistence_hit,radar_better_abs_error,radar_minus_persistence_abs_m
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-21T19:00:00-03:00,3,1.9805357616666668,1,True,13.805797219057444,14.61,0.8042027809425552,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,2.969999999999999,False,True,-2.1657972190574437
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-21T20:00:00-03:00,4,2.980535761666667,2,True,13.858118929632376,15.26,1.401881070367624,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,3.619999999999999,False,True,-2.218118929632375
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-21T21:00:00-03:00,5,3.980535761666667,3,True,14.092156104250122,15.85,1.7578438957498772,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,4.209999999999999,False,True,-2.452156104250122
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-21T22:00:00-03:00,6,4.980535761666666,4,True,14.507678811472015,16.45,1.942321188527984,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,4.809999999999999,False,True,-2.8676788114720146
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-21T23:00:00-03:00,7,5.980535761666666,5,True,16.063879112380313,17.07,1.0061208876196872,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,5.43,False,True,-4.4238791123803125
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-22T00:00:00-03:00,8,6.980535761666666,6,True,16.216642949985655,17.59,1.373357050014345,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,5.949999999999999,False,True,-4.576642949985654
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-22T01:00:00-03:00,9,7.980535761666666,7,True,16.35588868109237,18.1,1.7441113189076312,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,6.460000000000001,False,True,-4.71588868109237
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-22T02:00:00-03:00,10,8.980535761666667,8,True,16.082439428663644,18.47,2.387560571336355,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,6.829999999999998,False,True,-4.4424394286636435
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-22T03:00:00-03:00,11,9.980535761666665,9,True,16.304644718818714,18.68,2.3753552811812852,bb2ed8692ae82e35ea19384e17c1eadab51fff2dfbb9a09ad97be76f7d785854,False,False,9f2806d96e56e502689c8137,matched,"timezone_unverified,datum_unverified",2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,7.039999999999999,False,True,-4.664644718818714
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,forecast_issue,86510000,ANA:86510000:reference-unverified,radar_arvores_live_candidate,hourly-live-weather-v1:6618f3723be5a3b3,2026-09-21T20:01:10.071258+00:00,2026-09-22T04:00:00-03:00,12,10.980535761666665,10,True,16.39647998282067,,,,False,,,not_due,,2026-09-21T16:00:00-03:00,11.64,True,0888261bab38b8c36844015cd2ab92447b241f3b586eef8c059b08d2bb5adc41,11.64,,,,
