input_origin,input_reference_at,target_at,nominal_lead_h,input_base_m,old_model_m,new_model_m,fitted_model_change_at_fixed_input_m,issued_model,other_value_is_unissued_counterfactual
old,2026-09-22T01:00:00-03:00,2026-09-22T02:00:00-03:00,1,17.86,18.70987721721504,18.684204014696203,-0.025673202518838423,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T03:00:00-03:00,1,18.33,18.877221821926327,18.878267602999703,0.0010457810733761619,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T03:00:00-03:00,2,17.86,19.121274907489592,19.088329997344395,-0.03294491014519707,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T04:00:00-03:00,2,18.33,19.047953422962237,19.088650503642373,0.04069708068013611,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T04:00:00-03:00,3,17.86,19.27500148828672,19.166046256992615,-0.10895523129410378,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T05:00:00-03:00,3,18.33,19.242821477023437,19.28780352948452,0.044982052461083555,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T05:00:00-03:00,4,17.86,19.0660508433026,19.015239199583824,-0.05081164371877733,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T06:00:00-03:00,4,18.33,19.363645671107637,19.442013038482525,0.07836736737488792,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T06:00:00-03:00,5,17.86,18.91473415771554,18.93163929895024,0.01690514123470166,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T07:00:00-03:00,5,18.33,19.10654979667524,19.22825367238508,0.12170387570984076,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T07:00:00-03:00,6,17.86,18.565743602805167,18.753860503220494,0.18811690041532714,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T08:00:00-03:00,6,18.33,18.971039641626326,19.051331846572065,0.08029220494573863,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T08:00:00-03:00,7,17.86,18.57569861183944,18.529450716572086,-0.046247895267352845,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T09:00:00-03:00,7,18.33,18.701411972867987,18.689408347925077,-0.012003624942909852,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T09:00:00-03:00,8,17.86,18.30131685157885,18.289883583110118,-0.011433268468731939,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T10:00:00-03:00,8,18.33,18.702779580861865,18.644166429680308,-0.0586131511815573,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T10:00:00-03:00,9,17.86,18.900980659149432,18.677339409687242,-0.22364124946219022,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T11:00:00-03:00,9,18.33,18.502496924726707,18.58118828623858,0.07869136151187206,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T11:00:00-03:00,10,17.86,18.424836821397164,18.233909351998857,-0.19092746939830718,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T12:00:00-03:00,10,18.33,18.317090225221143,18.15156170855288,-0.16552851666826385,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T12:00:00-03:00,11,17.86,18.294879561399306,18.126148266745904,-0.16873129465340142,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T13:00:00-03:00,11,18.33,18.1223955303944,18.154117383413986,0.03172185301958663,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T13:00:00-03:00,12,17.86,17.87504177705621,18.261203563776043,0.3861617867198319,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T14:00:00-03:00,12,18.33,17.984807956003102,17.960770706532564,-0.024037249470538313,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T14:00:00-03:00,13,17.86,17.570376207647847,17.940739177138177,0.3703629694903299,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T15:00:00-03:00,13,18.33,17.696991949702184,17.6467383801869,-0.05025356951528437,new,True
old,2026-09-22T01:00:00-03:00,2026-09-22T15:00:00-03:00,14,17.86,17.331062020077912,17.454319778955675,0.12325775887776302,old,True
new,2026-09-22T02:00:00-03:00,2026-09-22T16:00:00-03:00,14,18.33,17.494626071032982,17.478945657751368,-0.015680413281614847,new,True
