origin,horizon_h,issued_m,reproduced_m
old,1,18.70987721721504,18.70987721721504
new,1,18.878267602999703,18.878267602999703
old,2,19.121274907489592,19.121274907489592
new,2,19.088650503642373,19.088650503642373
old,3,19.27500148828672,19.27500148828672
new,3,19.28780352948452,19.28780352948452
old,4,19.0660508433026,19.0660508433026
new,4,19.442013038482525,19.442013038482525
old,5,18.91473415771554,18.91473415771554
new,5,19.22825367238508,19.22825367238508
old,6,18.565743602805167,18.565743602805167
new,6,19.051331846572065,19.051331846572065
old,7,18.57569861183944,18.57569861183944
new,7,18.689408347925077,18.689408347925077
old,8,18.30131685157885,18.30131685157885
new,8,18.644166429680308,18.644166429680308
old,9,18.900980659149432,18.900980659149432
new,9,18.58118828623858,18.58118828623858
old,10,18.424836821397164,18.424836821397164
new,10,18.15156170855288,18.15156170855288
old,11,18.294879561399306,18.294879561399306
new,11,18.154117383413986,18.154117383413986
old,12,17.87504177705621,17.87504177705621
new,12,17.960770706532564,17.960770706532564
old,13,17.570376207647847,17.570376207647847
new,13,17.6467383801869,17.6467383801869
old,14,17.331062020077912,17.331062020077912
new,14,17.478945657751368,17.478945657751368
