year,horizon_h,subset,axis,category,pairs,control_hits,candidate_hits,gained_hits,lost_hits,control_bias,candidate_bias,control_mae,candidate_mae
2021,6,all,future_motion,rise,62,37,38,9,8,-0.44027520628695266,-0.389969642998354,0.44727268380772844,0.43280254060929774
2021,6,all,future_motion,stable,643,627,618,13,22,0.2298559042213094,0.10027030273385965,0.2471495145617731,0.13435767609332105
2021,6,all,future_motion,fall,33,6,28,22,0,0.5649309462880842,0.38202669723663135,0.5649309462880842,0.38202669723663135
2021,6,all,future_motion,unknown,0,0,0,0,0,,,,
2021,6,all,recent_motion,rise,72,56,51,6,11,-0.039924668243304956,0.09534403916482215,0.32094273805336493,0.3457463235696439
2021,6,all,recent_motion,stable,575,549,548,15,16,0.1911302958290263,0.04850913023619104,0.25205204073881743,0.13321567837537643
2021,6,all,recent_motion,fall,91,65,85,23,3,0.35294132817412605,0.19939612192423728,0.4093732409026784,0.2674711416674167
2021,6,all,recent_motion,unknown,0,0,0,0,0,,,,
2021,6,level_ge_7m,future_motion,rise,4,1,2,1,0,-0.5492783203992917,-0.4108304232116553,0.5492783203992917,0.4108304232116553
2021,6,level_ge_7m,future_motion,stable,7,7,7,0,0,-0.22931612814280694,0.03460919755351176,0.23209807435393706,0.13438715784703753
2021,6,level_ge_7m,future_motion,fall,0,0,0,0,0,,,,
2021,6,level_ge_7m,future_motion,unknown,0,0,0,0,0,,,,
2021,6,level_ge_7m,recent_motion,rise,5,2,3,1,0,-0.5300745280801735,-0.3351290897012792,0.5300745280801735,0.3351290897012792
2021,6,level_ge_7m,recent_motion,stable,6,6,6,0,0,-0.19199225636599135,0.04576468975572615,0.19523786027897647,0.151397724878248
2021,6,level_ge_7m,recent_motion,fall,0,0,0,0,0,,,,
2021,6,level_ge_7m,recent_motion,unknown,0,0,0,0,0,,,,
2021,12,all,future_motion,rise,92,70,53,9,26,0.15320746801077265,-0.061723197559242444,0.39523504590025327,0.5843995231741644
2021,12,all,future_motion,stable,571,403,518,144,29,0.43233289770914346,0.000830091674829843,0.434889294973107,0.23558509605044484
2021,12,all,future_motion,fall,69,11,65,55,1,0.8115411613595714,0.16859467371185788,0.8117499914273539,0.231614318025198
2021,12,all,future_motion,unknown,0,0,0,0,0,,,,
2021,12,all,recent_motion,rise,72,52,56,18,14,0.2930376808822688,-0.03831219762778245,0.4079979540259242,0.35122123458248583
2021,12,all,recent_motion,stable,575,412,507,132,37,0.4285393247525882,0.019447780756281986,0.4404985021905423,0.26758787592561195
2021,12,all,recent_motion,fall,85,20,73,58,5,0.581702200311304,-0.02347664763136561,0.6827255248414874,0.29546207498117566
2021,12,all,recent_motion,unknown,0,0,0,0,0,,,,
2021,12,level_ge_7m,future_motion,rise,8,6,7,2,1,0.36782578127595444,-0.11682105737656467,0.36782578127595444,0.24159545659188986
2021,12,level_ge_7m,future_motion,stable,3,0,3,3,0,0.7129571270798541,-0.326898319013566,0.7129571270798541,0.326898319013566
2021,12,level_ge_7m,future_motion,fall,0,0,0,0,0,,,,
2021,12,level_ge_7m,future_motion,unknown,0,0,0,0,0,,,,
