phase,profile,horizon_h,family,rank,origin,target_time,base_m,actual_m,predicted_m,error_m,dH1_m_per_nominal_hour,known_trend,future_response,target_response_m,training_response_min_m,training_response_max_m
test,A,1,profile_A_control,1,2026-07-21T21:00:00-03:00,2026-07-21T22:00:00-03:00,5.02,7.38,6.0814605937905,-1.2985394062094997,1.1299999999999994,rising,rising,2.3600000000000003,-0.4800000000000004,1.2400000000000002
test,A,1,profile_A_control,2,2026-07-21T22:00:00-03:00,2026-07-21T23:00:00-03:00,6.95,9.21,8.01170797376428,-1.1982920262357215,1.9300000000000006,rising,rising,2.2600000000000007,-0.4800000000000004,1.2400000000000002
test,A,1,profile_A_control,3,2026-07-21T23:00:00-03:00,2026-07-22T00:00:00-03:00,8.77,10.77,9.83792989745113,-0.9320701025488702,1.8199999999999994,rising,rising,2.0,-0.4800000000000004,1.2400000000000002
test,A,1,profile_A_control,4,2026-07-22T14:00:00-03:00,2026-07-22T15:00:00-03:00,19.25,19.86,19.16836953667898,-0.6916304633210189,0.05999999999999872,stable,rising,0.6099999999999994,-0.4800000000000004,1.2400000000000002
test,A,1,profile_A_control,5,2026-07-22T16:00:00-03:00,2026-07-22T17:00:00-03:00,19.81,18.95,19.569733670202947,0.6197336702029475,0.5299999999999976,rising,falling,-0.8599999999999994,-0.4800000000000004,1.2400000000000002
test,A,1,profile_B_control,1,2026-07-21T21:00:00-03:00,2026-07-21T22:00:00-03:00,5.02,7.38,6.242349421453674,-1.1376505785463262,1.1299999999999994,rising,rising,2.3600000000000003,-0.5800000000000001,1.4800000000000004
test,A,1,profile_B_control,2,2026-07-21T22:00:00-03:00,2026-07-21T23:00:00-03:00,6.95,9.21,8.174987371510431,-1.0350126284895698,1.9300000000000006,rising,rising,2.2600000000000007,-0.5800000000000001,1.4800000000000004
test,A,1,profile_B_control,3,2026-07-21T23:00:00-03:00,2026-07-22T00:00:00-03:00,8.77,10.77,10.01076946907586,-0.759230530924139,1.8199999999999994,rising,rising,2.0,-0.5800000000000001,1.4800000000000004
test,A,1,profile_B_control,4,2026-07-22T14:00:00-03:00,2026-07-22T15:00:00-03:00,19.25,19.86,19.111729552758494,-0.7482704472415058,0.05999999999999872,stable,rising,0.6099999999999994,-0.5800000000000001,1.4800000000000004
test,A,1,profile_B_control,5,2026-07-10T21:00:00-03:00,2026-07-10T22:00:00-03:00,1.8,1.75,2.4579854163370802,0.7079854163370802,-0.09999999999999987,stable,stable,-0.050000000000000044,-0.5800000000000001,1.4800000000000004
test,A,1,mixed_profile_candidate,1,2026-07-21T21:00:00-03:00,2026-07-21T22:00:00-03:00,5.02,7.38,6.238580771844026,-1.141419228155974,1.1299999999999994,rising,rising,2.3600000000000003,-0.5500000000000007,1.3800000000000008
test,A,1,mixed_profile_candidate,2,2026-07-21T22:00:00-03:00,2026-07-21T23:00:00-03:00,6.95,9.21,8.170911844429126,-1.0390881555708749,1.9300000000000006,rising,rising,2.2600000000000007,-0.5500000000000007,1.3800000000000008
test,A,1,mixed_profile_candidate,3,2026-07-21T23:00:00-03:00,2026-07-22T00:00:00-03:00,8.77,10.77,9.992859540914148,-0.7771404590858513,1.8199999999999994,rising,rising,2.0,-0.5500000000000007,1.3800000000000008
test,A,1,mixed_profile_candidate,4,2026-07-22T14:00:00-03:00,2026-07-22T15:00:00-03:00,19.25,19.86,19.185603532266875,-0.6743964677331249,0.05999999999999872,stable,rising,0.6099999999999994,-0.5500000000000007,1.3800000000000008
test,A,1,mixed_profile_candidate,5,2026-07-22T16:00:00-03:00,2026-07-22T17:00:00-03:00,19.81,18.95,19.581125594141287,0.6311255941412881,0.5299999999999976,rising,falling,-0.8599999999999994,-0.5500000000000007,1.3800000000000008
test,A,1,age_mixed_candidate,1,2026-07-21T21:00:00-03:00,2026-07-21T22:00:00-03:00,5.02,7.38,6.210502572599081,-1.1694974274009189,1.1299999999999994,rising,rising,2.3600000000000003,-0.5500000000000007,1.3800000000000008
test,A,1,age_mixed_candidate,2,2026-07-21T22:00:00-03:00,2026-07-21T23:00:00-03:00,6.95,9.21,8.145025749460489,-1.0649742505395121,1.9300000000000006,rising,rising,2.2600000000000007,-0.5500000000000007,1.3800000000000008
test,A,1,age_mixed_candidate,3,2026-07-21T23:00:00-03:00,2026-07-22T00:00:00-03:00,8.77,10.77,9.970602188733208,-0.7993978112667914,1.8199999999999994,rising,rising,2.0,-0.5500000000000007,1.3800000000000008
test,A,1,age_mixed_candidate,4,2026-07-22T14:00:00-03:00,2026-07-22T15:00:00-03:00,19.25,19.86,19.188271852214662,-0.6717281477853376,0.05999999999999872,stable,rising,0.6099999999999994,-0.5500000000000007,1.3800000000000008
test,A,1,age_mixed_candidate,5,2026-07-22T16:00:00-03:00,2026-07-22T17:00:00-03:00,19.81,18.95,19.591419075784184,0.6414190757841851,0.5299999999999976,rising,falling,-0.8599999999999994,-0.5500000000000007,1.3800000000000008
test,A,2,profile_A_control,1,2026-07-21T21:00:00-03:00,2026-07-21T23:00:00-03:00,5.02,9.21,6.779013093645748,-2.430986906354253,1.1299999999999994,rising,rising,4.190000000000001,-0.8500000000000005,2.09
test,A,2,profile_A_control,2,2026-07-21T22:00:00-03:00,2026-07-22T00:00:00-03:00,6.95,10.77,8.709709077542545,-2.0602909224574546,1.9300000000000006,rising,rising,3.8199999999999994,-0.8500000000000005,2.09
test,A,2,profile_A_control,3,2026-07-21T20:00:00-03:00,2026-07-21T22:00:00-03:00,3.89,7.38,5.610661486616997,-1.769338513383003,0.4700000000000002,rising,rising,3.4899999999999998,-0.8500000000000005,2.09
test,A,2,profile_A_control,4,2026-07-21T23:00:00-03:00,2026-07-22T01:00:00-03:00,8.77,11.99,10.5315681076145,-1.4584318923854998,1.8199999999999994,rising,rising,3.2200000000000006,-0.8500000000000005,2.09
test,A,2,profile_A_control,5,2026-07-22T00:00:00-03:00,2026-07-22T02:00:00-03:00,10.42,12.97,12.119771400367195,-0.8502285996328052,1.6500000000000004,rising,rising,2.5500000000000007,-0.8500000000000005,2.09
test,A,2,profile_B_control,1,2026-07-21T21:00:00-03:00,2026-07-21T23:00:00-03:00,5.02,9.21,6.873582475283462,-2.3364175247165386,1.1299999999999994,rising,rising,4.190000000000001,-0.9200000000000008,2.3000000000000007
test,A,2,profile_B_control,2,2026-07-21T22:00:00-03:00,2026-07-22T00:00:00-03:00,6.95,10.77,8.798564426595775,-1.971435573404225,1.9300000000000006,rising,rising,3.8199999999999994,-0.9200000000000008,2.3000000000000007
test,A,2,profile_B_control,3,2026-07-21T20:00:00-03:00,2026-07-21T22:00:00-03:00,3.89,7.38,5.768557743471235,-1.6114422565287647,0.4700000000000002,rising,rising,3.4899999999999998,-0.9200000000000008,2.3000000000000007
test,A,2,profile_B_control,4,2026-07-21T23:00:00-03:00,2026-07-22T01:00:00-03:00,8.77,11.99,10.644695398028942,-1.3453046019710584,1.8199999999999994,rising,rising,3.2200000000000006,-0.9200000000000008,2.3000000000000007
test,A,2,profile_B_control,5,2026-07-11T22:00:00-03:00,2026-07-12T00:00:00-03:00,1.6,1.68,2.9185896276023335,1.2385896276023336,-0.08999999999999986,stable,stable,0.07999999999999985,-0.9200000000000008,2.3000000000000007
test,A,2,mixed_profile_candidate,1,2026-07-21T21:00:00-03:00,2026-07-21T23:00:00-03:00,5.02,9.21,6.852016209191181,-2.35798379080882,1.1299999999999994,rising,rising,4.190000000000001,-0.9200000000000008,2.3000000000000007
test,A,2,mixed_profile_candidate,2,2026-07-21T22:00:00-03:00,2026-07-22T00:00:00-03:00,6.95,10.77,8.784652247446969,-1.9853477525530305,1.9300000000000006,rising,rising,3.8199999999999994,-0.9200000000000008,2.3000000000000007
test,A,2,mixed_profile_candidate,3,2026-07-21T20:00:00-03:00,2026-07-21T22:00:00-03:00,3.89,7.38,5.7595062734232485,-1.6204937265767514,0.4700000000000002,rising,rising,3.4899999999999998,-0.9200000000000008,2.3000000000000007
test,A,2,mixed_profile_candidate,4,2026-07-21T23:00:00-03:00,2026-07-22T01:00:00-03:00,8.77,11.99,10.615282206415072,-1.374717793584928,1.8199999999999994,rising,rising,3.2200000000000006,-0.9200000000000008,2.3000000000000007
