phase,profile,horizon_h,family,subset,partition,category,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,observed_hit_fraction,sum_abs_error_m,sum_error_m,mae_m,bias_m,max_abs_m,under_by_more_than_0_5m,over_by_more_than_0_5m
test,A,1,profile_A_control,all,known_trend,rising,339,0,339,339,0,334,0.9852507374631269,28.49704999345885,-8.10241204206245,0.08406209437598482,-0.023900920478060327,1.2985394062094997,4,1
test,A,1,profile_A_control,all,known_trend,falling,469,3,466,466,0,466,1.0,16.87509012271262,9.331092207430963,0.03621263974831034,0.020023803020238116,0.39490402737768804,0,0
test,A,1,profile_A_control,all,known_trend,stable,1131,2,1129,1129,0,1128,0.9991142604074402,26.337586049414,-0.8499464110047887,0.0233282427364163,-0.0007528311877810352,0.6916304633210189,1,0
test,A,1,profile_A_control,all,known_trend,unknown,28,18,10,5,5,5,0.5,0.27030294991895243,0.2334909443998896,0.054060589983790486,0.04669818887997792,0.13406236974466523,0,0
test,A,1,profile_A_control,all,future_response,rising,96,0,96,96,0,91,0.9479166666666666,15.841249713446585,-10.645084821632988,0.16501301784840192,-0.11088630022534363,1.2985394062094997,5,0
test,A,1,profile_A_control,all,future_response,falling,7,0,7,7,0,6,0.8571428571428571,2.286658769309822,2.286658769309822,0.32666553847283175,0.32666553847283175,0.6197336702029475,0,1
test,A,1,profile_A_control,all,future_response,stable,1836,0,1836,1836,0,1836,1.0,53.85212063274801,8.97065075108678,0.02933122038820698,0.0048859753546224285,0.41233080449643644,0,0
test,A,1,profile_A_control,all,future_response,unknown,28,23,5,0,5,0,0.0,0.0,0.0,,,,0,0
test,A,1,profile_A_control,all,training_response_support,below,8,0,8,8,0,7,0.875,2.449874359281514,2.449874359281514,0.3062342949101893,0.3062342949101893,0.6197336702029475,0,1
test,A,1,profile_A_control,all,training_response_support,within,1924,0,1924,1924,0,1923,0.9994802494802495,64.72217238942949,2.9703327062755207,0.03363938273878871,0.0015438319679186698,0.6916304633210189,1,0
test,A,1,profile_A_control,all,training_response_support,above,7,0,7,7,0,3,0.42857142857142855,4.8079823667934205,-4.8079823667934205,0.6868546238276315,-0.6868546238276315,1.2985394062094997,4,0
test,A,1,profile_A_control,all,training_response_support,unknown,28,23,5,0,5,0,0.0,0.0,0.0,,,,0,0
test,A,1,profile_B_control,all,known_trend,rising,339,0,339,339,0,333,0.9823008849557522,35.91438200533297,-4.822125050504175,0.1059421298092418,-0.01422455767110376,1.1376505785463262,3,3
