phase,horizon_h,subset,paired,mean_forecast_shift_m,mean_absolute_error_change_m,improved,worsened,unchanged,upward_forecast_changes,downward_forecast_changes
validation,1,all,6479,0.00117431538187185,0.004275360891147133,2948,3531,0,2976,3503
validation,1,level_ge_7m,28,0.028110804238683253,0.009186836317805242,12,16,0,24,4
validation,2,all,6477,0.0023721158970090635,0.0034060951641924193,2982,3495,0,3407,3070
validation,2,level_ge_7m,28,-0.012143832424904577,0.010540211113760531,13,15,0,8,20
validation,3,all,6476,-0.002607103806901344,-0.0013152728367202683,3241,3235,0,3149,3327
validation,3,level_ge_7m,28,0.0648859080681682,0.03442590344406117,10,18,0,20,8
validation,4,all,6474,-0.0014772261156487736,0.0035525559583913587,3220,3254,0,2935,3539
validation,4,level_ge_7m,28,0.17492489329536606,0.07389151471174281,10,18,0,26,2
validation,5,all,6473,0.007266195889743319,0.00877244097327664,3006,3467,0,3150,3323
validation,5,level_ge_7m,28,0.29797046607241284,0.09630410065400337,8,20,0,28,0
validation,6,all,6472,0.014464938462434983,0.0054197932206425685,3342,3130,0,3296,3176
validation,6,level_ge_7m,28,0.5269640690563008,0.27257568975904484,5,23,0,28,0
validation,7,all,6471,0.009452724884431501,0.01902100039697857,3238,3233,0,2965,3506
validation,7,level_ge_7m,28,0.1731547222749749,0.17503342808478425,7,21,0,22,6
validation,8,all,6470,0.018899421649111937,0.019674123692478056,3179,3291,0,3311,3159
validation,8,level_ge_7m,28,0.44194397175078926,0.3413296375756739,7,21,0,26,2
validation,9,all,6470,0.012394956894324297,0.026427658849428538,3229,3241,0,2771,3699
validation,9,level_ge_7m,28,0.5007752890326922,0.43412537243224075,6,22,0,27,1
validation,10,all,6468,-0.006742212430967833,0.02491992529987768,3090,3378,0,2574,3894
validation,10,level_ge_7m,28,0.3714757681984998,0.42119981430532744,2,26,0,22,6
validation,11,all,6468,-0.007428469890270694,0.00979574916921891,3184,3284,0,2967,3501
validation,11,level_ge_7m,28,0.45833452781705564,0.3238845617142068,5,23,0,27,1
validation,12,all,6466,0.007957540963508064,0.008111294956126693,3286,3180,0,3129,3337
validation,12,level_ge_7m,28,0.46454450573655975,0.30225113014910515,6,22,0,26,2
test,1,all,1939,0.009311124945491269,0.005451030328302353,796,1143,0,1001,938
test,1,level_ge_7m,236,0.055871885793317234,0.023095034119343542,80,156,0,128,108
test,2,all,1936,0.01966106779058073,0.01012282790024693,949,987,0,1030,906
test,2,level_ge_7m,236,0.10654639285641669,0.04852226881773697,80,156,0,133,103
test,3,all,1933,0.005008865261601858,-0.0010182278878587774,959,974,0,1011,922
test,3,level_ge_7m,236,0.037429450772049476,-0.0026370423427871073,101,135,0,157,79
test,4,all,1931,0.002591920117852309,-0.003912008511813628,951,980,0,983,948
test,4,level_ge_7m,236,0.031544963528589334,-0.0346454398430962,128,108,0,138,98
test,5,all,1929,-0.002552615023860833,0.0017191837158301263,918,1011,0,934,995
test,5,level_ge_7m,236,0.05073507643661654,0.012983724280395017,94,142,0,135,101
test,6,all,1927,0.011386619582639678,-0.009808385075933629,994,933,0,1047,880
test,6,level_ge_7m,236,0.10977671691296109,-0.053552102431399504,121,115,0,160,76
test,7,all,1925,0.028091870026287564,-0.012419773848118772,1000,925,0,1113,812
test,7,level_ge_7m,236,0.275258600798768,-0.015885654874673076,113,123,0,134,102
test,8,all,1923,0.0020084469634663524,-0.026072889933918823,1002,921,0,897,1026
test,8,level_ge_7m,236,0.23007358891870447,-0.1111761107449568,117,119,0,150,86
test,9,all,1921,0.013065354123858825,-0.02302058759532234,987,934,0,950,971
test,9,level_ge_7m,236,0.2901697886840749,-0.11170821309498084,123,113,0,167,69
test,10,all,1919,-0.0036245755484446223,-0.019043192501887064,954,965,0,879,1040
test,10,level_ge_7m,236,0.17882375022260985,-0.13208694106340668,134,102,0,147,89
test,11,all,1917,-0.0030153963544742543,-0.007357019868481403,944,973,0,837,1080
test,11,level_ge_7m,236,0.12746208398654832,-0.049064771151959334,117,119,0,131,105
test,12,all,1915,0.005358623889052775,-0.019539183131279794,996,919,0,921,994
test,12,level_ge_7m,236,0.20815868423189512,-0.10510702136866613,142,94,0,169,67
