family,origin,target_time,base_m,actual_m,forecast_m,error_m,actual_response_m,predicted_response_m,initial_response_m,tree_contribution_sum_m,trees_sharing_any_2024_extreme,mean_extreme_weight_fraction,median_training_rows_same_leaf
native_control,2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,4.84169306393728,-7.1483069360627205,8.4,1.2516930639372796,0.06541177961193165,1.186281284325348,,,
native_control,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,5.789792825661115,-7.180207174338886,9.43,2.249792825661115,0.06541177961193165,2.1843810460491833,,,
native_control,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,7.497690907826345,-6.272309092173654,10.36,4.087690907826345,0.06541177961193165,4.0222791282144135,,,
native_control,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,7.365617478642649,-7.124382521357351,11.22,4.09561747864265,0.06541177961193165,4.030205699030718,,,
native_control,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,7.58465078370872,-7.57534921629128,11.95,4.37465078370872,0.06541177961193165,4.3092390040967885,,,
native_control,2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,8.307812800874991,-7.502187199125009,12.56,5.057812800874991,0.06541177961193165,4.99240102126306,,,
native_control,2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,8.578474249501976,-7.921525750498024,13.08,5.1584742495019755,0.06541177961193165,5.093062469890044,,,
native_control,2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,9.404067642329865,-7.755932357670135,13.27,5.514067642329866,0.06541177961193165,5.448655862717934,,,
native_control,2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,10.442311589895809,-7.337688410104192,12.760000000000002,5.422311589895808,0.06541177961193165,5.356899810283877,,,
native_control,2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,12.170336230532879,-6.199663769467122,11.420000000000002,5.220336230532878,0.06541177961193165,5.154924450920946,,,
native_control,2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,13.527595001512935,-5.262404998487064,10.02,4.757595001512936,0.06541177961193165,4.692183221901004,,,
native_control,2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,14.757654045187302,-4.262345954812698,8.6,4.3376540451873025,0.06541177961193165,4.272242265575371,,,
augmented,2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,5.267804430336562,-6.722195569663438,8.4,1.677804430336562,0.1437079011181463,1.5340965292184157,43,0.0051320132458048855,541.0
augmented,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,5.836494951028255,-7.133505048971745,9.43,2.2964949510282557,0.1437079011181463,2.1527870499101094,35,0.0060306407579911,367.5
augmented,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,7.258293264612316,-6.511706735387683,10.36,3.8482932646123165,0.1437079011181463,3.70458536349417,52,0.016309940086567457,167.0
augmented,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,6.401933479204965,-8.088066520795035,11.22,3.1319334792049647,0.1437079011181463,2.9882255780868183,46,0.010644671392962766,165.0
augmented,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,7.66396357763003,-7.49603642236997,11.95,4.45396357763003,0.1437079011181463,4.310255676511884,72,0.023094329877824935,127.5
augmented,2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,8.36062000368858,-7.449379996311421,12.56,5.110620003688579,0.1437079011181463,4.966912102570433,88,0.030015242355743835,112.5
augmented,2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,9.087446839107788,-7.412553160892212,13.08,5.667446839107787,0.1437079011181463,5.52373893798964,94,0.03425614553775518,110.5
augmented,2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,11.016869034670918,-6.143130965329082,13.27,7.126869034670918,0.1437079011181463,6.9831611335527715,104,0.04013285674377657,84.0
augmented,2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,12.21174325384982,-5.5682567461501815,12.760000000000002,7.19174325384982,0.1437079011181463,7.048035352731674,99,0.03934937170406249,84.0
augmented,2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,12.959962321309906,-5.410037678690095,11.420000000000002,6.009962321309905,0.1437079011181463,5.866254420191758,84,0.03217290807256598,75.5
augmented,2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,14.286891686198256,-4.503108313801743,10.02,5.516891686198257,0.1437079011181463,5.37318378508011,79,0.029484204179195325,73.0
augmented,2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,15.599351174539084,-3.4206488254609155,8.6,5.179351174539084,0.1437079011181463,5.035643273420938,81,0.028576857880821788,75.5
