column,feature,first_divergences
5,86510000:dH8,1815
71,Carreiro:C48,1289
45,Baixo Antas:P1,509
127,gfs_seamless:location1:P12,474
12,86472600:H,472
10,86472000:dH4,472
80,Prata-Turvo:C6,427
117,Tainhas:P3lag3,280
11,86472000:dH8,210
101,Alto Antas:C48,203
103,Alto Antas:P3lag6,196
70,Carreiro:P48,182
6,86472000:H,175
83,Prata-Turvo:P24,168
24,julho:Q06,166
147,ecmwf_ifs025:location1:P12,159
119,Tainhas:P3lag12,155
16,86472600:dH4,155
151,ecmwf_ifs025:location2:P12,147
74,Carreiro:P3lag12,140
14,86472600:dH1,135
99,Alto Antas:C24,132
120,gfs_seamless:location0:P3,128
60,Carreiro:P1,128
78,Prata-Turvo:C3,126
8,86472000:dH1,120
7,86472000:dH0.5,119
41,castro:dQ1,111
43,castro:dQ4,105
30,julho:dQ8,105
89,Prata-Turvo:P3lag12,105
172,icon_global:location3:P3,98
27,julho:dQ1,96
143,ecmwf_ifs025:location0:P12,91
167,icon_global:location1:P12,91
69,Carreiro:C24,84
13,86472600:dH0.5,80
174,icon_global:location3:P9,77
93,Alto Antas:C3,70
95,Alto Antas:C6,70
179,icon_global:location4:P12,70
113,Tainhas:P24,67
177,icon_global:location4:P6,63
142,ecmwf_ifs025:location0:P9,63
4,86510000:dH4,60
159,ecmwf_ifs025:location4:P12,56
165,icon_global:location1:P6,56
111,Tainhas:P12,54
1,86510000:dH0.5,52
170,icon_global:location2:P9,49
96,Alto Antas:P12,48
173,icon_global:location3:P6,42
141,ecmwf_ifs025:location0:P6,42
145,ecmwf_ifs025:location1:P6,42
125,gfs_seamless:location1:P6,38
49,Baixo Antas:P6,36
166,icon_global:location1:P9,36
140,ecmwf_ifs025:location0:P3,35
90,Alto Antas:P1,32
157,ecmwf_ifs025:location4:P6,30
87,Prata-Turvo:P3lag3,28
59,Baixo Antas:P3lag12,26
17,86472600:dH8,22
47,Baixo Antas:P3,21
3,86510000:dH2,18
121,gfs_seamless:location0:P6,16
162,icon_global:location0:P9,15
31,monte:Q06,14
29,julho:dQ4,14
35,monte:dQ2,12
68,Carreiro:P24,11
85,Prata-Turvo:P48,10
92,Alto Antas:P3,9
34,monte:dQ1,9
150,ecmwf_ifs025:location2:P9,7
15,86472600:dH2,6
169,icon_global:location2:P6,5
115,Tainhas:P48,4
58,Baixo Antas:P3lag6,4
94,Alto Antas:P6,4
28,julho:dQ2,1
