family,origin,tree,leaf,leaf_delta_contribution_m,training_rows,added_2024_rows,extreme_2024_rows,extreme_weight_fraction
native_control,2026-07-21T13:00:00-03:00,0,8,0.015184990576758433,2818,,,
native_control,2026-07-21T14:00:00-03:00,0,8,0.015184990576758433,2818,,,
native_control,2026-07-21T15:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T16:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T17:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T18:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T19:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T20:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T21:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T22:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T23:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-22T00:00:00-03:00,0,11,0.08219624343113256,59,,,
native_control,2026-07-21T13:00:00-03:00,1,3,-0.03532655107020627,2783,,,
native_control,2026-07-21T14:00:00-03:00,1,7,0.028689138499520518,736,,,
native_control,2026-07-21T15:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T16:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T17:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T18:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T19:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T20:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T21:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T22:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T23:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-22T00:00:00-03:00,1,12,0.2802329272604906,44,,,
native_control,2026-07-21T13:00:00-03:00,2,4,-0.034660628326003015,2739,,,
native_control,2026-07-21T14:00:00-03:00,2,8,0.016428817252795033,2714,,,
native_control,2026-07-21T15:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T16:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T17:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T18:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T19:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T20:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T21:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T22:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T23:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-22T00:00:00-03:00,2,11,0.07555099189424744,59,,,
native_control,2026-07-21T13:00:00-03:00,3,3,-0.031927406545795005,2787,,,
native_control,2026-07-21T14:00:00-03:00,3,7,0.027294111790098535,738,,,
native_control,2026-07-21T15:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T16:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T17:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T18:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T19:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T20:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T21:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T22:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T23:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-22T00:00:00-03:00,3,12,0.2555728348840046,43,,,
native_control,2026-07-21T13:00:00-03:00,4,6,0.04650500262827797,119,,,
native_control,2026-07-21T14:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T15:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T16:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T17:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T18:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T19:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T20:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T21:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T22:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T23:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-22T00:00:00-03:00,4,11,0.24872483399806805,42,,,
native_control,2026-07-21T13:00:00-03:00,5,9,0.07351740227580902,235,,,
native_control,2026-07-21T14:00:00-03:00,5,9,0.07351740227580902,235,,,
native_control,2026-07-21T15:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T16:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T17:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T18:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T19:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T20:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T21:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T22:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T23:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-22T00:00:00-03:00,5,11,0.21689444325396467,53,,,
native_control,2026-07-21T13:00:00-03:00,6,7,0.06487732094678994,110,,,
native_control,2026-07-21T14:00:00-03:00,6,7,0.06487732094678994,110,,,
native_control,2026-07-21T15:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T16:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T17:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T18:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T19:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T20:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T21:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T22:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T23:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-22T00:00:00-03:00,6,12,0.22147406928057742,43,,,
native_control,2026-07-21T13:00:00-03:00,7,6,-0.027165274202615688,2689,,,
native_control,2026-07-21T14:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T15:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T16:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T17:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T18:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T19:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T20:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T21:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T22:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T23:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-22T00:00:00-03:00,7,12,0.17982208452998213,67,,,
native_control,2026-07-21T13:00:00-03:00,8,4,-0.029777803442071853,2297,,,
native_control,2026-07-21T14:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T15:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T16:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T17:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T18:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T19:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T20:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T21:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T22:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T23:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-22T00:00:00-03:00,8,12,0.08964523535318523,75,,,
native_control,2026-07-21T13:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T14:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T15:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T16:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T17:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T18:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T19:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T20:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T21:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T22:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T23:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-22T00:00:00-03:00,9,12,-0.04571533611714187,46,,,
native_control,2026-07-21T13:00:00-03:00,10,5,-0.02776690658691793,2494,,,
native_control,2026-07-21T14:00:00-03:00,10,7,0.015207152617568376,2921,,,
native_control,2026-07-21T15:00:00-03:00,10,7,0.015207152617568376,2921,,,
native_control,2026-07-21T16:00:00-03:00,10,7,0.015207152617568376,2921,,,
native_control,2026-07-21T17:00:00-03:00,10,7,0.015207152617568376,2921,,,
native_control,2026-07-21T18:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-21T19:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-21T20:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-21T21:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-21T22:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-21T23:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-22T00:00:00-03:00,10,12,0.188598255995143,41,,,
native_control,2026-07-21T13:00:00-03:00,11,11,0.023383688179446974,397,,,
native_control,2026-07-21T14:00:00-03:00,11,11,0.023383688179446974,397,,,
native_control,2026-07-21T15:00:00-03:00,11,11,0.023383688179446974,397,,,
native_control,2026-07-21T16:00:00-03:00,11,11,0.023383688179446974,397,,,
native_control,2026-07-21T17:00:00-03:00,11,11,0.023383688179446974,397,,,
native_control,2026-07-21T18:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-21T19:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-21T20:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-21T21:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-21T22:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-21T23:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-22T00:00:00-03:00,11,12,0.08534858183132099,163,,,
native_control,2026-07-21T13:00:00-03:00,12,4,-0.020821365368120993,1903,,,
native_control,2026-07-21T14:00:00-03:00,12,6,-0.005894796194031317,5377,,,
native_control,2026-07-21T15:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T16:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T17:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T18:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T19:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T20:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T21:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T22:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T23:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-22T00:00:00-03:00,12,11,0.17871191446648704,36,,,
native_control,2026-07-21T13:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T14:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T15:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T16:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T17:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T18:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T19:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T20:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T21:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T22:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T23:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-22T00:00:00-03:00,13,9,0.13606171872448894,78,,,
native_control,2026-07-21T13:00:00-03:00,14,6,-0.02171562201111047,1782,,,
native_control,2026-07-21T14:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T15:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T16:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T17:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T18:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T19:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T20:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T21:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T22:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T23:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-22T00:00:00-03:00,14,12,0.15056634964110951,50,,,
native_control,2026-07-21T13:00:00-03:00,15,5,-0.022289238242325538,2689,,,
native_control,2026-07-21T14:00:00-03:00,15,7,0.011955926545776461,2921,,,
native_control,2026-07-21T15:00:00-03:00,15,7,0.011955926545776461,2921,,,
native_control,2026-07-21T16:00:00-03:00,15,7,0.011955926545776461,2921,,,
native_control,2026-07-21T17:00:00-03:00,15,7,0.011955926545776461,2921,,,
native_control,2026-07-21T18:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-21T19:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-21T20:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-21T21:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-21T22:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-21T23:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-22T00:00:00-03:00,15,12,0.15339305163664227,41,,,
native_control,2026-07-21T13:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T14:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T15:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T16:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T17:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T18:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T19:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T20:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T21:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T22:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T23:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-22T00:00:00-03:00,16,12,-0.04027503066418464,46,,,
native_control,2026-07-21T13:00:00-03:00,17,4,0.04011640357995042,86,,,
native_control,2026-07-21T14:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T15:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T16:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T17:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T18:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T19:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T20:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T21:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T22:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T23:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-22T00:00:00-03:00,17,12,0.12217132740254913,61,,,
native_control,2026-07-21T13:00:00-03:00,18,10,0.014853149655461825,392,,,
native_control,2026-07-21T14:00:00-03:00,18,10,0.014853149655461825,392,,,
native_control,2026-07-21T15:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T16:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T17:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T18:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T19:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T20:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T21:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T22:00:00-03:00,18,12,0.14454525972103796,42,,,
native_control,2026-07-21T23:00:00-03:00,18,11,0.06523794749212737,141,,,
native_control,2026-07-22T00:00:00-03:00,18,11,0.06523794749212737,141,,,
native_control,2026-07-21T13:00:00-03:00,19,5,-0.02091978970122074,2415,,,
native_control,2026-07-21T14:00:00-03:00,19,4,-0.0026225560490483993,5565,,,
native_control,2026-07-21T15:00:00-03:00,19,6,0.05288784896706812,111,,,
native_control,2026-07-21T16:00:00-03:00,19,6,0.05288784896706812,111,,,
native_control,2026-07-21T17:00:00-03:00,19,6,0.05288784896706812,111,,,
native_control,2026-07-21T18:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-21T19:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-21T20:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-21T21:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-21T22:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-21T23:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-22T00:00:00-03:00,19,12,0.13787182154355887,43,,,
native_control,2026-07-21T13:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T14:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T15:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T16:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T17:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T18:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T19:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T20:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T21:00:00-03:00,20,12,0.13692124255486138,37,,,
native_control,2026-07-21T22:00:00-03:00,20,11,0.08054728808850553,88,,,
native_control,2026-07-21T23:00:00-03:00,20,11,0.08054728808850553,88,,,
native_control,2026-07-22T00:00:00-03:00,20,11,0.08054728808850553,88,,,
native_control,2026-07-21T13:00:00-03:00,21,4,-0.014488876902728412,2070,,,
native_control,2026-07-21T14:00:00-03:00,21,4,-0.014488876902728412,2070,,,
native_control,2026-07-21T15:00:00-03:00,21,7,0.05115772854115356,149,,,
native_control,2026-07-21T16:00:00-03:00,21,7,0.05115772854115356,149,,,
native_control,2026-07-21T17:00:00-03:00,21,7,0.05115772854115356,149,,,
native_control,2026-07-21T18:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-21T19:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-21T20:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-21T21:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-21T22:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-21T23:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-22T00:00:00-03:00,21,12,0.10679581813311444,46,,,
native_control,2026-07-21T13:00:00-03:00,22,6,0.05519135267174709,41,,,
native_control,2026-07-21T14:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T15:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T16:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T17:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T18:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T19:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T20:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T21:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T22:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T23:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-22T00:00:00-03:00,22,12,0.1210953420085595,37,,,
native_control,2026-07-21T13:00:00-03:00,23,6,-0.0010791946851466572,6713,,,
native_control,2026-07-21T14:00:00-03:00,23,6,-0.0010791946851466572,6713,,,
native_control,2026-07-21T15:00:00-03:00,23,6,-0.0010791946851466572,6713,,,
native_control,2026-07-21T16:00:00-03:00,23,6,-0.0010791946851466572,6713,,,
native_control,2026-07-21T17:00:00-03:00,23,6,-0.0010791946851466572,6713,,,
native_control,2026-07-21T18:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-21T19:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-21T20:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-21T21:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-21T22:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-21T23:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-22T00:00:00-03:00,23,12,0.1083207044721651,43,,,
native_control,2026-07-21T13:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T14:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T15:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T16:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T17:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T18:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T19:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T20:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T21:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T22:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T23:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-22T00:00:00-03:00,24,12,0.044871335083984984,179,,,
native_control,2026-07-21T13:00:00-03:00,25,4,-0.012426618913420225,2025,,,
native_control,2026-07-21T14:00:00-03:00,25,4,-0.012426618913420225,2025,,,
native_control,2026-07-21T15:00:00-03:00,25,9,0.014790898727652024,95,,,
native_control,2026-07-21T16:00:00-03:00,25,8,0.0755031587315754,62,,,
native_control,2026-07-21T17:00:00-03:00,25,8,0.0755031587315754,62,,,
native_control,2026-07-21T18:00:00-03:00,25,12,0.09648628793434788,35,,,
native_control,2026-07-21T19:00:00-03:00,25,12,0.09648628793434788,35,,,
