column,rows,changed,availability_changes,max_finite_difference
0,12912,9168,67,0.46999999999999886
1,12912,7628,120,0.8600000000000012
2,12912,8303,122,0.24
3,12912,9184,129,0.16499999999999992
4,12912,10096,131,0.10250000000000015
5,12912,10771,132,0.06249999999999978
6,12912,0,0,0.0
7,12912,0,0,0.0
8,12912,0,0,0.0
9,12912,0,0,0.0
10,12912,0,0,0.0
11,12912,0,0,0.0
12,12912,11098,185,1.4299999999999997
13,12912,9427,185,0.8399999999999999
14,12912,10862,185,0.8600000000000003
15,12912,11056,253,0.5700000000000001
16,12912,11498,295,0.32000000000000006
17,12912,11698,303,0.19749999999999995
18,12912,0,0,0.0
19,12912,0,0,0.0
20,12912,0,0,0.0
21,12912,0,0,0.0
22,12912,0,0,0.0
23,12912,0,0,0.0
24,12912,0,0,0.0
25,12912,0,0,0.0
26,12912,0,0,0.0
27,12912,0,0,0.0
28,12912,0,0,0.0
29,12912,0,0,0.0
30,12912,0,0,0.0
31,12912,0,0,0.0
32,12912,0,0,0.0
33,12912,0,0,0.0
34,12912,0,0,0.0
35,12912,0,0,0.0
36,12912,0,0,0.0
37,12912,0,0,0.0
38,12912,6188,1,0.25747399961996087
39,12912,6188,1,0.6199999999999997
40,12912,10060,1,0.6929999999999996
41,12912,7757,1,0.32719558211779154
42,12912,8274,1,0.1753696756408049
43,12912,8377,1,0.09243433763045544
44,12912,8468,1,0.03887742060351748
45,12912,2526,55,5.480924855491335
46,12912,11589,0,0.3280346820809249
47,12912,2579,0,5.757225433526034
48,12912,11598,0,0.10934489402697489
49,12912,2754,1,5.757225433526033
50,12912,11599,0,0.059368978805395045
51,12912,3031,1,5.78034682080925
52,12912,11599,0,0.035344412331406616
53,12912,3297,1,5.78034682080925
54,12912,11599,0,0.017672206165703308
55,12912,3545,1,5.780346820809257
56,12912,11606,0,0.008836103082851654
57,12912,2578,0,5.757225433526034
58,12912,2578,0,5.757225433526034
59,12912,2575,0,5.757225433526034
60,12912,1673,0,0.47254290171607316
61,12912,10028,0,0.025351014040561726
62,12912,1832,0,0.5083463338533605
63,12912,10028,0,0.008450338013520575
64,12912,2007,0,0.5455538221528897
65,12912,10028,0,0.004225169006760288
66,12912,2210,0,0.5455538221528897
67,12912,10028,0,0.002112584503380255
68,12912,2334,1,0.5455538221528897
69,12912,10028,0,0.0010562922516901274
70,12912,2464,0,0.5455538221528915
71,12912,10028,0,0.0005281461258450637
72,12912,1832,0,0.5083463338533605
73,12912,1832,0,0.5083463338533605
74,12912,1831,0,0.5083463338533605
75,12912,2395,2,15.32133972992182
76,12912,71,0,0.26865671641791056
77,12912,2887,2,15.581023454157783
78,12912,198,0,0.15529495380241642
79,12912,3102,1,15.581023454157783
80,12912,359,0,0.07764747690120832
81,12912,3180,0,15.581023454157783
82,12912,654,0,0.03882373845060416
83,12912,3562,0,15.581023454157783
84,12912,1140,0,0.019411869225302136
85,12912,3835,1,15.581023454157785
86,12912,1824,0,0.009705934612651124
87,12912,2887,2,15.581023454157783
88,12912,2886,2,15.581023454157783
89,12912,2880,2,15.581023454157783
90,12912,4521,2,16.05810575246939
91,12912,11636,0,0.31260894828588026
92,12912,4830,3,16.058105752469395
93,12912,11709,0,0.10420298276196016
94,12912,5071,1,16.88092581832268
95,12912,11749,0,0.06737846213441812
96,12912,5319,1,17.079604880883196
