source,lag_before_minutes,lag_after_minutes,before_last,after_last
86060010,960.0,1020.0,2026-09-21T08:00:00-03:00,2026-09-21T08:00:00-03:00
86099000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86102000,840.0,900.0,2026-09-21T10:00:00-03:00,2026-09-21T10:00:00-03:00
86117000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86125000,721.0,781.0,2026-09-21T11:59:00-03:00,2026-09-21T11:59:00-03:00
86125050,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86160000,15.0,75.0,2026-09-21T23:45:00-03:00,2026-09-21T23:45:00-03:00
86163000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86200900,720.0,780.0,2026-09-21T12:00:00-03:00,2026-09-21T12:00:00-03:00
86280500,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86298000,300.0,360.0,2026-09-21T19:00:00-03:00,2026-09-21T19:00:00-03:00
86403000,60.0,120.0,2026-09-21T23:00:00-03:00,2026-09-21T23:00:00-03:00
86410800,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86447000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86448000,300.0,360.0,2026-09-21T19:00:00-03:00,2026-09-21T19:00:00-03:00
86450000,150.0,165.0,2026-09-21T21:30:00-03:00,2026-09-21T22:15:00-03:00
86471000,15.0,30.0,2026-09-21T23:45:00-03:00,2026-09-22T00:30:00-03:00
86472000,30.0,30.0,2026-09-21T23:30:00-03:00,2026-09-22T00:30:00-03:00
86472600,15.0,75.0,2026-09-21T23:45:00-03:00,2026-09-21T23:45:00-03:00
86479000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86488000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86493000,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86495500,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86500000,30.0,30.0,2026-09-21T23:30:00-03:00,2026-09-22T00:30:00-03:00
86504900,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86505500,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
86510000,15.0,30.0,2026-09-21T23:45:00-03:00,2026-09-22T00:30:00-03:00
castro,0.0,60.0,2026-09-22T00:00:00-03:00,2026-09-22T00:00:00-03:00
julho,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
monte,60.0,60.0,2026-09-21T23:00:00-03:00,2026-09-22T00:00:00-03:00
