source,lead_h,family,phase,training_n,weighted_mean_residual_m3_s_before_clipping
julho,0,reference_delta,validation,4390,0.3021787170739305
julho,0,reference_delta,test,10942,0.04284096278711213
julho,0,reference_delta,current,12910,0.14677525729687538
julho,0,weighted_delta,validation,4390,-3.7998990298319964e-14
julho,0,weighted_delta,test,10942,1.380961274168253e-12
julho,0,weighted_delta,current,12910,6.211189882983747e-13
julho,0,reference_absolute,validation,4390,148.8348017995273
julho,0,reference_absolute,test,10942,69.93874519775247
julho,0,reference_absolute,current,12910,138.5589062419903
julho,0,weighted_absolute,validation,4390,-1.3230557531142316e-12
julho,0,weighted_absolute,test,10942,3.7252124507808175e-12
julho,0,weighted_absolute,current,12910,8.171162430090059e-13
julho,1,reference_delta,validation,4389,1.100528654736072
julho,1,reference_delta,test,10941,0.29548722907041847
julho,1,reference_delta,current,12909,0.5777879951497571
julho,1,weighted_delta,validation,4389,1.5968303931014517e-13
julho,1,weighted_delta,test,10941,5.778748996870672e-13
julho,1,weighted_delta,current,12909,-1.2877105141681239e-12
julho,1,reference_absolute,validation,4389,148.58932486092735
julho,1,reference_absolute,test,10941,69.69796621237244
julho,1,reference_absolute,current,12909,138.26797938637588
julho,1,weighted_absolute,validation,4389,4.434173653570973e-13
julho,1,weighted_absolute,test,10941,-4.371838862442534e-12
julho,1,weighted_absolute,current,12909,4.8578123355567476e-12
julho,2,reference_delta,validation,4388,2.3023367742733805
julho,2,reference_delta,test,10940,0.7936027234419241
julho,2,reference_delta,current,12908,1.2541199516118349
julho,2,weighted_delta,validation,4388,6.455901288892501e-14
julho,2,weighted_delta,test,10940,-4.723755160760172e-12
julho,2,weighted_delta,current,12908,1.8079081196610306e-12
julho,2,reference_absolute,validation,4388,148.27219094651983
julho,2,reference_absolute,test,10940,69.44986508990988
julho,2,reference_absolute,current,12908,137.87714861498156
julho,2,weighted_absolute,validation,4388,-7.856519873352599e-13
julho,2,weighted_absolute,test,10940,1.9763991669224266e-11
julho,2,weighted_absolute,current,12908,-2.2367420549632924e-11
julho,3,reference_delta,validation,4387,3.744662473906575
julho,3,reference_delta,test,10939,1.4097874803736279
julho,3,reference_delta,current,12907,2.0498281211180633
julho,3,weighted_delta,validation,4387,-2.2012421915270671e-13
julho,3,weighted_delta,test,10939,-2.207996802585469e-12
julho,3,weighted_delta,current,12907,-5.707318718595182e-13
julho,3,reference_absolute,validation,4387,147.94578100241873
