nominal_lead_h,subset,observed_targets,kept_hit,lost_hit,gained_hit,both_miss,unpaired
1,all,1944,1891,0,1,46,6
1,level_ge_7m,237,216,0,1,18,2
2,all,1943,1720,0,0,215,8
2,level_ge_7m,237,174,0,0,61,2
3,all,1942,1633,3,2,294,10
3,level_ge_7m,237,152,3,0,80,2
4,all,1941,1568,1,2,359,11
4,level_ge_7m,237,138,0,0,97,2
5,all,1940,1513,6,1,408,12
5,level_ge_7m,237,128,3,0,104,2
6,all,1939,1452,6,6,462,13
6,level_ge_7m,237,115,0,1,119,2
7,all,1938,1393,10,8,513,14
7,level_ge_7m,237,104,4,1,126,2
8,all,1937,1313,11,18,580,15
8,level_ge_7m,237,93,2,1,139,2
9,all,1936,1267,14,18,621,16
9,level_ge_7m,237,91,1,1,142,2
10,all,1935,1220,21,24,653,17
10,level_ge_7m,237,84,4,2,145,2
11,all,1934,1181,33,25,677,18
11,level_ge_7m,237,79,6,0,150,2
12,all,1933,1119,40,32,723,19
12,level_ge_7m,237,65,6,2,162,2
