source,lead_h,phase,training_n,evaluation_n,latest_training_target,cutoff_exclusive,rain_features_missing_training,rain_features_missing_evaluation
julho,0,validation,4390,6552,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,0,test,10942,1968,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,1,validation,4389,6551,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,1,test,10941,1967,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,2,validation,4388,6550,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,2,test,10940,1966,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,3,validation,4387,6549,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,3,test,10939,1965,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,4,validation,4386,6548,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,4,test,10938,1964,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,5,validation,4385,6547,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,5,test,10937,1963,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,6,validation,4384,6546,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,6,test,10936,1962,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,7,validation,4383,6545,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,7,test,10935,1961,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,8,validation,4382,6544,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,8,test,10934,1960,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,9,validation,4381,6543,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,9,test,10933,1959,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,10,validation,4380,6542,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,10,test,10932,1958,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
julho,11,validation,4379,6541,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
julho,11,test,10931,1957,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,0,validation,4384,6253,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,0,test,10637,1703,2026-06-28T05:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,1,validation,4383,6251,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,1,test,10635,1699,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,2,validation,4382,6249,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,2,test,10633,1695,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,3,validation,4381,6246,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,3,test,10630,1691,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,4,validation,4380,6243,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,4,test,10627,1687,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,5,validation,4379,6241,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,5,test,10625,1684,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,6,validation,4378,6239,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,6,test,10623,1681,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,7,validation,4377,6238,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,7,test,10622,1678,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,8,validation,4376,6236,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,8,test,10620,1675,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,9,validation,4375,6233,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,9,test,10617,1673,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,10,validation,4374,6232,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,10,test,10616,1671,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
carreiro,11,validation,4373,6231,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,0,0
carreiro,11,test,10615,1669,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,0,0
