nominal_lead_h,subset,family,observed_targets,forecast_failures_with_truth,coverage,n,hits,accuracy_percent,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m,unique_target_times,observed_flood_clusters,confidence_interval,uncertainty_status
1,all,julho_levels,1944,6,0.9969135802469136,1938,1891,97.57481940144478,0.13826727113885037,0.004806777640185762,0.33808667884870325,0.5194563237253604,1.3363363795546643,1938,0,,Independent-event validation unavailable; hourly pairs are dependent.
1,all,past_error_median,1944,6,0.9969135802469136,1938,1907,98.40041279669762,0.13010267514274387,0.005801364804182,0.3256289651953792,0.4764153548259481,1.4961098906529378,1938,0,,Independent-event validation unavailable; hourly pairs are dependent.
1,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,216,91.91489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
1,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,224,95.31914893617021,0.1831282888790153,-0.039010146831219075,0.3981307119668454,0.8749175419520895,1.4961098906529378,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
2,all,julho_levels,1943,8,0.9958826556870818,1935,1720,88.88888888888889,0.2116940232787009,0.00964759889608599,0.5225611023169295,0.8086405684490644,2.1256756873033744,1935,0,,Independent-event validation unavailable; hourly pairs are dependent.
2,all,past_error_median,1943,8,0.9958826556870818,1935,1741,89.97416020671835,0.20016096591504812,0.011133700777390568,0.5004491299504729,0.7429293924712957,2.440442858057425,1935,0,,Independent-event validation unavailable; hourly pairs are dependent.
2,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,174,74.04255319148936,0.3389290233565138,0.1492005887715365,0.777187118768051,1.0328663101400746,2.1256756873033744,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
2,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,189,80.42553191489361,0.31409383731910057,-0.058764293673520616,0.6916446578190865,1.153111281363516,2.440442858057425,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
3,all,julho_levels,1942,10,0.9948506694129763,1932,1636,84.67908902691511,0.26250735407284537,0.01492477163100866,0.6129691346880035,1.026676685192298,2.769956886268055,1932,0,,Independent-event validation unavailable; hourly pairs are dependent.
3,all,past_error_median,1942,10,0.9948506694129763,1932,1627,84.21325051759834,0.24946116893832423,0.016643101690565612,0.6040476114601852,0.9448619662678243,3.028223731356407,1932,0,,Independent-event validation unavailable; hourly pairs are dependent.
3,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,155,65.95744680851064,0.45699481226509975,0.19674164872568914,1.0668734186132909,1.2921763492409757,2.769956886268055,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
3,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,161,68.51063829787235,0.43514389869147485,-0.06646704509747935,0.9903583224910547,1.5359110885798402,3.028223731356407,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
4,all,julho_levels,1941,11,0.994332818134982,1930,1569,81.29533678756476,0.29957237275641624,0.01962542964242733,0.6660606934286432,1.2339447653547935,3.146640556692857,1930,0,,Independent-event validation unavailable; hourly pairs are dependent.
4,all,past_error_median,1941,11,0.994332818134982,1930,1570,81.34715025906736,0.2869434808583394,0.021390941555978926,0.6627960349953852,1.1197715459923896,3.487260516190142,1930,0,,Independent-event validation unavailable; hourly pairs are dependent.
4,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,138,58.723404255319146,0.5635638456977867,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
4,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,144,61.276595744680854,0.5409425006526652,-0.06392605999303487,1.319341319541109,2.0002227157888126,3.487260516190142,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
5,all,julho_levels,1940,12,0.9938144329896907,1928,1519,78.78630705394191,0.33217603391990747,0.024179240376470786,0.6984231882137162,1.4041430489720987,3.210054029360098,1928,0,,Independent-event validation unavailable; hourly pairs are dependent.
5,all,past_error_median,1940,12,0.9938144329896907,1928,1513,78.47510373443983,0.32354631556109104,0.026179514517917907,0.696790661092392,1.373061202224678,3.5964367306857046,1928,0,,Independent-event validation unavailable; hourly pairs are dependent.
5,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,131,55.744680851063826,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
5,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,131,55.744680851063826,0.6665788049043478,-0.054194246261275676,1.6704761765012404,2.7775183099472778,3.5964367306857046,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
6,all,julho_levels,1939,13,0.9932955131511089,1926,1458,75.70093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209,1926,0,,Independent-event validation unavailable; hourly pairs are dependent.
6,all,past_error_median,1939,13,0.9932955131511089,1926,1442,74.87019730010384,0.3636091812144392,0.03275107293318176,0.7537473080024233,1.5668455015879923,4.244779299639831,1926,0,,Independent-event validation unavailable; hourly pairs are dependent.
6,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,115,48.93617021276596,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
6,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,109,46.38297872340426,0.8122907326238826,-0.01831435025536576,2.09102116683388,3.4695326883225506,4.244779299639831,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
7,all,julho_levels,1938,14,0.9927760577915377,1924,1403,72.92099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857,1924,0,,Independent-event validation unavailable; hourly pairs are dependent.
7,all,past_error_median,1938,14,0.9927760577915377,1924,1366,70.997920997921,0.40513653802387495,0.04361672795015606,0.8381624655099169,1.8811494488756748,5.018049097582992,1924,0,,Independent-event validation unavailable; hourly pairs are dependent.
7,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,108,45.95744680851064,0.839220797810725,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
7,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,96,40.851063829787236,0.9455458637182552,0.015869190950992297,2.4549153020096712,3.625858178186455,5.018049097582992,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
8,all,julho_levels,1937,15,0.9922560660815695,1922,1324,68.88657648283038,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436,1922,0,,Independent-event validation unavailable; hourly pairs are dependent.
8,all,past_error_median,1937,15,0.9922560660815695,1922,1295,67.37773152965661,0.4525070313989196,0.05217843524287009,0.9193308850427508,2.1337576795758277,6.083204437701696,1922,0,,Independent-event validation unavailable; hourly pairs are dependent.
8,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,95,40.42553191489362,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
8,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,83,35.319148936170215,1.0836262484801717,0.024140103471842263,2.7525468922723104,4.034544955264754,6.083204437701696,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
9,all,julho_levels,1936,16,0.9917355371900827,1920,1281,66.71875,0.46872304380963314,0.052348523595755876,0.9158260273911826,1.9023064949758315,6.286673602768847,1920,0,,Independent-event validation unavailable; hourly pairs are dependent.
9,all,past_error_median,1936,16,0.9917355371900827,1920,1224,63.75,0.5037984956851502,0.05712553753215328,1.0392533192343576,2.6779151640171133,7.183482263186175,1920,0,,Independent-event validation unavailable; hourly pairs are dependent.
9,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,92,39.148936170212764,1.032789204510671,0.27204567129823093,2.136672778659753,4.722998485744052,6.286673602768847,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
9,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,75,31.914893617021278,1.2783393762855542,0.05035185809214724,3.2248008993265302,4.9981518472104005,7.183482263186175,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
10,all,julho_levels,1935,17,0.9912144702842377,1918,1241,64.70281543274244,0.500775346808767,0.05722241379594947,0.9745580050832435,2.0298554040399996,7.189303791286582,1918,0,,Independent-event validation unavailable; hourly pairs are dependent.
10,all,past_error_median,1935,17,0.9912144702842377,1918,1165,60.74035453597497,0.5477609255407913,0.060094717079971875,1.1076728208004891,3.0501649017802843,8.144449611648685,1918,0,,Independent-event validation unavailable; hourly pairs are dependent.
10,level_ge_7m,julho_levels,237,2,0.9915611814345991,235,88,37.4468085106383,1.1327552675526111,0.23895508211254737,2.2789270847601975,5.226611203636839,7.189303791286582,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
10,level_ge_7m,past_error_median,237,2,0.9915611814345991,235,67,28.51063829787234,1.445467075707407,0.07173724452834551,3.60325200687402,5.493485767961856,8.144449611648685,235,0,,Independent-event validation unavailable; hourly pairs are dependent.
