nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,reference,all,1944,1938,6,0.9969135802469136,1801,0.9293085655314758,0.2115507483008196,-0.0026302076856218643,0.43915027559335956,0.9465195970234765,1.4366862682698178
1,julho_levels,all,1944,1938,6,0.9969135802469136,1796,0.9267285861713106,0.2127784247870348,0.00019063807059210955,0.4429272225415777,0.9394077814720131,1.4437372583595334
1,reference,level_ge_7m,237,235,2,0.9915611814345991,163,0.6936170212765957,0.3993930752139946,0.24911343915091372,1.0423911809636839,1.1457913791464913,1.4315772979691417
1,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,163,0.6936170212765957,0.39850606520745524,0.25150733334158043,1.038813216242995,1.1442240169026032,1.413746453726569
2,reference,all,1943,1935,8,0.9958826556870818,1657,0.8563307493540052,0.29046099569059586,-0.008402753411806605,0.5875695059573011,1.2814942620353758,2.070312570131458
2,julho_levels,all,1943,1935,8,0.9958826556870818,1654,0.8547803617571059,0.2924766454669004,0.0003236070575549968,0.5963679119645147,1.3023067936343817,2.0071255579231
2,reference,level_ge_7m,237,235,2,0.9915611814345991,129,0.548936170212766,0.5936097798196723,0.35511407360288705,1.5183632059180223,1.6585046074177652,2.070312570131458
2,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,131,0.5574468085106383,0.586335168815875,0.3626506854746214,1.5104653004118298,1.6558269902731486,2.0071255579231
3,reference,all,1942,1932,10,0.9948506694129763,1595,0.8255693581780539,0.32710751692395007,-0.01440257814673587,0.6327515524035895,1.4740378058147168,2.4235230764366538
3,julho_levels,all,1942,1932,10,0.9948506694129763,1581,0.8183229813664596,0.3307963340305786,0.0026716323180942265,0.6509955702335578,1.4064232678280342,2.3601151286921986
3,reference,level_ge_7m,237,235,2,0.9915611814345991,112,0.4765957446808511,0.7250829903270853,0.4133983501227206,1.8404420938652226,1.9889660039341475,2.4235230764366538
3,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,112,0.4765957446808511,0.7152543070346209,0.4273102722038634,1.8142375173097989,1.9700284058867796,2.3601151286921986
4,reference,all,1941,1930,11,0.994332818134982,1581,0.8191709844559586,0.3432965751363927,-0.020562491272154263,0.6547077031169969,1.7013689323799452,2.886599746376149
4,julho_levels,all,1941,1930,11,0.994332818134982,1571,0.8139896373056995,0.34825782822083473,0.006046443744704905,0.6573353066612901,1.6673752169960265,2.5639702064320034
4,reference,level_ge_7m,237,235,2,0.9915611814345991,105,0.44680851063829785,0.8227468292733586,0.4385589470164355,2.0456849538605533,2.2680492986969107,2.886599746376149
4,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,107,0.4553191489361702,0.8076251890724362,0.4581075112209635,2.0027022626871065,2.1720276653631787,2.5639702064320034
5,reference,all,1940,1928,12,0.9938144329896907,1566,0.8122406639004149,0.35620520438187686,-0.02743622310244593,0.6597323116258041,1.9282776397898094,4.188705508185578
5,julho_levels,all,1940,1928,12,0.9938144329896907,1558,0.808091286307054,0.3637167364075054,0.01065451043579471,0.6698009369406577,1.9184902310664909,3.0150740418874165
5,reference,level_ge_7m,237,235,2,0.9915611814345991,98,0.41702127659574467,0.9011606098835752,0.4336368479501482,2.1780372534041845,2.65000799452823,4.188705508185578
5,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,102,0.4340425531914894,0.8835097068727146,0.46397092505852694,2.1296271542114913,2.495820195746206,3.0150740418874165
6,reference,all,1939,1926,13,0.9932955131511089,1525,0.7917964693665628,0.3775536814722513,-0.029202111632670363,0.7224424582929527,2.200901678648459,4.985746705344257
6,julho_levels,all,1939,1926,13,0.9932955131511089,1527,0.7928348909657321,0.3846874275712628,0.020523085925374326,0.7000350756001834,2.128793265999059,4.356867017166412
6,reference,level_ge_7m,237,235,2,0.9915611814345991,94,0.4,0.9744617441043338,0.45235860042089665,2.2959830594841595,2.816261276653214,4.985746705344257
6,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,98,0.41702127659574467,0.9519056950949414,0.48502181732117655,2.2502221487299328,2.6848826167587494,4.356867017166412
7,reference,all,1938,1924,14,0.9927760577915377,1448,0.7525987525987526,0.41346112783278094,-0.03394821288036538,0.8394728433154263,2.2897648355726394,5.84742129675511
7,julho_levels,all,1938,1924,14,0.9927760577915377,1456,0.7567567567567568,0.4134336554051782,0.030080370353445043,0.7647954749735474,2.228382593661244,5.064270287086755
7,reference,level_ge_7m,237,235,2,0.9915611814345991,84,0.3574468085106383,1.0427301951743484,0.4347127204750729,2.3709035931573625,3.1551582607104804,5.84742129675511
7,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,87,0.3702127659574468,1.0077697392048262,0.4801332453523833,2.351431186468902,2.9361066571121834,5.064270287086755
8,reference,all,1937,1922,15,0.9922560660815695,1344,0.6992715920915713,0.4590135073554405,-0.039179760627678556,0.9444060526570706,2.3022557239223316,6.265150780312863
8,julho_levels,all,1937,1922,15,0.9922560660815695,1393,0.7247658688865765,0.44560231704110104,0.03967493101737993,0.839618834996371,2.2691419289566763,5.321920693664499
8,reference,level_ge_7m,237,235,2,0.9915611814345991,79,0.33617021276595743,1.1104237194375237,0.40607604377770146,2.4622705670495675,4.015280863027641,6.265150780312863
8,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,84,0.3574468085106383,1.0660148558625118,0.4617380731865938,2.3918975913660736,3.7099725987378727,5.321920693664499
9,reference,all,1936,1920,16,0.9917355371900827,1223,0.6369791666666667,0.5159093571400891,-0.04967718113452711,1.0629838795497917,2.3885760870206245,7.5023240547810435
9,julho_levels,all,1936,1920,16,0.9917355371900827,1306,0.6802083333333333,0.4818176176118255,0.04463145235438008,0.909503587727674,2.323091144364571,6.400917573813567
9,reference,level_ge_7m,237,235,2,0.9915611814345991,78,0.33191489361702126,1.2075303119763858,0.3300006760658446,2.5479968890367948,4.920797868393599,7.5023240547810435
9,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,80,0.3404255319148936,1.1556102853181853,0.39949244142507134,2.4653054928760216,4.613405606325274,6.400917573813567
10,reference,all,1935,1918,17,0.9912144702842377,1128,0.5881126173096975,0.5715433948028896,-0.0583694639097764,1.1794767440205187,2.4393044918090223,8.531696542248588
10,julho_levels,all,1935,1918,17,0.9912144702842377,1244,0.64859228362878,0.5126590652368933,0.05095877684944732,0.9855583506215353,2.37163201534737,7.306052525412042
10,reference,level_ge_7m,237,235,2,0.9915611814345991,69,0.2936170212765957,1.2952085492827132,0.26779061913221003,2.6522948916247095,5.335994761789808,8.531696542248588
10,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,73,0.31063829787234043,1.2342523076719665,0.3491357556118317,2.5567428397248166,5.151892153694121,7.306052525412042
11,reference,all,1934,1916,18,0.9906928645294726,1038,0.5417536534446764,0.6289375557643421,-0.06826405869587034,1.2691620281853266,2.4935823823119803,9.509669725391506
11,julho_levels,all,1934,1916,18,0.9906928645294726,1211,0.6320459290187892,0.5409514900845737,0.05594832241530172,1.0457650913572882,2.4339362608284763,8.191642357933398
11,reference,level_ge_7m,237,235,2,0.9915611814345991,61,0.25957446808510637,1.4044800482525408,0.19588994881146277,2.770633745010803,5.681432939236617,9.509669725391506
11,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,75,0.3191489361702128,1.3243505225887997,0.2881759525023896,2.640196927857159,5.589112166642573,8.191642357933398
12,reference,all,1933,1914,19,0.9901707190894982,956,0.4994775339602926,0.6829269418481513,-0.0791408107213517,1.3531890361905912,2.6314761616429836,10.531533904474678
12,julho_levels,all,1933,1914,19,0.9901707190894982,1160,0.6060606060606061,0.5669160331279681,0.05995367132735663,1.1296243862429571,2.559857808292721,9.1387501330785
12,reference,level_ge_7m,237,235,2,0.9915611814345991,52,0.22127659574468084,1.5336733170107615,0.11166925098415167,2.9561356061207924,6.139922908968767,10.531533904474678
12,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,65,0.2765957446808511,1.4397297730513268,0.21610055961298288,2.8288474683145384,5.998677957200184,9.1387501330785
