horizon_h,subset,component,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,all,total_error_m,1937,1891,0.9762519359834796,0.1378440266034618,0.00431463248863886,0.3371153475462941,0.5119517848932523,1.3363363795546643
1,all,flow_conversion_error_m,1937,1891,0.9762519359834796,0.13812040314151489,0.004374739704069023,0.33701406278538615,0.5130771003006527,1.2105638406652348
1,all,anchor_curve_error_m,1937,1937,1.0,0.01224777721961844,-6.01072154301451e-05,0.02775814584903378,0.04693799217088349,0.24366693387744132
1,high,total_error_m,234,216,0.9230769230769231,0.20619804060439725,0.08748207900691227,0.4594247877437533,0.705615734940172,1.3363363795546643
1,high,flow_conversion_error_m,234,219,0.9358974358974359,0.19293736742193732,0.08608295043576665,0.4315053660006194,0.6363592542682194,1.2105638406652348
1,high,anchor_curve_error_m,234,234,1.0,0.026070255625067856,0.0013991285711457623,0.0429746457638439,0.15044199232474334,0.24366693387744132
2,all,total_error_m,1934,1720,0.889348500517063,0.2112896881879407,0.00913879305848889,0.5222690696052243,0.8018883929838126,2.1256756873033744
2,all,flow_conversion_error_m,1934,1715,0.8867631851085832,0.211722059858316,0.009249593273655295,0.523182236578723,0.7834248596483061,1.9719241360470212
2,all,anchor_curve_error_m,1934,1934,1.0,0.020758516393198628,-0.00011080021516638855,0.04668987212089135,0.07886924573288771,0.41228310796047385
2,high,total_error_m,234,174,0.7435897435897436,0.3361309504272302,0.14559171056624873,0.7726661515113691,1.0332913473523022,2.1256756873033744
2,high,flow_conversion_error_m,234,182,0.7777777777777778,0.31125687232513183,0.14152127231993694,0.7445881434190962,0.9908948484406245,1.9719241360470212
2,high,anchor_curve_error_m,234,234,1.0,0.04532244183712037,0.004070438246311912,0.0748026225695683,0.234760333076735,0.41228310796047385
3,all,total_error_m,1931,1636,0.8472294148109788,0.2619834943024617,0.01427269716231231,0.6114951859310853,1.022594812427976,2.769956886268055
3,all,flow_conversion_error_m,1931,1620,0.8389435525634387,0.26221893882573505,0.014444759097644765,0.6184551065073247,0.9749117447786135,2.5481518379844115
3,all,anchor_curve_error_m,1931,1930,0.9994821336095288,0.02825463045531698,-0.00017206193533242224,0.0626214357865944,0.10494395492109244,0.5258780338573912
3,high,total_error_m,234,155,0.6623931623931624,0.4535029927846786,0.19213763623868926,1.060994405922368,1.2932504790911785,2.769956886268055
3,high,flow_conversion_error_m,234,161,0.688034188034188,0.414941930808028,0.18467224720318318,0.9881698390658219,1.278024678975906,2.5481518379844115
3,high,anchor_curve_error_m,234,233,0.9957264957264957,0.0632694871503006,0.007465389035506226,0.10479365125429319,0.2926856265025943,0.5258780338573912
4,all,total_error_m,1929,1569,0.8133748055987559,0.2989116213084297,0.01881955277032784,0.6649289151086923,1.226554244763497,3.146640556692857
4,all,flow_conversion_error_m,1929,1553,0.8050803525142561,0.2996395895978953,0.01904822245333558,0.6873065818018694,1.1322270149537386,2.811240582512294
4,all,anchor_curve_error_m,1929,1928,0.9994815966822188,0.035003256695342676,-0.00022866968300772677,0.07658678747645063,0.13049001707115124,0.606401494583479
4,high,total_error_m,234,138,0.5897435897435898,0.5592450505258868,0.22618661120900876,1.29985843612468,1.8861232737171272,3.146640556692857
4,high,flow_conversion_error_m,234,144,0.6153846153846154,0.5073319203281889,0.21506158400676578,1.2626337614484484,1.7177364919375657,2.811240582512294
4,high,anchor_curve_error_m,234,233,0.9957264957264957,0.08059959610367289,0.011125027202243069,0.13221318782013736,0.3369706126950612,0.606401494583479
5,all,total_error_m,1927,1519,0.7882719252724442,0.3311045568712392,0.022947931053000498,0.696201474679734,1.3973921721313933,3.210054029360098
5,all,flow_conversion_error_m,1927,1487,0.7716658017644006,0.3323324576172834,0.02322806783680035,0.7105960895692472,1.3105423861631582,2.8343450277281246
5,all,anchor_curve_error_m,1927,1925,0.9989621172807472,0.04093853364692099,-0.00028013678379983076,0.08705623003666335,0.1540618559303276,0.6654178602033616
5,high,total_error_m,234,131,0.5598290598290598,0.6559699868538689,0.24425782209306318,1.4721099154839077,2.6733434130143223,3.210054029360098
5,high,flow_conversion_error_m,234,135,0.5769230769230769,0.5935934920519785,0.22938425660612996,1.4576127715702454,2.4711743430462563,2.8343450277281246
5,high,anchor_curve_error_m,234,232,0.9914529914529915,0.0968674704925124,0.014873565486933308,0.15934171815042716,0.37914097605277425,0.6654178602033616
6,all,total_error_m,1925,1458,0.7574025974025974,0.3623716543759918,0.031100209813319336,0.7261604367170699,1.4864591982081998,4.190778631942209
6,all,flow_conversion_error_m,1925,1419,0.7371428571428571,0.3641799112731358,0.03141958575946893,0.7424524882864365,1.4363852375367088,4.125678480389237
