phase,family,epoch,reported_q_m3_s,observed_h_m,stage_m
validation,original_membership,1759287600.0,549.0,3.56,3.540404936754567
validation,original_membership,1759291200.0,639.7,3.85,3.85701215843205
validation,original_membership,1759294800.0,715.3,4.08,4.108627578654962
validation,original_membership,1759298400.0,776.7,4.26,4.3059514493408715
validation,original_membership,1759302000.0,818.7,4.38,4.437680802118524
validation,original_membership,1759305600.0,858.0,4.49,4.5587408638740605
validation,original_membership,1759309200.0,886.9,4.57,4.646486121758905
validation,original_membership,1759312800.0,908.9,4.63,4.712588987070957
validation,original_membership,1759316400.0,916.3,4.65,4.734692925963144
validation,original_membership,1759320000.0,916.3,4.65,4.734692925963144
validation,original_membership,1759323600.0,905.2,4.62,4.701512578540124
validation,original_membership,1759327200.0,886.9,4.57,4.646486121758905
validation,original_membership,1759330800.0,832.9,4.42,4.481660548168847
validation,original_membership,1759334400.0,759.5,4.21,4.2512636433829885
validation,original_membership,1759338000.0,682.0,3.98,3.999047330119705
validation,original_membership,1759341600.0,620.5,3.79,3.7914240699851987
validation,original_membership,1759345200.0,579.6,3.66,3.6492015759635295
validation,original_membership,1759348800.0,555.0,3.58,3.5619073562616856
validation,original_membership,1759352400.0,552.0,3.57,3.551166730255785
validation,original_membership,1759356000.0,595.2,3.71,3.7038637122832085
validation,original_membership,1759359600.0,742.4,4.16,4.196447185891102
validation,original_membership,1759363200.0,927.4,4.68,4.767727977365257
validation,original_membership,1759366800.0,1076.2,5.07,5.197626274529761
validation,original_membership,1759370400.0,1176.0,5.32,5.473915837653858
validation,original_membership,1759374000.0,1220.9,5.43,5.595429715489318
validation,original_membership,1759377600.0,1225.0,5.44,5.606444273728939
validation,original_membership,1759381200.0,1204.5,5.39,5.551236784368686
validation,original_membership,1759384800.0,1171.9,5.31,5.462736898026558
validation,original_membership,1759388400.0,1143.7,5.24,5.385459860698797
validation,original_membership,1759392000.0,1111.7,5.16,5.296928418892284
validation,original_membership,1759395600.0,1064.4,5.04,5.16435705818308
validation,original_membership,1759399200.0,991.2,4.85,4.954902102729983
validation,original_membership,1759402800.0,916.3,4.65,4.734692925963144
validation,original_membership,1759406400.0,883.3,4.56,4.635613010091447
validation,original_membership,1759410000.0,938.5,4.71,4.800620096766452
validation,original_membership,1759413600.0,1025.6,4.94,5.054008367846117
validation,original_membership,1759417200.0,1072.3,5.06,5.186645205120562
validation,original_membership,1759420800.0,1080.1,5.08,5.208592937391533
validation,original_membership,1759424400.0,1091.9,5.11,5.241687104936811
validation,original_membership,1759428000.0,1095.9,5.12,5.252876024984103
validation,original_membership,1759431600.0,1088.0,5.1,5.2307636022982456
validation,original_membership,1759435200.0,1056.6,5.02,5.142292168346392
validation,original_membership,1759438800.0,1029.5,4.95,5.065167675485827
validation,original_membership,1759442400.0,1006.5,4.89,4.999132708462726
validation,original_membership,1759446000.0,1006.5,4.89,4.999132708462726
validation,original_membership,1759449600.0,1045.0,4.99,5.1093682574944
validation,original_membership,1759453200.0,1123.7,5.19,5.3302345361885966
validation,original_membership,1759456800.0,1184.1,5.34,5.495959649380458
validation,original_membership,1759460400.0,1208.6,5.4,5.562305346025685
validation,original_membership,1759464000.0,1200.4,5.38,5.5401545654194235
validation,original_membership,1759467600.0,1171.9,5.31,5.462736898026558
validation,original_membership,1759471200.0,1139.7,5.23,5.374442963553172
validation,original_membership,1759474800.0,1099.8,5.13,5.263770986339878
validation,original_membership,1759478400.0,1060.5,5.03,5.153331962199189
validation,original_membership,1759482000.0,991.2,4.85,4.954902102729983
validation,original_membership,1759485600.0,897.9,4.6,4.679610898433497
validation,original_membership,1759489200.0,808.1,4.35,4.4046705030338655
validation,original_membership,1759492800.0,756.0,4.2,4.240080594688797
validation,original_membership,1759496400.0,739.0,4.15,4.185493719534587
validation,original_membership,1759500000.0,749.2,4.18,4.218299758072073
validation,original_membership,1759503600.0,752.6,4.19,4.229199088038047
validation,original_membership,1759507200.0,749.2,4.18,4.218299758072073
validation,original_membership,1759510800.0,735.6,4.14,4.174521981542803
validation,original_membership,1759514400.0,718.7,4.09,4.119710849401319
validation,original_membership,1759518000.0,708.6,4.06,4.08673099039005
