origin,predictor_history_offset_h,source_time,assumed_available_at,source_path,source_line,raw_total_q_m3_s,component_sum_m3_s
2026-07-22T08:00:00-03:00,0,2026-07-22T07:00:00-03:00,2026-07-22T08:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2000,0.0,6.0
2026-07-22T09:00:00-03:00,0,2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2001,0.0,6.0
2026-07-22T09:00:00-03:00,1,2026-07-22T07:00:00-03:00,2026-07-22T08:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2000,0.0,6.0
2026-07-22T10:00:00-03:00,0,2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2002,0.0,6.0
2026-07-22T10:00:00-03:00,1,2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2001,0.0,6.0
2026-07-22T11:00:00-03:00,1,2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2002,0.0,6.0
2026-07-22T11:00:00-03:00,3,2026-07-22T07:00:00-03:00,2026-07-22T08:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2000,0.0,6.0
2026-07-22T12:00:00-03:00,3,2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2001,0.0,6.0
2026-07-22T13:00:00-03:00,3,2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2002,0.0,6.0
2026-07-22T14:00:00-03:00,6,2026-07-22T07:00:00-03:00,2026-07-22T08:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2000,0.0,6.0
2026-07-22T15:00:00-03:00,6,2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2001,0.0,6.0
2026-07-22T16:00:00-03:00,6,2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,/Users/brunozilio/Documents/radar/outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,2002,0.0,6.0
