phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,p90_abs_m3_s,p98_abs_m3_s,max_abs_m3_s,rmse_m3_s
validation,all,reference,0,6552,21.96865262467586,-0.5597157598890977,48.00476909521052,109.12661180224889,547.5235878886201,38.349102172621656
validation,all,reference,1,6551,37.621783547520465,-2.5966881096252434,82.52949649422081,194.9142482174009,516.4502981817825,58.96510258757902
validation,all,reference,2,6550,48.20926978366677,-5.897977869533323,105.67082099166964,229.15513588240046,519.7831529429113,72.00067121945143
validation,all,reference,3,6549,56.50039119766766,-9.501238052369045,126.06372991153212,249.07658486386777,653.198525896647,82.14362185987298
validation,all,reference,4,6548,63.74359018911596,-12.872244087721464,140.49443102592534,255.50385633142218,711.5413487877779,91.29855779879287
validation,all,reference,5,6547,70.35785882716185,-15.295881094428033,151.80923846670873,274.2727117783424,873.4709833765037,100.4129157580053
validation,all,reference,6,6546,76.64271768026224,-16.793673233737827,165.47735506245334,300.3569597800425,1028.958978880733,110.79471352221906
validation,all,reference,7,6545,82.61654924679529,-16.95930046457202,176.07431911643363,324.8907780402562,1227.0281203647069,121.69299932360921
validation,all,reference,8,6544,88.55202713787146,-16.334326811891774,186.78120541753935,364.6523468637142,1361.1356941736012,134.09045820420718
validation,all,reference,9,6543,94.53446463701265,-17.081590589142223,193.98185563853636,399.0271839429544,1575.479077990533,146.45212785943528
validation,all,reference,10,6542,100.3829122965039,-16.773148396376374,197.19155316103044,431.3099361433195,1845.1792891476182,159.12972141389739
validation,all,reference,11,6541,105.02701617859972,-15.182362775488418,207.50023769838273,469.632170006755,2098.404385763727,170.50465469718918
validation,all,conditional,0,6552,21.96865262467586,-0.5597157598890977,48.00476909521052,109.12661180224889,547.5235878886201,38.349102172621656
validation,all,conditional,1,6551,37.621783547520465,-2.5966881096252434,82.52949649422081,194.9142482174009,516.4502981817825,58.96510258757902
validation,all,conditional,2,6550,48.20926978366677,-5.897977869533323,105.67082099166964,229.15513588240046,519.7831529429113,72.00067121945143
validation,all,conditional,3,6549,56.50039119766766,-9.501238052369045,126.06372991153212,249.07658486386777,653.198525896647,82.14362185987298
validation,all,conditional,4,6548,63.74359018911596,-12.872244087721464,140.49443102592534,255.50385633142218,711.5413487877779,91.29855779879287
validation,all,conditional,5,6547,70.35785882716185,-15.295881094428033,151.80923846670873,274.2727117783424,873.4709833765037,100.4129157580053
validation,all,conditional,6,6546,76.64271768026224,-16.793673233737827,165.47735506245334,300.3569597800425,1028.958978880733,110.79471352221906
