lead_h,training_n,latest_training_target,cutoff_exclusive
0,10674,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
1,10673,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
2,10672,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
3,10671,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
4,10670,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
5,10669,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
6,10668,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
7,10667,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
8,10666,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
9,10665,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
10,10664,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
11,10663,2026-06-30T17:00:00-03:00,2026-07-01T00:00:00-03:00
