origin,target_time,nominal_lead_h,reasons
2026-07-01T00:00:00-03:00,2026-07-01T01:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T00:00:00-03:00,2026-07-01T02:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T00:00:00-03:00,2026-07-01T03:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T00:00:00-03:00,2026-07-01T04:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T05:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T06:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T07:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T08:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T09:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T10:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T11:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T00:00:00-03:00,2026-07-01T12:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T02:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T01:00:00-03:00,2026-07-01T03:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T01:00:00-03:00,2026-07-01T04:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T01:00:00-03:00,2026-07-01T05:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T06:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T07:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T08:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T09:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T10:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T11:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T12:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T01:00:00-03:00,2026-07-01T13:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T03:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T02:00:00-03:00,2026-07-01T04:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T02:00:00-03:00,2026-07-01T05:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T02:00:00-03:00,2026-07-01T06:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T07:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T08:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T09:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T10:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T11:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T12:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T13:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T02:00:00-03:00,2026-07-01T14:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T03:00:00-03:00,2026-07-01T04:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T03:00:00-03:00,2026-07-01T05:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T03:00:00-03:00,2026-07-01T06:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T03:00:00-03:00,2026-07-01T07:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T03:00:00-03:00,2026-07-01T08:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
