population,nominal_lead_h,subset,family,n,mae_m,within_0_50_n,within_0_50_fraction,bias_m
previously_paired,1,all,reference,1598,0.13958943654265818,1558,0.9749687108886108,0.005443638023469532
previously_paired,1,all,julho_levels,1598,0.14224414044913614,1555,0.9730913642052565,0.008000922234269665
previously_paired,1,observed_ge_7m,reference,165,0.25781034306426015,150,0.9090909090909091,0.11433106483424864
previously_paired,1,observed_ge_7m,julho_levels,165,0.2570104343258989,148,0.896969696969697,0.11647288293556539
previously_paired,2,all,reference,1593,0.2136155050534898,1415,0.8882611424984307,0.006615132860178199
previously_paired,2,all,julho_levels,1593,0.2195327420827839,1402,0.8801004394224733,0.014455373008929713
previously_paired,2,observed_ge_7m,reference,165,0.43157352319345743,110,0.6666666666666666,0.18154880491751574
previously_paired,2,observed_ge_7m,julho_levels,165,0.42196750318068904,107,0.6484848484848484,0.18853915139535876
previously_paired,3,all,reference,1588,0.2643226665726991,1338,0.8425692695214105,0.00521987894927527
previously_paired,3,all,julho_levels,1588,0.273909037173632,1324,0.8337531486146096,0.020593804663548387
previously_paired,3,observed_ge_7m,reference,165,0.5887965727183111,85,0.5151515151515151,0.2329116853026853
previously_paired,3,observed_ge_7m,julho_levels,165,0.5725163021086075,89,0.5393939393939394,0.2461530433390465
previously_paired,4,all,reference,1586,0.2997108428354451,1299,0.8190416141235813,0.0020368697460139873
previously_paired,4,all,julho_levels,1586,0.31433252411063123,1261,0.7950819672131147,0.02594402915981252
previously_paired,4,observed_ge_7m,reference,167,0.7250913052546762,70,0.41916167664670656,0.26907385888987906
previously_paired,4,observed_ge_7m,julho_levels,167,0.7037169086431431,73,0.437125748502994,0.2872736733014611
previously_paired,5,all,reference,1584,0.332848168355273,1272,0.803030303030303,-0.0033702687850875506
previously_paired,5,all,julho_levels,1584,0.35052980471962164,1218,0.7689393939393939,0.031054690342749658
previously_paired,5,observed_ge_7m,reference,169,0.8561311065265753,65,0.38461538461538464,0.2832653368161077
previously_paired,5,observed_ge_7m,julho_levels,169,0.8299118176905687,67,0.39644970414201186,0.3131913170876587
previously_paired,6,all,reference,1582,0.37020064306390554,1216,0.7686472819216182,-0.0036566120755571066
previously_paired,6,all,julho_levels,1582,0.38545658069306316,1162,0.7345132743362832,0.04116262908759419
previously_paired,6,observed_ge_7m,reference,171,0.9802971684524857,60,0.3508771929824561,0.3399708617489184
previously_paired,6,observed_ge_7m,julho_levels,171,0.9498512970757323,53,0.30994152046783624,0.3688832583158337
previously_paired,7,all,reference,1580,0.4137097627211811,1151,0.7284810126582278,-0.00833577798623905
previously_paired,7,all,julho_levels,1580,0.4211879188893131,1117,0.7069620253164557,0.049832568996601455
previously_paired,7,observed_ge_7m,reference,173,1.0892278335709922,50,0.28901734104046245,0.3484349005015017
previously_paired,7,observed_ge_7m,julho_levels,173,1.0463304057482783,50,0.28901734104046245,0.3899823635551765
previously_paired,8,all,reference,1578,0.4617678390617442,1081,0.6850443599493029,-0.013569091514613097
previously_paired,8,all,julho_levels,1578,0.4552296748223529,1056,0.6692015209125475,0.05850224453067287
previously_paired,8,observed_ge_7m,reference,175,1.1884724549954502,50,0.2857142857142857,0.3421668607749975
previously_paired,8,observed_ge_7m,julho_levels,175,1.139893471040135,47,0.26857142857142857,0.3926896854875049
previously_paired,9,all,reference,1576,0.5203370686074078,984,0.6243654822335025,-0.024915548150362708
previously_paired,9,all,julho_levels,1576,0.4931818051477858,1029,0.6529187817258884,0.06190990548383258
previously_paired,9,observed_ge_7m,reference,177,1.325842227872721,46,0.2598870056497175,0.2717051275531588
previously_paired,9,observed_ge_7m,julho_levels,177,1.2696741205923194,47,0.2655367231638418,0.33450185747639744
previously_paired,10,all,reference,1574,0.579258314723319,909,0.5775095298602287,-0.033796590564892086
previously_paired,10,all,julho_levels,1574,0.5267835613692412,997,0.633418043202033,0.06737922980251464
previously_paired,10,observed_ge_7m,reference,179,1.4425393296473479,44,0.24581005586592178,0.22467670087936945
previously_paired,10,observed_ge_7m,julho_levels,179,1.3824701013285923,45,0.25139664804469275,0.29469481461248637
previously_paired,11,all,reference,1572,0.6414089718579581,836,0.5318066157760815,-0.04380553613993585
previously_paired,11,all,julho_levels,1572,0.5595360041353362,978,0.6221374045801527,0.07175442974488018
previously_paired,11,observed_ge_7m,reference,181,1.5865961063602418,39,0.2154696132596685,0.16760523472226604
previously_paired,11,observed_ge_7m,julho_levels,181,1.5125079568787085,44,0.2430939226519337,0.24222851163403353
previously_paired,12,all,reference,1570,0.700074114615697,772,0.49171974522292994,-0.05459321894470846
previously_paired,12,all,julho_levels,1570,0.58990685142,929,0.5917197452229299,0.07548611404993635
previously_paired,12,observed_ge_7m,reference,183,1.7461571932103184,27,0.14754098360655737,0.09748132380687437
previously_paired,12,observed_ge_7m,julho_levels,183,1.6631769815473796,33,0.18032786885245902,0.17714281898911177
newly_recovered,1,all,reference,340,0.11705526106551405,336,0.9882352941176471,-0.014055319541398086
newly_recovered,1,all,julho_levels,340,0.11957598538050725,336,0.9882352941176471,-0.010205701952008586
newly_recovered,1,observed_ge_7m,reference,70,0.09673086850810483,68,0.9714285714285714,0.028619808195924763
newly_recovered,1,observed_ge_7m,julho_levels,70,0.09716731105488827,68,0.9714285714285714,0.03158389627765307
newly_recovered,2,all,reference,342,0.16889770616121907,324,0.9473684210526315,-0.02433300053424578
newly_recovered,2,all,julho_levels,342,0.17518209621757733,318,0.9298245614035088,-0.01274650684005451
newly_recovered,2,observed_ge_7m,reference,70,0.1418789225891595,67,0.9571428571428572,0.04772686505084034
newly_recovered,2,observed_ge_7m,julho_levels,70,0.14319546377095774,67,0.9571428571428572,0.05647397687252693
newly_recovered,3,all,reference,344,0.1998796554399924,311,0.9040697674418605,-0.03307871637220066
newly_recovered,3,all,julho_levels,344,0.20987400301456266,312,0.9069767441860465,-0.0112450669029247
newly_recovered,3,observed_ge_7m,reference,70,0.1860095605970907,66,0.9428571428571428,0.06484260524143955
newly_recovered,3,observed_ge_7m,julho_levels,70,0.18469415763397415,66,0.9428571428571428,0.08027193285134682
newly_recovered,4,all,reference,344,0.21897349529728,310,0.9011627906976745,-0.043392451303358164
newly_recovered,4,all,julho_levels,344,0.23152120982680863,308,0.8953488372093024,-0.009506253016214883
newly_recovered,4,observed_ge_7m,reference,68,0.2236055501102711,64,0.9411764705882353,0.07320770916923007
newly_recovered,4,observed_ge_7m,julho_levels,68,0.21936441169963175,65,0.9558823529411765,0.09598713966891759
newly_recovered,5,all,reference,344,0.233490962955186,311,0.9040697674418605,-0.05526176419483638
newly_recovered,5,all,julho_levels,344,0.24766332186540999,301,0.875,-0.00747980830546449
newly_recovered,5,observed_ge_7m,reference,66,0.2451802232650288,62,0.9393939393939394,0.06891241778474022
newly_recovered,5,observed_ge_7m,julho_levels,66,0.23695139455761988,64,0.9696969696969697,0.10036227407069961
newly_recovered,6,all,reference,344,0.2553222416762749,298,0.8662790697674418,-0.06812789187712685
newly_recovered,6,all,julho_levels,344,0.2657841004187807,296,0.8604651162790697,-0.004635955811720858
newly_recovered,6,observed_ge_7m,reference,64,0.2625217616024965,57,0.890625,0.05359774231327327
newly_recovered,6,observed_ge_7m,julho_levels,64,0.24485762366330216,62,0.96875,0.09653281794176574
newly_recovered,7,all,reference,344,0.29273933731880797,276,0.8023255813953488,-0.08036734074022854
