variant,origin,changed_features
Q_missing,2026-07-22T08:00:00-03:00,4
Q_missing,2026-07-22T09:00:00-03:00,4
Q_missing,2026-07-22T10:00:00-03:00,4
Q_missing,2026-07-22T11:00:00-03:00,2
Q_missing,2026-07-22T12:00:00-03:00,1
Q_missing,2026-07-22T13:00:00-03:00,1
Q_missing,2026-07-22T14:00:00-03:00,1
Q_missing,2026-07-22T15:00:00-03:00,1
Q_missing,2026-07-22T16:00:00-03:00,1
QI_missing,2026-07-22T08:00:00-03:00,8
QI_missing,2026-07-22T09:00:00-03:00,8
QI_missing,2026-07-22T10:00:00-03:00,5
QI_missing,2026-07-22T11:00:00-03:00,3
QI_missing,2026-07-22T12:00:00-03:00,2
QI_missing,2026-07-22T13:00:00-03:00,1
QI_missing,2026-07-22T14:00:00-03:00,2
QI_missing,2026-07-22T15:00:00-03:00,2
QI_missing,2026-07-22T16:00:00-03:00,1
