source,lead_h,variant,forecast_m3_s,unanchored_m3_s
julho,0,original,5687.31,7018.442755579398
julho,0,Q_missing,5687.31,7036.389789794494
julho,0,QI_missing,5687.31,7033.380838895037
julho,1,original,8319.966779799728,8319.966779799728
julho,1,Q_missing,8418.445920919434,8418.445920919434
julho,1,QI_missing,8365.160037865182,8365.160037865182
julho,2,original,9554.09746897493,9554.09746897493
julho,2,Q_missing,9746.117866599769,9746.117866599769
julho,2,QI_missing,9669.345609865897,9669.345609865897
julho,3,original,10596.844169570892,10596.844169570892
julho,3,Q_missing,10866.467232577592,10866.467232577592
julho,3,QI_missing,10746.313310295338,10746.313310295338
julho,4,original,11538.747445703042,11538.747445703042
julho,4,Q_missing,11908.163735939886,11908.163735939886
julho,4,QI_missing,11748.632166322408,11748.632166322408
julho,5,original,12316.397926332404,12316.397926332404
julho,5,Q_missing,12732.63527562564,12732.63527562564
julho,5,QI_missing,12550.47865268688,12550.47865268688
julho,6,original,12804.550100167195,12804.550100167195
julho,6,Q_missing,13221.791803208853,13221.791803208853
julho,6,QI_missing,13015.274412179057,13015.274412179057
julho,7,original,13171.59527809125,13171.59527809125
julho,7,Q_missing,13578.130283211116,13578.130283211116
julho,7,QI_missing,13339.94985126846,13339.94985126846
julho,8,original,13447.814436625304,13447.814436625304
julho,8,Q_missing,13869.892332578214,13869.892332578214
julho,8,QI_missing,13625.90242545252,13625.90242545252
julho,9,original,13591.648341071517,13591.648341071517
julho,9,Q_missing,13977.460734895414,13977.460734895414
julho,9,QI_missing,13721.953377030883,13721.953377030883
julho,10,original,13542.724393271537,13542.724393271537
julho,10,Q_missing,13911.539932378462,13911.539932378462
julho,10,QI_missing,13629.366629567652,13629.366629567652
julho,11,original,13418.353636340378,13418.353636340378
julho,11,Q_missing,13804.329599060946,13804.329599060946
julho,11,QI_missing,13506.23201605156,13506.23201605156
carreiro,0,original,852.4446584092382,852.4446584092382
carreiro,0,Q_missing,832.1724621863348,832.1724621863348
carreiro,0,QI_missing,819.2348185479336,819.2348185479336
carreiro,1,original,1123.9579396834115,1123.9579396834115
carreiro,1,Q_missing,1127.5793253629852,1127.5793253629852
carreiro,1,QI_missing,1106.4464228655409,1106.4464228655409
carreiro,2,original,1312.4300291477368,1312.4300291477368
carreiro,2,Q_missing,1382.9762219507847,1382.9762219507847
carreiro,2,QI_missing,1401.6470259399125,1401.6470259399125
carreiro,3,original,1355.341777928405,1355.341777928405
carreiro,3,Q_missing,1358.2185939191565,1358.2185939191565
carreiro,3,QI_missing,1367.4962037630294,1367.4962037630294
carreiro,4,original,1426.4171929088625,1426.4171929088625
carreiro,4,Q_missing,1438.8658811470702,1438.8658811470702
carreiro,4,QI_missing,1424.768725614722,1424.768725614722
carreiro,5,original,1350.2489732699864,1350.2489732699864
carreiro,5,Q_missing,1399.448279547141,1399.448279547141
carreiro,5,QI_missing,1393.6463873068963,1393.6463873068963
carreiro,6,original,1444.0923808231069,1444.0923808231069
carreiro,6,Q_missing,1479.605452156463,1479.605452156463
carreiro,6,QI_missing,1469.886388352238,1469.886388352238
carreiro,7,original,1435.1413363712963,1435.1413363712963
carreiro,7,Q_missing,1528.3138722577376,1528.3138722577376
carreiro,7,QI_missing,1478.452272782985,1478.452272782985
carreiro,8,original,1495.5290304333269,1495.5290304333269
carreiro,8,Q_missing,1561.563728726033,1561.563728726033
carreiro,8,QI_missing,1506.7751911908235,1506.7751911908235
carreiro,9,original,1358.4789093544057,1358.4789093544057
carreiro,9,Q_missing,1495.2540029616714,1495.2540029616714
carreiro,9,QI_missing,1493.025405348044,1493.025405348044
carreiro,10,original,1560.5327691528887,1560.5327691528887
carreiro,10,Q_missing,1589.0369376169397,1589.0369376169397
carreiro,10,QI_missing,1569.939898698827,1569.939898698827
carreiro,11,original,1659.1584922235686,1659.1584922235686
carreiro,11,Q_missing,1705.300650026192,1705.300650026192
carreiro,11,QI_missing,1678.241151628553,1678.241151628553
