phase,family,horizon_h,n,distinct_origins,profile_A_rows,profile_B_rows,weights_sum,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss,masked_origins,unmasked_origins,cells_made_missing,masked_high_targets,unmasked_high_targets
validation,carreiro_missing_exposure,1,3530,3530,1712,1818,3742,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,845,2685,5070,38,119
test,carreiro_missing_exposure,1,9298,9298,4585,4713,9524,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,2372,6926,14232,47,138
validation,carreiro_missing_exposure,2,3528,3528,1709,1819,3800,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,843,2685,5058,39,118
test,carreiro_missing_exposure,2,9291,9291,4578,4713,9637,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,2371,6920,14226,47,138
validation,carreiro_missing_exposure,3,3526,3526,1709,1817,3898,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,842,2684,5052,38,119
test,carreiro_missing_exposure,3,9289,9289,4581,4708,9815,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,2368,6921,14208,46,139
validation,carreiro_missing_exposure,4,3523,3523,1707,1816,4019,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,843,2680,5058,38,119
test,carreiro_missing_exposure,4,9282,9282,4575,4707,10030,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,2368,6914,14208,47,138
validation,carreiro_missing_exposure,5,3520,3520,1706,1814,4172,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,841,2679,5046,37,121
test,carreiro_missing_exposure,5,9280,9280,4568,4712,10368,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,2369,6911,14214,46,140
validation,carreiro_missing_exposure,6,3520,3520,1707,1813,4332,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,842,2678,5052,38,121
test,carreiro_missing_exposure,6,9279,9279,4567,4712,10701,187,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,2369,6910,14214,47,140
validation,carreiro_missing_exposure,7,3520,3520,1706,1814,4464,161,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,843,2677,5058,40,121
test,carreiro_missing_exposure,7,9281,9281,4574,4707,10955,189,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,2369,6912,14214,48,141
validation,carreiro_missing_exposure,8,3519,3519,1705,1814,4581,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,840,2679,5040,40,122
test,carreiro_missing_exposure,8,9278,9278,4569,4709,11184,190,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,2362,6916,14172,47,143
validation,carreiro_missing_exposure,9,3517,3517,1708,1809,4677,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,842,2675,5052,41,121
test,carreiro_missing_exposure,9,9277,9277,4575,4702,11377,190,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,2366,6911,14196,49,141
validation,carreiro_missing_exposure,10,3516,3516,1704,1812,4766,163,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,841,2675,5046,40,123
test,carreiro_missing_exposure,10,9274,9274,4571,4703,11526,191,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,2366,6908,14196,49,142
validation,carreiro_missing_exposure,11,3516,3516,1705,1811,4838,165,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,840,2676,5040,38,127
test,carreiro_missing_exposure,11,9275,9275,4574,4701,11637,193,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,2361,6914,14166,48,145
validation,carreiro_missing_exposure,12,3513,3513,1704,1809,4909,166,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,838,2675,5028,39,127
test,carreiro_missing_exposure,12,9269,9269,4571,4698,11749,194,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,2364,6905,14184,49,145
