phase,horizon_h,n,features,with_missing_first24,with_missing_reservoirs,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,1,4362,204,729,7,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,10841,204,1317,7,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,4360,204,729,7,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,10837,204,1321,7,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,4358,204,729,7,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,10834,204,1319,7,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,4356,204,730,7,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,10830,204,1324,7,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,4355,204,732,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,10828,204,1322,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,6,4354,204,732,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,10826,204,1323,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,4353,204,731,7,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,10824,204,1318,7,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,4352,204,731,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,10822,204,1319,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,4351,204,731,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,10821,204,1318,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,4350,204,731,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,10818,204,1318,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,4349,204,731,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,10817,204,1317,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,4348,204,732,6,227,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,10814,204,1319,6,255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
