year,family,horizon_h,predictions,maximum_difference_m
2021,original,1,743,0.0
2021,plus2020,1,743,0.0
2021,original,2,742,0.0
2021,plus2020,2,742,0.0
2021,original,3,741,0.0
2021,plus2020,3,741,0.0
2021,original,4,740,0.0
2021,plus2020,4,740,0.0
2021,original,5,739,0.0
2021,plus2020,5,739,0.0
2021,original,6,738,0.0
2021,plus2020,6,738,0.0
2021,original,7,737,0.0
2021,plus2020,7,737,0.0
2021,original,8,736,0.0
2021,plus2020,8,736,0.0
2021,original,9,735,0.0
2021,plus2020,9,735,0.0
2021,original,10,734,0.0
2021,plus2020,10,734,0.0
2021,original,11,733,0.0
2021,plus2020,11,733,0.0
2021,original,12,732,0.0
2021,plus2020,12,732,0.0
2022,original,1,1458,0.0
2022,plus2020,1,1458,0.0
2022,original,2,1457,0.0
2022,plus2020,2,1457,0.0
2022,original,3,1456,0.0
2022,plus2020,3,1456,0.0
2022,original,4,1455,0.0
2022,plus2020,4,1455,0.0
2022,original,5,1454,0.0
2022,plus2020,5,1454,0.0
2022,original,6,1453,0.0
2022,plus2020,6,1453,0.0
2022,original,7,1452,0.0
2022,plus2020,7,1452,0.0
2022,original,8,1451,0.0
2022,plus2020,8,1451,0.0
2022,original,9,1450,0.0
2022,plus2020,9,1450,0.0
2022,original,10,1449,0.0
2022,plus2020,10,1449,0.0
2022,original,11,1448,0.0
2022,plus2020,11,1448,0.0
2022,original,12,1447,0.0
2022,plus2020,12,1447,0.0
