period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2021,1,full_schedule,all,raw_original,743,0,743,743,0,743,1.0,1.0,0.03176970598058766,-0.022804183486977332,0.1179003728221668,0.303935811177126
2021,1,full_schedule,all,raw_plus2020,743,0,743,743,0,743,1.0,1.0,0.04055697067663001,-0.02585969421406708,0.14434610084956478,0.33542148113290526
2021,1,full_schedule,all,normalized_original,743,0,743,743,0,743,1.0,1.0,0.03176970598058766,-0.022804183486977332,0.1179003728221668,0.303935811177126
2021,1,full_schedule,all,normalized_plus2020,743,0,743,743,0,743,1.0,1.0,0.04055746407392356,-0.02586576181858342,0.14434610084956478,0.33542148113290526
2021,1,full_schedule,level_ge_7m,raw_original,743,0,11,11,0,11,1.0,1.0,0.04901198481827644,-0.031141353207400243,0.12626930982315482,0.13699274102333892
2021,1,full_schedule,level_ge_7m,raw_plus2020,743,0,11,11,0,11,1.0,1.0,0.060750776917055334,-0.02222066020227635,0.13718519557293887,0.14337335699494513
2021,1,full_schedule,level_ge_7m,normalized_original,743,0,11,11,0,11,1.0,1.0,0.04901198481827644,-0.031141353207400243,0.12626930982315482,0.13699274102333892
2021,1,full_schedule,level_ge_7m,normalized_plus2020,743,0,11,11,0,11,1.0,1.0,0.060750776917055334,-0.02222066020227635,0.13718519557293887,0.14337335699494513
2021,1,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,1,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,1,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,1,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,1,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
2021,1,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,1,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,1,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,1,missing24,all,raw_original,743,0,743,743,0,743,1.0,1.0,0.03176970598058766,-0.022804183486977332,0.1179003728221668,0.303935811177126
2021,1,missing24,all,raw_plus2020,743,0,743,743,0,743,1.0,1.0,0.04055697067663001,-0.02585969421406708,0.14434610084956478,0.33542148113290526
2021,1,missing24,all,normalized_original,743,0,743,743,0,743,1.0,1.0,0.03176970598058766,-0.022804183486977332,0.1179003728221668,0.303935811177126
2021,1,missing24,all,normalized_plus2020,743,0,743,743,0,743,1.0,1.0,0.04055746407392356,-0.02586576181858342,0.14434610084956478,0.33542148113290526
2021,1,missing24,level_ge_7m,raw_original,743,0,11,11,0,11,1.0,1.0,0.04901198481827644,-0.031141353207400243,0.12626930982315482,0.13699274102333892
2021,1,missing24,level_ge_7m,raw_plus2020,743,0,11,11,0,11,1.0,1.0,0.060750776917055334,-0.02222066020227635,0.13718519557293887,0.14337335699494513
2021,1,missing24,level_ge_7m,normalized_original,743,0,11,11,0,11,1.0,1.0,0.04901198481827644,-0.031141353207400243,0.12626930982315482,0.13699274102333892
2021,1,missing24,level_ge_7m,normalized_plus2020,743,0,11,11,0,11,1.0,1.0,0.060750776917055334,-0.02222066020227635,0.13718519557293887,0.14337335699494513
2021,2,full_schedule,all,raw_original,742,0,742,742,0,740,0.9973045822102425,0.9973045822102425,0.05086323518500803,0.015027640595867768,0.286763084604054,0.6342456973448094
2021,2,full_schedule,all,raw_plus2020,742,0,742,742,0,738,0.9946091644204852,0.9946091644204852,0.06602053684248134,-0.047649620361683576,0.2784771152114246,0.6360702113013028
2021,2,full_schedule,all,normalized_original,742,0,742,742,0,740,0.9973045822102425,0.9973045822102425,0.05085960733070485,0.015056847324427813,0.286763084604054,0.6342456973448094
2021,2,full_schedule,all,normalized_plus2020,742,0,742,742,0,738,0.9946091644204852,0.9946091644204852,0.06454792469149634,-0.04536589539411121,0.27929243916128266,0.6325043366618024
2021,2,full_schedule,level_ge_7m,raw_original,742,0,11,11,0,11,1.0,1.0,0.12540874236325428,-0.03846955704905182,0.2771507150015996,0.2849241743743667
2021,2,full_schedule,level_ge_7m,raw_plus2020,742,0,11,11,0,11,1.0,1.0,0.11317272734001675,-0.02935985772128046,0.34101078788541633,0.36291737356460096
