phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,all,full_schedule,observed_control,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.022013911700025222,0.004282256256655598,0.11681982649743483,0.5943960587357431
validation,1,all,full_schedule,augmented,6551,6517,6479,38,6479,1.0,0.9941690962099126,0.026289272591172357,0.005456571638527448,0.22019165238482213,0.4945450531851283
validation,1,all,full_schedule,core_original,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.021943131615878735,0.0015330803806994737,0.11246124795974899,0.638225862912835
validation,1,all,full_schedule,core_augmented,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.024789589816672432,0.0022303754042995788,0.13584669725279827,0.6577321320665745
validation,1,all,full_schedule,levels45_original,6551,6517,6479,38,6479,1.0,0.9941690962099126,0.02295361343061815,0.00477213527582936,0.13755483512438557,0.48157936600244433
validation,1,all,full_schedule,levels45_augmented,6551,6517,6479,38,6479,1.0,0.9941690962099126,0.021686643076297474,0.00043801642547438516,0.11807566422270908,0.4875217101993745
validation,1,all,full_schedule,rain108_original,6551,6517,6479,38,6476,0.9995369655811082,0.9937087617001688,0.023293291877634178,0.003079047209188716,0.11796126660469383,0.6454275212134446
validation,1,all,full_schedule,rain108_augmented,6551,6517,6479,38,6476,0.9995369655811082,0.9937087617001688,0.030242991870555427,0.0074594220521000095,0.2287977160738045,0.636160527116242
validation,1,all,complete24,observed_control,5912,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850954847976383,0.0010709660990267794,0.09500859502592271,0.5943960587357431
validation,1,all,complete24,augmented,5912,5891,5891,0,5891,1.0,1.0,0.02543636467386186,0.005604378326667997,0.22283891463568167,0.4945450531851283
validation,1,all,complete24,core_original,5912,5891,5891,0,5891,1.0,1.0,0.020642855020786374,0.001115209724396024,0.10353009399256478,0.4473921618083496
validation,1,all,complete24,core_augmented,5912,5891,5891,0,5891,1.0,1.0,0.02336074282704629,0.0021913358302815687,0.12738575331559093,0.4700358922006549
validation,1,all,complete24,levels45_original,5912,5891,5891,0,5891,1.0,1.0,0.017488307290054683,-0.0005796607383549114,0.09030667782432163,0.48157936600244433
validation,1,all,complete24,levels45_augmented,5912,5891,5891,0,5891,1.0,1.0,0.020205857040113677,0.000358589395515967,0.10875626730058002,0.39659384871082715
validation,1,all,complete24,rain108_original,5912,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.022098476036891457,0.003114686113646522,0.10789300760885806,0.5668784644915057
validation,1,all,complete24,rain108_augmented,5912,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.029191480761397014,0.007499491569187767,0.2308696405634669,0.5476542855203119
validation,1,all,missing24,observed_control,639,626,588,38,588,1.0,0.939297124600639,0.057123101717984216,0.036455232988953847,0.18038087655427343,0.40240299407220514
validation,1,all,missing24,augmented,639,626,588,38,588,1.0,0.939297124600639,0.034834307524635184,0.003975739666017294,0.19256397203871078,0.4319925848192707
validation,1,all,missing24,core_original,639,626,588,38,587,0.9982993197278912,0.9376996805111821,0.03497022246909152,0.005719604251930121,0.18405001653651126,0.638225862912835
validation,1,all,missing24,core_augmented,639,626,588,38,587,0.9982993197278912,0.9376996805111821,0.03910478984369221,0.0026215014766466822,0.1877425481311143,0.6577321320665745
validation,1,all,missing24,levels45_original,639,626,588,38,588,1.0,0.939297124600639,0.07770891695793004,0.05839021405059049,0.2260445635626173,0.41920213830745867
validation,1,all,missing24,levels45_augmented,639,626,588,38,588,1.0,0.939297124600639,0.03652220521772395,0.0012337726048707147,0.17304567871124055,0.4875217101993745
validation,1,all,missing24,rain108_original,639,626,588,38,586,0.9965986394557823,0.9361022364217252,0.035263802282082084,0.0027219914504116142,0.18717281137763223,0.6454275212134446
