phase,family,horizon_h,recent_n,added_n,n,weight_sum,latest_recent_target,cutoff_exclusive,leaf_nodes,loss
validation,hourly_control,1,4360,0,4360,4692,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,hourly_plus2018,1,4360,322,4682,5074,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,hourly_control,1,10845,0,10845,11231,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,hourly_plus2018,1,10845,322,11167,11613,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,hourly_control,2,4360,0,4360,4800,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,hourly_plus2018,2,4360,319,4679,5193,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,hourly_control,2,10843,0,10843,11453,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,hourly_plus2018,2,10843,319,11162,11846,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,hourly_control,3,4358,0,4358,4946,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,hourly_plus2018,3,4358,316,4674,5352,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,hourly_control,3,10839,0,10839,11719,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,hourly_plus2018,3,10839,316,11155,12125,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,hourly_control,4,4357,0,4357,5095,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,hourly_plus2018,4,4357,314,4671,5537,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,hourly_control,4,10837,0,10837,12055,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,hourly_plus2018,4,10837,314,11151,12497,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,hourly_control,5,4356,0,4356,5288,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,hourly_plus2018,5,4356,312,4668,5744,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,hourly_control,5,10835,0,10835,12457,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,hourly_plus2018,5,10835,312,11147,12913,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,hourly_control,6,4355,0,4355,5443,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,hourly_plus2018,6,4355,310,4665,5909,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,hourly_control,6,10833,0,10833,12797,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,hourly_plus2018,6,10833,310,11143,13263,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,hourly_control,7,4354,0,4354,5572,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,hourly_plus2018,7,4354,308,4662,6044,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,hourly_control,7,10832,0,10832,13054,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,hourly_plus2018,7,10832,308,11140,13526,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
