phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,all,full_schedule,observed_control,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.022013911700025222,0.004282256256655598,0.11681982649743483,0.5943960587357431
validation,1,all,full_schedule,augmented,6551,6517,6479,38,6479,1.0,0.9941690962099126,0.026289272591172357,0.005456571638527448,0.22019165238482213,0.4945450531851283
validation,1,all,complete24,observed_control,5912,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850954847976383,0.0010709660990267794,0.09500859502592271,0.5943960587357431
validation,1,all,complete24,augmented,5912,5891,5891,0,5891,1.0,1.0,0.02543636467386186,0.005604378326667997,0.22283891463568167,0.4945450531851283
validation,1,all,missing24,observed_control,639,626,588,38,588,1.0,0.939297124600639,0.057123101717984216,0.036455232988953847,0.18038087655427343,0.40240299407220514
validation,1,all,missing24,augmented,639,626,588,38,588,1.0,0.939297124600639,0.034834307524635184,0.003975739666017294,0.19256397203871078,0.4319925848192707
validation,1,level_ge_7m,full_schedule,observed_control,6551,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,full_schedule,augmented,6551,28,28,0,28,1.0,1.0,0.07586753928089005,0.04817294736848624,0.23597821968722388,0.2844677981726562
validation,1,level_ge_7m,complete24,observed_control,5912,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,complete24,augmented,5912,28,28,0,28,1.0,1.0,0.07586753928089005,0.04817294736848624,0.23597821968722388,0.2844677981726562
validation,1,level_ge_7m,missing24,observed_control,639,0,0,0,0,,,,,,
validation,1,level_ge_7m,missing24,augmented,639,0,0,0,0,,,,,,
validation,2,all,full_schedule,observed_control,6550,6516,6477,39,6466,0.9983016828778756,0.9923265807243707,0.03193842446827068,0.003102399367981166,0.16324216087463073,1.3024086910998092
validation,2,all,full_schedule,augmented,6550,6516,6477,39,6464,0.9979928979465802,0.9920196439533456,0.035344519632463094,0.0054745152649902295,0.18777490319599874,1.0554368535185183
validation,2,all,complete24,observed_control,5912,5885,5885,0,5878,0.9988105352591334,0.9988105352591334,0.0297706209205942,0.002997507842193795,0.14641257146592979,1.3024086910998092
validation,2,all,complete24,augmented,5912,5885,5885,0,5876,0.9984706881903144,0.9984706881903144,0.032486456018767824,0.004274660644772927,0.16181893464763447,1.0554368535185183
validation,2,all,missing24,observed_control,638,631,592,39,588,0.9932432432432432,0.9318541996830428,0.05348829588393969,0.004145113268755961,0.3307599152699826,0.6502628363690341
validation,2,all,missing24,augmented,638,631,592,39,588,0.9932432432432432,0.9318541996830428,0.06375618241387646,0.01740212411630581,0.3414859900167459,0.6404580975298126
validation,2,level_ge_7m,full_schedule,observed_control,6550,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
validation,2,level_ge_7m,full_schedule,augmented,6550,28,28,0,28,1.0,1.0,0.12951907349574096,0.011678629413639983,0.3835144772981856,0.44768831489714067
validation,2,level_ge_7m,complete24,observed_control,5912,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
validation,2,level_ge_7m,complete24,augmented,5912,28,28,0,28,1.0,1.0,0.12951907349574096,0.011678629413639983,0.3835144772981856,0.44768831489714067
validation,2,level_ge_7m,missing24,observed_control,638,0,0,0,0,,,,,,
validation,2,level_ge_7m,missing24,augmented,638,0,0,0,0,,,,,,
validation,3,all,full_schedule,observed_control,6549,6515,6476,39,6444,0.9950586781964176,0.9891020721412126,0.04525957105840351,0.007695788363354644,0.2640266271323174,1.537354044244438
