phase,horizon_h,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,original_response_min_m,original_response_max_m,added_response_min_m,added_response_max_m,combined_response_min_m,combined_response_max_m,earliest_added_origin,latest_added_target,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,1,4362,503,4865,120,227,56,-0.41000000000000014,1.1800000000000006,-0.28000000000000025,2.6400000000000006,-0.41000000000000014,2.6400000000000006,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,10841,503,11344,120,255,56,-0.4800000000000004,1.2400000000000002,-0.28000000000000025,2.6400000000000006,-0.4800000000000004,2.6400000000000006,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,4360,501,4861,120,227,55,-0.7199999999999989,2.09,-0.46999999999999975,4.710000000000001,-0.7199999999999989,4.710000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,10837,501,11338,120,255,55,-0.8500000000000005,2.09,-0.46999999999999975,4.710000000000001,-0.8500000000000005,4.710000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,4358,499,4857,120,227,54,-0.9799999999999995,3.0200000000000005,-0.6299999999999999,6.620000000000001,-0.9799999999999995,6.620000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,10834,499,11333,120,255,54,-1.1000000000000005,3.0200000000000005,-0.6299999999999999,6.620000000000001,-1.1000000000000005,6.620000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,4356,497,4853,120,227,53,-1.2100000000000009,3.8600000000000003,-0.7699999999999996,8.280000000000001,-1.2100000000000009,8.280000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,10830,497,11327,120,255,53,-1.3499999999999996,3.8600000000000003,-0.7699999999999996,8.280000000000001,-1.3499999999999996,8.280000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,4355,495,4850,120,227,52,-1.4800000000000004,4.6899999999999995,-0.8399999999999999,9.240000000000002,-1.4800000000000004,9.240000000000002,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,10828,495,11323,120,255,52,-1.5199999999999996,4.6899999999999995,-0.8399999999999999,9.240000000000002,-1.5199999999999996,9.240000000000002,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
