phase,horizon_h,n,max_difference_m
validation,1,6511,0.0
test,1,1944,0.0
validation,2,6510,0.0
test,2,1943,0.0
validation,3,6509,0.0
test,3,1942,0.0
validation,4,6508,0.0
test,4,1941,0.0
validation,5,6507,0.0
test,5,1940,0.0
validation,6,6506,0.0
test,6,1939,0.0
validation,7,6505,0.0
test,7,1938,0.0
validation,8,6504,0.0
test,8,1937,0.0
validation,9,6503,0.0
test,9,1936,0.0
validation,10,6502,0.0
test,10,1935,0.0
validation,11,6501,0.0
test,11,1934,0.0
validation,12,6500,0.0
test,12,1933,0.0
