phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,all,full_schedule,native_control,6551,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.022013911700025222,0.004282256256655598,0.11681982649743483,0.5943960587357431
validation,1,all,full_schedule,augmented,6551,6517,6479,38,6479,1.0,0.9941690962099126,0.020426965791801102,0.0014064381469469742,0.10436809641690421,0.43229341635690366
validation,1,all,complete24,native_control,5912,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850954847976383,0.0010709660990267794,0.09500859502592271,0.5943960587357431
validation,1,all,complete24,augmented,5912,5891,5891,0,5891,1.0,1.0,0.019415024958465168,0.0013782267284999374,0.09966976575243834,0.4060614417688928
validation,1,all,missing24,native_control,639,626,588,38,588,1.0,0.939297124600639,0.057123101717984216,0.036455232988953847,0.18038087655427343,0.40240299407220514
validation,1,all,missing24,augmented,639,626,588,38,588,1.0,0.939297124600639,0.030565304991090197,0.0016890800960481535,0.19774913854454068,0.43229341635690366
validation,1,level_ge_7m,full_schedule,native_control,6551,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,full_schedule,augmented,6551,28,28,0,28,1.0,1.0,0.06622220494337094,0.020854267352134328,0.21828552378241034,0.2656572630837264
validation,1,level_ge_7m,complete24,native_control,5912,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,level_ge_7m,complete24,augmented,5912,28,28,0,28,1.0,1.0,0.06622220494337094,0.020854267352134328,0.21828552378241034,0.2656572630837264
validation,1,level_ge_7m,missing24,native_control,639,0,0,0,0,,,,,,
validation,1,level_ge_7m,missing24,augmented,639,0,0,0,0,,,,,,
validation,2,all,full_schedule,native_control,6550,6516,6477,39,6466,0.9983016828778756,0.9923265807243707,0.03193842446827068,0.003102399367981166,0.16324216087463073,1.3024086910998092
validation,2,all,full_schedule,augmented,6550,6516,6477,39,6467,0.9984560753435232,0.9924800491098834,0.03532531979585151,0.006165097686830071,0.2522382035437931,0.8957550216598307
validation,2,all,complete24,native_control,5912,5885,5885,0,5878,0.9988105352591334,0.9988105352591334,0.0297706209205942,0.002997507842193795,0.14641257146592979,1.3024086910998092
validation,2,all,complete24,augmented,5912,5885,5885,0,5879,0.9989804587935429,0.9989804587935429,0.03345282235029562,0.006438116276021572,0.24760071644691473,0.8957550216598307
validation,2,all,missing24,native_control,638,631,592,39,588,0.9932432432432432,0.9318541996830428,0.05348829588393969,0.004145113268755961,0.3307599152699826,0.6502628363690341
validation,2,all,missing24,augmented,638,631,592,39,588,0.9932432432432432,0.9318541996830428,0.05393958916594676,0.00345105309664089,0.37481061301330215,0.7106290660723489
validation,2,level_ge_7m,full_schedule,native_control,6550,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
validation,2,level_ge_7m,full_schedule,augmented,6550,28,28,0,27,0.9642857142857143,0.9642857142857143,0.15047848209722506,0.05072112853968447,0.4950558733008689,0.5059284225585534
validation,2,level_ge_7m,complete24,native_control,5912,28,28,0,28,1.0,1.0,0.11897886238198042,0.02382246183854456,0.3544459802504053,0.36191043129735867
validation,2,level_ge_7m,complete24,augmented,5912,28,28,0,27,0.9642857142857143,0.9642857142857143,0.15047848209722506,0.05072112853968447,0.4950558733008689,0.5059284225585534
validation,2,level_ge_7m,missing24,native_control,638,0,0,0,0,,,,,,
validation,2,level_ge_7m,missing24,augmented,638,0,0,0,0,,,,,,
validation,3,all,full_schedule,native_control,6549,6515,6476,39,6444,0.9950586781964176,0.9891020721412126,0.04525957105840351,0.007695788363354644,0.2640266271323174,1.537354044244438
validation,3,all,full_schedule,augmented,6549,6515,6476,39,6434,0.993514515132798,0.9875671527244819,0.05098763219913742,0.013257157371340702,0.4445328653197099,1.6844759604476813
validation,3,all,complete24,native_control,5912,5886,5886,0,5861,0.9957526333673122,0.9957526333673122,0.03993262475489892,0.004508093784665101,0.22687183754540666,1.537354044244438
validation,3,all,complete24,augmented,5912,5886,5886,0,5855,0.9947332653754672,0.9947332653754672,0.0480485005080198,0.013743703257970844,0.43806294482511726,1.6844759604476813
validation,3,all,missing24,native_control,637,629,590,39,583,0.988135593220339,0.9268680445151033,0.09840263197777305,0.03949709393990832,0.4597995446900129,0.9561634130213972
validation,3,all,missing24,augmented,637,629,590,39,579,0.9813559322033898,0.9205087440381559,0.08030920700238876,0.008403243661671176,0.49434918936927086,0.9752519186815731
validation,3,level_ge_7m,full_schedule,native_control,6549,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16960676474370254,0.0480847892416398,0.5556545652840782,0.6140799441250824
validation,3,level_ge_7m,full_schedule,augmented,6549,28,28,0,26,0.9285714285714286,0.9285714285714286,0.18649509879742424,0.09327449320580151,0.5391562189806665,0.5694744629928099
validation,3,level_ge_7m,complete24,native_control,5912,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16960676474370254,0.0480847892416398,0.5556545652840782,0.6140799441250824
validation,3,level_ge_7m,complete24,augmented,5912,28,28,0,26,0.9285714285714286,0.9285714285714286,0.18649509879742424,0.09327449320580151,0.5391562189806665,0.5694744629928099
validation,3,level_ge_7m,missing24,native_control,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,augmented,637,0,0,0,0,,,,,,
validation,4,all,full_schedule,native_control,6548,6514,6474,40,6431,0.9933580475749151,0.987258213079521,0.06104765754702062,0.014452144778230811,0.34029778549374,1.8219056508267162
validation,4,all,full_schedule,augmented,6548,6514,6474,40,6409,0.9899598393574297,0.9838808719680687,0.06394314315587533,0.01306264939049053,0.4436331948441468,1.9430461198207336
validation,4,all,complete24,native_control,5912,5880,5880,0,5859,0.9964285714285714,0.9964285714285714,0.051990217427198344,0.007082108235585423,0.26578377883297893,1.8219056508267162
validation,4,all,complete24,augmented,5912,5880,5880,0,5835,0.9923469387755102,0.9923469387755102,0.06001634331875269,0.013981360288764151,0.42842988924125547,1.9430461198207336
validation,4,all,missing24,native_control,636,634,594,40,572,0.9629629629629629,0.9022082018927445,0.15070716580384713,0.08740806206906392,0.5385478587692857,0.7748820108780885
validation,4,all,missing24,augmented,636,634,594,40,574,0.9663299663299664,0.9053627760252366,0.10281449507890775,0.003968339488388023,0.6076002865307557,1.1498650534625856
validation,4,level_ge_7m,full_schedule,native_control,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
validation,4,level_ge_7m,full_schedule,augmented,6548,28,28,0,25,0.8928571428571429,0.8928571428571429,0.1800532250028324,0.04923378669118793,0.5935538761761074,0.624557285287052
validation,4,level_ge_7m,complete24,native_control,5912,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
validation,4,level_ge_7m,complete24,augmented,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.1800532250028324,0.04923378669118793,0.5935538761761074,0.624557285287052
validation,4,level_ge_7m,missing24,native_control,636,0,0,0,0,,,,,,
validation,4,level_ge_7m,missing24,augmented,636,0,0,0,0,,,,,,
validation,5,all,full_schedule,native_control,6547,6513,6473,40,6382,0.9859416035841186,0.9798863810839858,0.07820434668385372,0.014678548804149129,0.4203568296547843,1.9219038154095536
validation,5,all,full_schedule,augmented,6547,6513,6473,40,6280,0.9701838405685154,0.9642253953631199,0.08886864668859251,0.025987293268114,0.6897729219374521,2.313948335813892
validation,5,all,complete24,native_control,5912,5883,5883,0,5837,0.9921808601053884,0.9921808601053884,0.06794901057723474,0.0077014233809033755,0.3476726057691846,1.9219038154095536
validation,5,all,complete24,augmented,5912,5883,5883,0,5715,0.971443141254462,0.971443141254462,0.08470377279568188,0.026815434673198708,0.6866386047433582,2.313948335813892
validation,5,all,missing24,native_control,635,630,590,40,545,0.923728813559322,0.8650793650793651,0.180462215014768,0.08424876721932674,0.7453921331758218,1.2266591094999009
validation,5,all,missing24,augmented,635,630,590,40,565,0.9576271186440678,0.8968253968253969,0.13039738077671637,0.017729740918769405,0.7055702669045062,1.1472773841544774
validation,5,level_ge_7m,full_schedule,native_control,6547,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
validation,5,level_ge_7m,full_schedule,augmented,6547,28,28,0,25,0.8928571428571429,0.8928571428571429,0.24266485543879884,0.09575374535691099,0.7697494979272805,0.9036180399439244
validation,5,level_ge_7m,complete24,native_control,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
validation,5,level_ge_7m,complete24,augmented,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.24266485543879884,0.09575374535691099,0.7697494979272805,0.9036180399439244
validation,5,level_ge_7m,missing24,native_control,635,0,0,0,0,,,,,,
validation,5,level_ge_7m,missing24,augmented,635,0,0,0,0,,,,,,
validation,6,all,full_schedule,native_control,6546,6512,6472,40,6322,0.9768232385661311,0.9708230958230958,0.09959606968428815,0.015818056626594208,0.521216742955346,2.0157117770796145
validation,6,all,full_schedule,augmented,6546,6512,6472,40,6221,0.9612175525339925,0.9553132678132679,0.11778328524822877,0.04052409039155204,1.0589578039132166,2.6380982400628117
validation,6,all,complete24,native_control,5912,5881,5881,0,5788,0.9841863628634586,0.9841863628634586,0.08955848593583714,0.011826010651543673,0.43268006928695163,2.0157117770796145
validation,6,all,complete24,augmented,5912,5881,5881,0,5667,0.9636116306750553,0.9636116306750553,0.11377649382948668,0.04155329408124975,1.086038624148162,2.6380982400628117
validation,6,all,missing24,native_control,634,631,591,40,534,0.9035532994923858,0.8462757527733756,0.19947936921836668,0.05554262918035423,0.9151751725811162,1.2704077599448484
validation,6,all,missing24,augmented,634,631,591,40,554,0.937394247038917,0.8779714738510301,0.1576545886892141,0.030282555875287633,0.8528735955959531,1.5247306162443726
validation,6,level_ge_7m,full_schedule,native_control,6546,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
validation,6,level_ge_7m,full_schedule,augmented,6546,28,28,0,25,0.8928571428571429,0.8928571428571429,0.31899240609293583,0.16988423529332763,1.4709449757108284,1.8876763756515116
validation,6,level_ge_7m,complete24,native_control,5912,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
