phase,family,horizon_h,n,distinct_origins,profile_A_rows,profile_B_rows,weights_sum,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss,features
validation,age_mixed_candidate,1,3530,3530,1712,1818,3742,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,181
test,age_mixed_candidate,1,9298,9298,4585,4713,9524,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,181
validation,age_mixed_candidate,2,3528,3528,1709,1819,3800,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,181
test,age_mixed_candidate,2,9291,9291,4578,4713,9637,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,181
validation,age_mixed_candidate,3,3526,3526,1709,1817,3898,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,181
test,age_mixed_candidate,3,9289,9289,4581,4708,9815,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,181
validation,age_mixed_candidate,4,3523,3523,1707,1816,4019,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,181
test,age_mixed_candidate,4,9282,9282,4575,4707,10030,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,181
validation,age_mixed_candidate,5,3520,3520,1706,1814,4172,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,181
test,age_mixed_candidate,5,9280,9280,4568,4712,10368,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,181
validation,age_mixed_candidate,6,3520,3520,1707,1813,4332,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,181
test,age_mixed_candidate,6,9279,9279,4567,4712,10701,187,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,181
validation,age_mixed_candidate,7,3520,3520,1706,1814,4464,161,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,181
test,age_mixed_candidate,7,9281,9281,4574,4707,10955,189,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,181
validation,age_mixed_candidate,8,3519,3519,1705,1814,4581,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,181
test,age_mixed_candidate,8,9278,9278,4569,4709,11184,190,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,181
validation,age_mixed_candidate,9,3517,3517,1708,1809,4677,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,181
test,age_mixed_candidate,9,9277,9277,4575,4702,11377,190,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,181
validation,age_mixed_candidate,10,3516,3516,1704,1812,4766,163,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,181
test,age_mixed_candidate,10,9274,9274,4571,4703,11526,191,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,181
validation,age_mixed_candidate,11,3516,3516,1705,1811,4838,165,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,181
test,age_mixed_candidate,11,9275,9275,4574,4701,11637,193,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,181
validation,age_mixed_candidate,12,3513,3513,1704,1809,4909,166,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,181
test,age_mixed_candidate,12,9269,9269,4571,4698,11749,194,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,181
