phase,family,horizon_h,n,distinct_origins,profile_A_rows,profile_B_rows,weights_sum,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,profile_A_control,1,3530,3530,3530,0,3736,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,profile_B_control,1,3530,3530,0,3530,3748,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,mixed_profile_candidate,1,3530,3530,1712,1818,3742,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,profile_A_control,1,9298,9298,9298,0,9514,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,profile_B_control,1,9298,9298,0,9298,9532,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,mixed_profile_candidate,1,9298,9298,4585,4713,9524,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,profile_A_control,2,3528,3528,3528,0,3786,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,profile_B_control,2,3528,3528,0,3528,3808,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,mixed_profile_candidate,2,3528,3528,1709,1819,3800,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,profile_A_control,2,9291,9291,9291,0,9613,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,profile_B_control,2,9291,9291,0,9291,9653,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,mixed_profile_candidate,2,9291,9291,4578,4713,9637,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,profile_A_control,3,3526,3526,3526,0,3876,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,profile_B_control,3,3526,3526,0,3526,3910,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,mixed_profile_candidate,3,3526,3526,1709,1817,3898,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,profile_A_control,3,9289,9289,9289,0,9791,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,profile_B_control,3,9289,9289,0,9289,9839,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,mixed_profile_candidate,3,9289,9289,4581,4708,9815,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,profile_A_control,4,3523,3523,3523,0,4005,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,profile_B_control,4,3523,3523,0,3523,4033,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,mixed_profile_candidate,4,3523,3523,1707,1816,4019,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,profile_A_control,4,9282,9282,9282,0,9996,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,profile_B_control,4,9282,9282,0,9282,10064,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,mixed_profile_candidate,4,9282,9282,4575,4707,10030,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,profile_A_control,5,3520,3520,3520,0,4150,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,profile_B_control,5,3520,3520,0,3520,4196,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,mixed_profile_candidate,5,3520,3520,1706,1814,4172,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,profile_A_control,5,9280,9280,9280,0,10330,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,profile_B_control,5,9280,9280,0,9280,10414,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,mixed_profile_candidate,5,9280,9280,4568,4712,10368,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,profile_A_control,6,3520,3520,3520,0,4316,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,profile_B_control,6,3520,3520,0,3520,4348,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,mixed_profile_candidate,6,3520,3520,1707,1813,4332,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,profile_A_control,6,9279,9279,9279,0,10673,187,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,profile_B_control,6,9279,9279,0,9279,10735,187,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,mixed_profile_candidate,6,9279,9279,4567,4712,10701,187,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,profile_A_control,7,3520,3520,3520,0,4442,161,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,profile_B_control,7,3520,3520,0,3520,4470,161,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,mixed_profile_candidate,7,3520,3520,1706,1814,4464,161,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,profile_A_control,7,9281,9281,9281,0,10929,189,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,profile_B_control,7,9281,9281,0,9281,10979,189,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,mixed_profile_candidate,7,9281,9281,4574,4707,10955,189,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,profile_A_control,8,3519,3519,3519,0,4565,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,profile_B_control,8,3519,3519,0,3519,4591,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
