phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,all,full_schedule,baseline,6551,6517,6479,38,6478,0.9998456551937027,0.01943294877280975,0.0011911341954983928,0.10350316388647056,0.6442549522772545
validation,1,all,full_schedule,candidate,6551,6517,6479,38,6478,0.9998456551937027,0.019407134507312677,0.0019631358433393493,0.10345174341206052,0.6668760933324709
validation,1,all,complete24,baseline,5912,5891,5891,0,5890,0.9998302495331862,0.018199121673797742,0.0011546510137000756,0.09406201486509301,0.6442549522772545
validation,1,all,complete24,candidate,5912,5891,5891,0,5890,0.9998302495331862,0.018185050715357916,0.0019742670679202563,0.09311289996689788,0.6668760933324709
validation,1,all,missing24,baseline,639,626,588,38,588,1.0,0.031794301562401116,0.0015566485219845937,0.21714952023648004,0.4199366302443537
validation,1,all,missing24,candidate,639,626,588,38,588,1.0,0.031650834538614565,0.0018516153603357426,0.21771878132541345,0.4249462913513429
validation,1,level_ge_7m,full_schedule,baseline,6551,28,28,0,28,1.0,0.06702537665728855,0.010012585154393929,0.18998008021113633,0.2244376041361562
validation,1,level_ge_7m,full_schedule,candidate,6551,28,28,0,28,1.0,0.06790769205648857,0.01254074666491808,0.1956055481874511,0.2079510713372148
validation,1,level_ge_7m,complete24,baseline,5912,28,28,0,28,1.0,0.06702537665728855,0.010012585154393929,0.18998008021113633,0.2244376041361562
validation,1,level_ge_7m,complete24,candidate,5912,28,28,0,28,1.0,0.06790769205648857,0.01254074666491808,0.1956055481874511,0.2079510713372148
validation,1,level_ge_7m,missing24,baseline,639,0,0,0,0,,,,,
validation,1,level_ge_7m,missing24,candidate,639,0,0,0,0,,,,,
validation,2,all,full_schedule,baseline,6550,6516,6477,39,6466,0.9983016828778756,0.03030683877046108,0.0031654450932015526,0.158303984833943,0.9878608589553535
validation,2,all,full_schedule,candidate,6550,6516,6477,39,6465,0.9981472904122278,0.031072093477222,0.004804020784973011,0.15896696885241873,1.0171804356942529
validation,2,all,complete24,baseline,5912,5885,5885,0,5881,0.999320305862362,0.027856822523098543,0.0033799855649123407,0.13774887533201363,0.9878608589553535
validation,2,all,complete24,candidate,5912,5885,5885,0,5881,0.999320305862362,0.028662782566742807,0.0051094561107453045,0.1378755684355047,1.0171804356942529
validation,2,all,missing24,baseline,638,631,592,39,585,0.9881756756756757,0.054662152310542986,0.001032724356684674,0.4071647731639685,0.9093261751615196
validation,2,all,missing24,candidate,638,631,592,39,584,0.9864864864864865,0.05502276021399577,0.0017677253590102622,0.39777002116520654,0.9180893754116368
validation,2,level_ge_7m,full_schedule,baseline,6550,28,28,0,28,1.0,0.11168091444020645,0.009092698889846571,0.3272325692136855,0.328770875531589
validation,2,level_ge_7m,full_schedule,candidate,6550,28,28,0,28,1.0,0.11497062555777673,0.008251498264552388,0.34421954028128676,0.3539083011640223
validation,2,level_ge_7m,complete24,baseline,5912,28,28,0,28,1.0,0.11168091444020645,0.009092698889846571,0.3272325692136855,0.328770875531589
validation,2,level_ge_7m,complete24,candidate,5912,28,28,0,28,1.0,0.11497062555777673,0.008251498264552388,0.34421954028128676,0.3539083011640223
validation,2,level_ge_7m,missing24,baseline,638,0,0,0,0,,,,,
validation,2,level_ge_7m,missing24,candidate,638,0,0,0,0,,,,,
