phase,horizon_h,n,features,targets_ge_7m,with_missing_first24,leaf_nodes,loss,latest_training_target,cutoff_exclusive
validation,1,4362,120,227,729,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,1,10841,120,255,1317,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,2,4360,120,227,729,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,2,10837,120,255,1321,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,3,4358,120,227,729,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,3,10834,120,255,1319,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,4,4356,120,227,730,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,4,10830,120,255,1324,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,5,4355,120,227,732,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,5,10828,120,255,1322,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,6,4354,120,227,732,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,6,10826,120,255,1323,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,7,4353,120,227,731,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,7,10824,120,255,1318,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,8,4352,120,227,731,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,8,10822,120,255,1319,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,9,4351,120,227,731,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,9,10821,120,255,1318,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,10,4350,120,227,731,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,10,10818,120,255,1318,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,11,4349,120,227,731,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,11,10817,120,255,1317,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,12,4348,120,227,732,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,12,10814,120,255,1319,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
