phase,family,horizon_h,n,distinct_origins,profile_A_rows,profile_B_rows,weights_sum,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss,old_weights_sum,flood_weight_threshold_m
validation,flood_weight_7m,1,3530,3530,1712,1818,3860,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,3742,7
test,flood_weight_7m,1,9298,9298,4585,4713,9692,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,9524,7
validation,flood_weight_7m,2,3528,3528,1709,1819,3918,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,3800,7
test,flood_weight_7m,2,9291,9291,4578,4713,9805,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,9637,7
validation,flood_weight_7m,3,3526,3526,1709,1817,4016,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,3898,7
test,flood_weight_7m,3,9289,9289,4581,4708,9983,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,9815,7
validation,flood_weight_7m,4,3523,3523,1707,1816,4139,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,4019,7
test,flood_weight_7m,4,9282,9282,4575,4707,10200,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,10030,7
validation,flood_weight_7m,5,3520,3520,1706,1814,4294,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,4172,7
test,flood_weight_7m,5,9280,9280,4568,4712,10540,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,10368,7
validation,flood_weight_7m,6,3520,3520,1707,1813,4454,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,4332,7
test,flood_weight_7m,6,9279,9279,4567,4712,10873,187,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,10701,7
validation,flood_weight_7m,7,3520,3520,1706,1814,4588,161,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,4464,7
test,flood_weight_7m,7,9281,9281,4574,4707,11129,189,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,10955,7
validation,flood_weight_7m,8,3519,3519,1705,1814,4705,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,4581,7
test,flood_weight_7m,8,9278,9278,4569,4709,11358,190,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,11184,7
validation,flood_weight_7m,9,3517,3517,1708,1809,4803,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,4677,7
test,flood_weight_7m,9,9277,9277,4575,4702,11553,190,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,11377,7
validation,flood_weight_7m,10,3516,3516,1704,1812,4892,163,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,4766,7
test,flood_weight_7m,10,9274,9274,4571,4703,11702,191,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,11526,7
validation,flood_weight_7m,11,3516,3516,1705,1811,4966,165,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,4838,7
test,flood_weight_7m,11,9275,9275,4574,4701,11815,193,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,11637,7
validation,flood_weight_7m,12,3513,3513,1704,1809,5037,166,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,4909,7
test,flood_weight_7m,12,9269,9269,4571,4698,11927,194,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,11749,7
