year,horizon_h,origins,scheduled_rows,boundary_excluded
2021,1,744,743,1
2021,2,744,742,2
2021,3,744,741,3
2021,4,744,740,4
2021,5,744,739,5
2021,6,744,738,6
2021,7,744,737,7
2021,8,744,736,8
2021,9,744,735,9
2021,10,744,734,10
2021,11,744,733,11
2021,12,744,732,12
2022,1,1464,1463,1
2022,2,1464,1462,2
2022,3,1464,1461,3
2022,4,1464,1460,4
2022,5,1464,1459,5
2022,6,1464,1458,6
2022,7,1464,1457,7
2022,8,1464,1456,8
2022,9,1464,1455,9
2022,10,1464,1454,10
2022,11,1464,1453,11
2022,12,1464,1452,12
