phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
validation,1,1,0.0,0.00655799037947622,0.14872724499415338,0.04913993822941809,0.3304030692651493
validation,1,2,-0.010000000000000009,0.00622928915018707,0.14515302313619582,0.034820275140176285,0.23988666848161144
validation,1,3,-0.010000000000000009,0.006691608765366114,0.14205160694978555,0.011872851529746542,0.08358125462067831
validation,1,4,-0.007500000000000007,0.006994922501336182,0.13283222561293154,-0.0032369532689968785,-0.024368734725782937
validation,1,5,-0.006249999999999978,0.007793960448957776,0.11549127820025056,-0.00921772263460014,-0.07981314934117806
validation,1,7,0.0,0.0033404596472474436,0.17569549073943347,0.0016850321267875437,0.009590639575870183
validation,1,8,0.0,0.0032175307322287526,0.16785045019821496,0.0031270754057185412,0.018630128200584337
validation,1,9,0.0,0.003586317477284872,0.15654927490366538,0.0012258815082686364,0.007830643157069864
validation,1,10,-0.0024999999999999467,0.005114243719935862,0.13980146686107103,-0.0031671610936068297,-0.02265470573891921
validation,1,11,-0.0012500000000000289,0.00675607963655799,0.11605635360103023,0.004715605078550266,0.04063202859846189
validation,1,13,0.0,0.004607161945483681,0.13835848808836523,0.01358190269135522,0.09816457868982266
validation,1,14,-0.009999999999999787,0.0053527525387493296,0.1379711783768871,0.017613347253681196,0.12765961312273447
validation,1,15,-0.0050000000000000044,0.0062145911277391745,0.13425403567076413,0.029564808550350173,0.2202154177536457
validation,1,16,-0.0050000000000000044,0.006488508818813471,0.1232435754506748,0.031004856831908654,0.25157381809583723
validation,1,17,-0.0050000000000000044,0.007033671833244255,0.10337158682739948,0.006648486733985916,0.06431638458919042
validation,1,19,0.0,-0.00036878674505611583,0.14555583862472737,-0.00039403465357745434,-0.002707103042381941
validation,1,20,0.0,-0.0006867985034740773,0.12088389830776389,0.0033354839002760067,0.027592458110376656
validation,1,21,0.0,-3.3404596472475084e-05,0.10011914444847696,0.004313332615986408,0.043081996352916534
validation,1,22,0.0,0.0005585248530197757,0.08005548697583313,0.003199592940045925,0.03996719101854701
validation,1,23,0.0,0.0015155665419561734,0.06401806209488906,0.0034588359460751045,0.054029063562535486
test,1,1,-0.019999999999999574,0.0021157076858462857,0.12266083840345351,0.06394535534880327,0.5213184271452272
test,1,2,-0.010000000000000009,0.002046671566568672,0.11945722898753411,0.03611438215536,0.30232060848430276
test,1,3,-0.010000000000000009,0.0022003622427551463,0.1155809696447491,-0.0023267132438016284,-0.020130591142755068
test,1,4,-0.009999999999999981,0.002436804388912222,0.10612027921527194,-0.013454001979190583,-0.12678068771283818
test,1,5,-0.006249999999999978,0.0032498162536749265,0.08880921455678034,-0.0046505456717284765,-0.052365575970218056
test,1,7,0.0,0.001467870642587142,0.15138388610107836,-0.0005076619459415041,-0.00335347413133879
test,1,8,0.0,0.001394372112557749,0.14561758684271045,0.003611579153812398,0.024801806101301917
test,1,9,0.0,0.001430596388072238,0.1352478138034755,0.004985672978189825,0.0368632426505197
test,1,10,0.0,0.0016870537589248218,0.11839262112854308,4.777673824621626e-05,0.000403544898244489
test,1,11,-0.0012499999999999734,0.0017661959260814775,0.09319975971519456,-0.008732367216247565,-0.09369516877438802
test,1,13,0.0,0.0009050818983620289,0.11998661123073824,0.007610205801021461,0.06342545824872729
test,1,14,-0.010000000000000009,0.0011591768164636725,0.11884197412504602,0.012394994131330333,0.10429811708015106
test,1,15,-0.010000000000000009,0.0015109197816043684,0.11458774135459085,0.026948305299780432,0.23517616266114466
test,1,16,-0.007500000000000007,0.0015337568248635042,0.10282187754769871,0.02872156781640923,0.2793332362860753
test,1,17,-0.0050000000000000044,0.002330297144057119,0.08320802574972094,0.010440277255279932,0.1254719981781919
test,1,19,0.0,-0.0017471650566988639,0.15997890951054514,0.00012721178687184035,0.0007951784848455607
test,1,20,0.0,-0.0013135237295254089,0.13728133229839062,0.0007482177984436215,0.005450251581309813
test,1,21,0.0,-0.001115077698446031,0.11004893621244714,0.0017490511686683561,0.015893394601214954
test,1,22,0.0,-0.0008462830743385128,0.08377434043507527,0.0017019136126109992,0.020315452246741045
test,1,23,0.0,-9.436686266274659e-05,0.06032572049344764,0.0009872028488111288,0.0163645430296743
validation,2,1,0.0,0.011984210526315797,0.1566809018797454,0.0643670708695594,0.41081631581979244
validation,2,2,-0.010000000000000009,0.010755263157894742,0.15141936571787779,0.041135309996284286,0.2716647887227778
validation,2,3,-0.010000000000000009,0.009989473684210527,0.1463943840407492,0.0066113326478182246,0.04516110840684944
validation,2,4,-0.007500000000000007,0.009092105263157894,0.13588887949075185,-0.01321809210090466,-0.09727133044616974
validation,2,5,-0.006249999999999978,0.008767763157894735,0.1175500544851861,-0.02583353197493009,-0.21976622714526844
validation,2,7,0.0,0.005294736842105246,0.17810099876691554,0.005354351239772667,0.030063566610201986
validation,2,8,0.0,0.0049815789473684185,0.1697301253464997,0.007655717498143721,0.045105236813528356
