phase,family,horizon_h,n,distinct_origins,profile_A_rows,profile_B_rows,weights_sum,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss,ridge_alpha,slope_features,tree_features,training_slopes_all_finite,normal_equation_max_abs,weighted_intercept_residual,ridge_intercept
validation,linear_trend_hybrid,1,3530,3530,1712,1818,3742,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,1000.0,20,180,True,2.9047875216292596e-12,3.9968028886505635e-15,0.007650988776055582
test,linear_trend_hybrid,1,9298,9298,4585,4713,9524,185,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,1000.0,20,180,True,1.389643955462816e-11,3.552713678800501e-15,0.0020826333473330516
validation,linear_trend_hybrid,2,3528,3528,1709,1819,3800,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,1000.0,20,180,True,1.8616219676914625e-12,-1.3322676295501878e-15,0.030223684210526312
test,linear_trend_hybrid,2,9291,9291,4578,4713,9637,185,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,1000.0,20,180,True,1.2747136679536197e-11,3.552713678800501e-15,0.01758690463837294
validation,linear_trend_hybrid,3,3526,3526,1709,1817,3898,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,3.709033080667723e-12,-9.769962616701378e-15,0.06422780913288866
test,linear_trend_hybrid,3,9289,9289,4581,4708,9815,185,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,1.617195266589988e-11,-5.5067062021407764e-14,0.040717778909831887
validation,linear_trend_hybrid,4,3523,3523,1707,1816,4019,157,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,2.6005864128819667e-12,5.684341886080802e-14,0.09265240109479972
test,linear_trend_hybrid,4,9282,9282,4575,4707,10030,185,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,2.304290092070005e-11,3.552713678800501e-14,0.06080309072781656
validation,linear_trend_hybrid,5,3520,3520,1706,1814,4172,158,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,6.515676886920119e-12,6.084022174945858e-14,0.10142138063279003
test,linear_trend_hybrid,5,9280,9280,4568,4712,10368,186,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,3.551292593328981e-11,1.4210854715202004e-14,0.06885271990740742
validation,linear_trend_hybrid,6,3520,3520,1707,1813,4332,159,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,1000.0,20,180,True,2.9842794901924208e-12,2.7533531010703882e-14,0.11094875346260388
