phase,lead_h,scheduled,missing_target,observed_target_missing_known_flow,paired_per_family
validation,0,6552,0,0,6552
test,0,1968,0,0,1968
validation,1,6551,0,0,6551
test,1,1967,0,0,1967
validation,2,6550,0,0,6550
test,2,1966,0,0,1966
validation,3,6549,0,0,6549
test,3,1965,0,0,1965
validation,4,6548,0,0,6548
test,4,1964,0,0,1964
validation,5,6547,0,0,6547
test,5,1963,0,0,1963
validation,6,6546,0,0,6546
test,6,1962,0,0,1962
validation,7,6545,0,0,6545
test,7,1961,0,0,1961
validation,8,6544,0,0,6544
test,8,1960,0,0,1960
validation,9,6543,0,0,6543
test,9,1959,0,0,1959
validation,10,6542,0,0,6542
test,10,1958,0,0,1958
validation,11,6541,0,0,6541
test,11,1957,0,0,1957
